NME        L17-45     Tb5stv
6.7826     4.9297     7.1765
6.7917     4.7203     6.9879
6.7243     4.5542     6.8177
6.716      4.3938     6.5099
6.6732     4.2509     6.2666
6.599      4.0323     6.0862
6.5724     3.86       5.886
6.5566     3.6826     5.6225
6.5327     3.4871     5.4068
6.5337     3.3351     5.2376
6.5411     3.2044     5.1184
6.6724     3.0164     4.9656
6.743      2.8864     4.836
6.8353     2.7657     4.6837
6.8629     2.679      4.5709
6.9085     2.6397     4.3913
6.6489     2.5838     4.0717
6.6462     2.747      3.8163
















































































































































































4.8163     9.3479     2.8231     ROSTRUM
4.8024     9.3248     3.1818
4.7784     9.3187     3.4835
4.8149     9.2528     3.7474
4.9279     9.2127     4.0554
5.0286     9.1319     4.2164
5.1273     9.0432     4.4433
5.2472     9.0309     4.7261
5.3091     9.0318     4.8703
5.4442     9.0277     5.2354
5.4762     8.9928     5.5141
5.4894     8.978      5.8099
5.5604     8.9508     6.0509
5.4766     9.0002     6.1246
5.476      8.9617     6.348
5.4008     8.9638     6.6255
5.2575     8.9236     6.9413
5.1095     8.9483     7.2597
5.0924     8.8648     7.5782
5.2229     8.809      7.7554
5.312      8.7161     7.8034
5.5017     8.5932     7.8341
5.7002     8.4556     7.8211
5.9964     8.2978     7.8033
6.2245     8.1593     7.8102
6.3319     8.1313     7.798
6.4137     8.0917     7.7517
6.8771     7.7856     7.8602
7.1057     7.5903     7.8466
7.2447     7.4805     7.8363
7.4687     7.3315     7.8723
7.7191     7.1453     7.918
7.9131     6.9946     7.9398
8.0906     6.8666     8.0293
8.2645     6.7158     8.0051
8.4204     6.6524     7.8075
8.4207     6.5838     7.6777
8.405      6.6064     7.4722
8.3775     6.6148     7.2523
8.3648     6.6761     7.0331
8.3516     6.7152     6.8374
8.3451     6.7419     6.665
8.3173     6.7323     6.5818
8.4102     6.7168     6.2688
8.5669     6.663      5.933
8.704      6.5856     5.7507
8.8011     6.5588     5.6149
9.0683     6.4635     5.2397
9.2208     6.3708     5.0477
9.4015     6.2972     4.8501
9.5298     6.219      4.7225
9.6183     6.1498     4.53
9.7486     6.1063     4.3642
9.8277     6.0417     4.1608
9.895      6.0215     3.9122
9.9355     6.0215     3.7577
10.0027    6.0534     3.6194
9.9519     6.0473     3.4598














































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS








































































































































































