KNM        MB 29100   Vm1stv
9.301      6.6027     2.2459
9.2952     6.5955     2.1255
































































































































































6.5888     11.1478    5.0028     SUPORB
6.6943     11.1621    5.1685
6.8183     11.2042    5.3612
6.8869     11.2263    5.4577
6.9927     11.2389    5.5907
7.1015     11.1772    5.6864
7.2235     11.1326    5.8315
7.3169     11.0541    5.9248
7.4641     10.9338    6.0143
7.6146     10.8088    6.0992
7.7075     10.6598    6.1287
7.8826     10.3505    6.1793
8.0343     10.2796    6.1691
8.1266     10.1144    6.1666
8.2529     9.9605     6.1589
8.3847     9.7886     6.1408
8.457      9.6798     6.1247
8.632      9.6051     6.1629
8.8307     9.5737     6.2237
9.1043     9.5896     6.2953
9.3056     9.5375     6.3383
9.4762     9.4558     6.37
9.6879     9.379      6.4007
9.8247     9.2767     6.4076
9.9632     9.2383     6.3886
10.0916    9.1669     6.3695
10.2254    9.0864     6.3359
10.3216    9.0242     6.2843
10.4299    8.9625     6.2057
10.5255    8.8861     6.1181
10.6081    8.8295     6.0592
10.6732    8.7488     5.9637
10.734     8.667      5.8679
10.73      8.5553     5.7759
10.7182    8.4298     5.6723
10.7415    8.3754     5.6017
10.7779    8.2171     5.4689



































































































































































7.1421     9.2429     3.933      RORBIT
7.0503     9.372      3.9258
6.9774     9.503      3.9192
6.879      9.6161     3.9648
6.8183     9.7686     4.0664
6.7311     9.9679     4.204
6.6972     10.0919    4.284
6.6779     10.1704    4.3528
6.6734     10.3139    4.4556
6.6902     10.4548    4.6081
6.7509     10.5511    4.7823
6.7773     10.6876    4.9263
6.8251     10.7169    5.1693
6.9355     10.7479    5.4172
7.0405     10.7503    5.5354
7.1562     10.6961    5.632
7.2231     10.6688    5.7626
7.347      10.5557    5.7812
7.4683     10.408     5.8323
7.5518     10.3396    5.8808
7.6442     10.181     5.8754
7.7689     10.0295    5.8571
7.8624     9.848      5.8714
7.9277     9.6371     5.8381
7.9849     9.4997     5.6662
7.984      9.3471     5.5203
7.927      9.2186     5.4531
7.8746     9.0531     5.2992












































































































































































9.0007     7.8707     4.2464     LORBIT
9.1875     7.8162     4.2772
9.4105     7.7631     4.3364
9.574      7.7609     4.4271
9.6873     7.8056     4.5537
9.8612     7.8269     4.682
10.015     7.867      4.8174
10.0807    7.9272     4.9425
10.2149    8.0093     5.1038
10.2749    8.1117     5.2777
10.2953    8.2062     5.467
10.3179    8.2828     5.6043
10.3303    8.3578     5.7236
10.1774    8.5159     5.7978
10.1137    8.6228     5.9304
10.0282    8.718      5.9614
9.8303     8.8309     6.0553
9.6562     8.9026     6.0751
9.4663     8.9744     6.0649
9.2931     9.0214     6.049
9.0938     9.0939     5.9781
8.9034     9.05       5.9425
8.7325     9.0363     5.7144
8.5337     8.8816     5.5591
8.5019     8.791      5.4396
8.4832     8.7455     5.3329
8.4686     8.7034     5.1889













































































































































































6.6152     11.1457    5.0741     RTEMFOS
6.4722     11.0651    4.8686
6.4099     10.9892    4.8278
6.3467     10.9167    4.7436
6.2459     10.8057    4.6215
6.1944     10.7449    4.5075
6.13       10.6374    4.3694
6.1297     10.6317    4.2768
6.0129     10.5395    3.9564
5.9409     10.5312    3.8109
5.8798     10.6812    3.5759
5.7793     10.7025    3.4951
5.7869     10.8157    3.4777
5.7614     10.9204    3.4326
5.7741     11.0124    3.4102
5.818      11.1859    3.4029
5.8324     11.412     3.2494
5.8235     11.4942    3.2679






















































































































































































9999       9999       9999       LTEMFOS







































































































































































































7.0988     7.5706     5.6402     OP
7.8633     8.5772     5.579      BA
10.2901    11.3951    4.3543     ST
11.8516    13.4106    3.7297     IV
5.7496     10.0708    4.617      R_PG
9999       9999       9999       R_ZTI
8.9233     12.3844    5.0685     R_M3D
9.6876     13.7508    4.4604     R_M12
10.912     14.5079    3.8419     R_MP3
11.6607    14.6495    3.6691     R_PMI
10.1969    6.7689     5.2854     L_PG
9999       9999       9999       L_ZTI
11.3195    10.456     5.3007     L_M3D
12.4374    11.5601    5.0227     L_M12
13.1093    12.9216    4.1249     L_MP3
12.8475    13.5995    3.8919     L_PMI
13.3535    13.2518    4.4218     O1
12.6148    9.3179     3.8384     O2
7.58       10.9147    1.5151     O3
6.1773     5.5441     4.905      O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































8.9024     12.427     5.0433     R-ALV
8.8963     12.6191    5.0251
8.9577     12.7979    4.9648
9.0432     12.9417    4.921
9.1054     13.0762    4.8361
9.2127     13.2453    4.8044
9.2715     13.333     4.7852
9.3446     13.461     4.7271
9.4594     13.6502    4.568
9.6334     13.7515    4.4371
9.7472     13.8295    4.4009
9.8697     13.9366    4.4161
9.9713     14.0051    4.4423
10.1371    14.0388    4.3627
10.2122    14.1421    4.2704
10.3491    14.2133    4.2056
