KNM        ER 971     Too21stv
17.9466    19.7862    8.8111     IN
14.7397    16.847     12.0279    BR
10.2896    11.7598    11.7398    GL
10.0448    11.4078    10.3704    NA
9999       9999       9999       RH
6.0755     6.5516     4.6312     NS
5.6304     6.171      3.7331     PR
4.9695     6.7674     3.5646     R_PR2
9999       9999       9999       R_PMS
6.3649     13.885     5.0771     R_ZMI
8.5021     12.7279    8.7243     R_ZMU
9.7832     12.0588    9.9234     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
11.3577    20.4989    7.2786     R_PO
6.5591     16.8845    6.9337     R_ZTS
6.3648     5.8719     3.8457     L_PR2
9999       9999       9999       L_PMS
13.0958    7.9496     5.2313     L_ZMI
11.9697    9.7755     8.7095     L_ZMU
10.5225    11.0561    9.8773     L_DA
11.9258    10.8793    11.5918    L_MTI
12.2451    11.2346    12.2936    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
18.8324    14.1363    7.9315     L_PO
16.2389    8.7002     7.8457     L_ZTS
6.7163     6.0124     4.4585     O1
17.0597    9.4183     8.2533     O2
10.2118    15.0724    11.9722    O3
19.2789    18.0289    8.5105     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































6.0817     6.5765     4.6501     NASP-PR
5.8952     6.3866     4.4409
5.7867     6.2799     4.3446
5.6851     6.1873     4.1178
5.6067     6.2022     3.9394
5.6422     6.202      3.7412


































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































5.9186     11.3451    3.5606     ROSTRUM
5.9156     11.2987    3.9552
6.0058     11.4584    4.3815
6.0945     11.4125    4.7722
6.3188     11.3481    5.196
6.4637     11.3082    5.5516
