AMNH       163082     Sep1stv
2.2031     9.5428     7.7013
2.3786     9.6289     7.4565
2.5087     9.7035     7.2223
2.6426     9.7698     7.0428
2.7162     9.7857     6.8816
2.745      9.8175     6.7409








































































































































































-2.3972    10.6175    9.8916     SUPORB
-2.3715    10.5849    10.0224
-2.3015    10.5623    10.1434
-2.1839    10.4606    10.2589
-2.0753    10.3437    10.291
-1.9574    10.1764    10.3481
-1.826     10.0599    10.3764
-1.6719    9.9406     10.447
-1.5166    9.8283     10.4958
-1.4397    9.7506     10.5109
-1.2927    9.6388     10.5314
-1.1284    9.5648     10.5519
-0.9884    9.5002     10.5755
-0.8539    9.4414     10.5821
-0.7323    9.3782     10.5987
-0.6223    9.3107     10.5908
-0.4762    9.2621     10.6086
-0.2991    9.2039     10.5885
-0.1441    9.1482     10.5851
0.0124     9.1149     10.5607
0.2305     9.0453     10.5118
0.432      8.981      10.4307
0.642      8.9605     10.3617
0.7981     8.9308     10.2921
1.0184     8.924      10.3269
1.1841     8.9787     10.4739
1.4781     9.0359     10.61
1.7715     9.109      10.6815
2.0469     9.1816     10.7222
2.3042     9.2869     10.7575
2.6064     9.4043     10.7773
2.8392     9.495      10.7619
3.0944     9.6026     10.7357
3.3013     9.7668     10.7248
3.4726     9.8912     10.7056
3.7492     10.0916    10.5827
3.8995     10.2116    10.5029
4.0278     10.2786    10.3856
4.1033     10.3697    10.3053
4.1461     10.3931    10.2104
4.1804     10.3977    10.1495































































































































































-0.5552    9.8819     8.2539     RORBIT
-0.7173    9.8866     8.2074
-0.937     9.9457     8.2146
-1.1238    10.0056    8.2058
-1.3333    10.0911    8.2572
-1.5068    10.1246    8.3185
-1.7046    10.1622    8.4506
-1.8385    10.2321    8.6346
-1.8788    10.2665    8.7954
-1.9287    10.3038    8.9462
-1.9861    10.2981    9.1525
-1.9879    10.2797    9.3612
-2.0344    10.169     9.5871
-1.9089    10.1122    9.7527
-1.7608    10.0578    9.8885
-1.6061    9.9699     10.0487
-1.4326    9.8231     10.1405
-1.2145    9.6726     10.2281
-0.9069    9.4991     10.2799
-0.5807    9.3827     10.2647
-0.3176    9.2629     10.2195
-0.0488    9.1825     10.1484
0.2204     9.141      10.0301
0.3152     9.2522     9.8615
0.325      9.2901     9.8347
0.3694     9.5197     9.6402
0.4304     9.7211     9.5166





















































































































