AMNH       99.1/2285  See1stv
0.8902     4.217      5.8889
1.0787     4.2827     5.5643
1.231      4.393      5.3811
1.3899     4.4559     5.15
1.5323     4.5661     4.864
1.6339     4.638      4.7095
1.7857     4.6717     4.4461
1.9099     4.7852     4.2861
2.0153     4.8411     4.0366
2.0293     4.8355     3.8168
2.0771     4.9058     3.709
2.0711     4.9564     3.6399






































































































































































-3.2137    6.0578     8.053      SUPORB
-3.1116    5.9438     8.2282
-2.9306    5.7915     8.3272
-2.7255    5.6472     8.3831
-2.6243    5.4541     8.3829
-2.5191    5.323      8.3902
-2.4515    5.2267     8.4226
-2.2894    5.0204     8.47
-2.105     4.8781     8.5207
-1.8726    4.7434     8.5397
-1.5594    4.6195     8.556
-1.2605    4.4993     8.5857
-0.9317    4.3905     8.5641
-0.619     4.2971     8.5305
-0.3052    4.2821     8.5156
-0.1047    4.247      8.4579
0.1092     4.2357     8.3966
0.3288     4.2424     8.3633
0.587      4.274      8.4323
0.9247     4.2746     8.5002
1.3329     4.3197     8.5361
1.5673     4.3623     8.5201
1.8076     4.5005     8.5538
2.1747     4.6129     8.4707
2.6406     4.8203     8.3959
2.9402     5.049      8.3203
3.1481     5.271      8.246
3.3243     5.5105     8.1805
3.4675     5.703      8.1552
3.5564     5.9193     8.1631
3.7163     6.0177     7.9881
3.744      5.9955     7.9116








































































































































































-1.4245    5.1341     5.7471     RORBIT
-1.6788    5.1712     5.743
-1.9724    5.2246     5.7777
-2.1814    5.3005     5.8676
-2.436     5.3593     6.0105
-2.5861    5.386      6.2009
-2.7028    5.4333     6.4099
-2.7952    5.4249     6.6552
-2.8605    5.4019     6.9289
-2.8524    5.4196     7.0924
-2.8602    5.4067     7.2808
-2.8363    5.3296     7.4112
-2.7398    5.2802     7.5172
-2.6372    5.1855     7.6495
-2.5349    5.0801     7.7876
-2.3523    4.9431     7.9385
-2.2381    4.8527     7.9932
-2.0506    4.7835     8.0288
-1.7585    4.6        8.0871
-1.5661    4.493      8.1073
-1.3852    4.4438     8.1214
-1.1966    4.4128     8.1021
-1.0298    4.3904     8.0536
-0.8163    4.3395     8.0465
-0.5263    4.3774     7.9651
-0.4782    4.5211     7.8676
-0.42      4.6054     7.7193
-0.3869    4.6965     7.4944
-0.3507    4.741      7.298
-0.3372    4.7696     7.1986










































































































































































1.8389     5.0915     5.6531     LORBIT
2.0834     5.1515     5.645
2.3779     5.1864     5.6504
2.6981     5.2866     5.7416
2.9075     5.3248     5.865
3.0859     5.3671     6.0414
3.2392     5.3755     6.19
3.3377     5.3721     6.3529
3.3463     5.355      6.5385
3.3684     5.3687     6.7305
3.4054     5.381      6.9025
3.4231     5.3601     7.065
3.4173     5.3221     7.1816
3.3886     5.2611     7.3047
3.264      5.172      7.4759
3.1653     5.069      7.634
3.0379     5.0073     7.6981
2.8534     4.893      7.8232
2.6117     4.7573     7.9278
2.4386     4.6452     7.9856
2.1886     4.529      8.0486
1.9892     4.4629     8.0572
1.7694     4.4462     8.0404
1.5154     4.3679     8.043
1.2724     4.3913     7.9828
1.0547     4.3827     7.8679
0.9396     4.5337     7.5694
0.9196     4.6272     7.4465
0.885      4.7675     7.2692











































































































































































-3.243     6.0577     8.0033     RTEMFOS
-3.2799    6.0581     7.7817
-3.3483    5.9902     7.6184
-3.3682    5.9463     7.3785
-3.4179    5.8924     7.2179
-3.439     5.8419     7.0759
-3.4353    5.8973     6.8294
-3.459     5.8474     6.6878
-3.4488    5.8988     6.4817
-3.4699    5.881      6.3398
-3.4698    5.9252     6.1279
-3.5069    5.9333     5.933
-3.5214    6.0318     5.7481
-3.5789    6.1081     5.5994
-3.6388    6.2016     5.5221
-3.7414    6.3395     5.4736
-3.8471    6.5205     5.4438
-3.9351    6.6885     5.4759
-3.9654    6.7866     5.4921
-4.0243    7.0068     5.5461




















































































































































































9999       9999       9999       LTEMFOS







































































































































































































0.2481     3.4083     8.6019     OP
0.2151     5.1186     9.1536     BA
9999       9999       9999       ST
-0.0342    12.5685    8.8296     IV
-3.3423    5.286      9.0422     R_PG
9999       9999       9999       R_ZTI
-1.4862    9.1607     9.6698     R_M3D
-1.8504    10.6531    9.606      R_M12
9999       9999       9999       R_MP3
-1.1777    13.337     9.1655     R_PMI
3.7731     5.7043     8.9944     L_PG
9999       9999       9999       L_ZTI
1.671      9.2386     9.5962     L_M3D
2.0148     10.7005    9.5625     L_M12
1.7558     12.4124    9.2937     L_MP3
1.1396     13.4064    9.1379     L_PMI
-0.5999    13.7529    8.6294     O1
3.2783     9.6332     5.2665     O2
-4.3047    9.0304     8.3912     O3
-0.8287    2.0564     6.1558     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































1.6842     9.2569     9.6376     L-ALV
1.7743     9.4042     9.6849
1.8405     9.5615     9.6386
1.8877     9.779      9.6783
1.9446     9.9411     9.6521
1.9831     10.0943    9.615
1.9976     10.2451    9.631
2.0119     10.4031    9.6147
2.013      10.6271    9.6011
1.989      10.8027    9.6059
1.9601     11.0071    9.5527
1.9435     11.1837    9.5373
1.8147     11.5186    9.41
1.7889     11.6517    9.4252
1.7582     11.8124    9.3851
1.7431     12.0794    9.3695
1.7383     12.2074    9.3458
1.7297     12.325     9.335
1.7368     12.5012    9.3129
