AMNH       106599     Psmm057z
14.6646    14.0479    8.6558     IN
17.272     16.6991    10.219     BR
20.0571    19.8215    7.2614     GL
20.0833    19.872     7.0865     NA
20.209     20.0052    6.213      RH
20.4001    20.276     4.5455     NS
20.5101    20.4333    4.1278     PR
20.8047    20.0967    4.0766     R_PR2
20.2388    19.5822    6.6537     R_PMS
21.0195    17.2686    4.6434     R_ZMI
21.0609    18.0824    5.3643     R_ZMU
19.7831    18.9791    6.8841     R_DA
20.5879    18.2589    7.7685     R_MTI
20.6332    18.2125    7.9307     R_MTS
21.3506    17.1337    7.0091     R_FMO
21.3157    16.7277    7.2331     R_FMT
18.5786    14.0107    5.9192     R_PO
21.2095    15.7811    5.2186     R_ZTS
20.1372    20.6807    4.1726     L_PR2
19.8078    19.954     6.7719     L_PMS
17.2726    20.8275    4.7874     L_ZMI
18.1311    20.7209    5.4329     L_ZMU
19.2774    19.4674    6.8745     L_DA
18.2974    20.3265    7.8269     L_MTI
18.3097    20.2199    8.0211     L_MTS
17.2097    20.9638    6.9283     L_FMO
16.9429    20.7116    7.4763     L_FMT
14.3309    17.7674    5.9839     L_PO
15.8137    20.5254    5.3482     L_ZTS
14.4833    14.288     8.7338     O1
18.619     13.9794    7.6527     O2
20.9206    19.0514    4.4298     O3
16.8594    20.3479    7.3605     O4







































































































































































20.0563    19.845     7.0856     GLRH
20.0916    19.8769    6.9748
20.1401    19.9145    6.8609
20.1566    19.9256    6.7438
20.1769    19.9293    6.5986
20.159     19.9635    6.4402
20.1847    19.9997    6.265
20.1781    19.9901    6.2177
































































































































































































20.2148    19.9777    6.2216     NOSE
20.2783    19.8826    6.2294
20.3252    19.7825    6.249
20.3607    19.6829    6.1044
20.3781    19.6461    6.0553
20.4232    19.6236    5.9388
20.4184    19.6291    5.8233
20.4561    19.5959    5.5849
20.4965    19.6004    5.3772
20.5653    19.7094    5.1747
20.5697    19.7884    4.9488
20.5235    19.9357    4.8059
20.497     20.0495    4.7047
20.4317    20.2094    4.6203
20.3796    20.3161    4.5702
20.1876    20.3544    4.7397
20.0534    20.3605    4.8928
19.9334    20.3289    4.9546
19.8423    20.3218    5.0912
19.7585    20.2803    5.3807
19.7492    20.2183    5.7591
19.799     20.1529    5.9663
19.8455    20.1356    6.0926
19.9392    20.1074    6.2528
19.993     20.0615    6.2531
20.0618    20.0259    6.2444
20.1044    20.0025    6.2869
20.1697    19.9876    6.2506












































































































































































20.4314    20.282     4.5319     NASP-PR
20.4739    20.3092    4.4887
20.4865    20.3446    4.4523
20.5252    20.4213    4.3403
20.5428    20.4322    4.2831
20.5181    20.4353    4.2436
20.5034    20.429     4.1634







































































































































































