KNM        ER 1485    Rht2stv
































































































































































6.6217     9.8552     5.8969     ROSTRUM
6.6992     9.9199     6.1871
6.7424     9.9515     6.3835
6.7959     9.9994     6.6094
6.8623     9.9934     6.8327
6.9725     9.9646     7.0771
7.0702     9.9896     7.3004
7.1759     10.0291    7.5372
7.3356     10.0876    7.7953
7.4995     10.0023    8.0001
7.6108     9.9475     8.1485
7.7131     9.9342     8.2435
7.9256     9.8299     8.2623
9.7192     8.0627     8.3669
9.8498     7.9283     8.2039
9.9191     7.8727     8.0798
9.9999     7.7991     7.9261
10.0307    7.6857     7.6713
10.053     7.6113     7.4669
10.1065    7.5659     7.2466
10.0989    7.5072     7.1239
10.1198    7.461      6.9987
10.1025    7.398      6.8349
10.1367    7.4109     6.7612
10.1201    7.3448     6.5625
10.0699    7.3163     6.3474
10.0742    7.3148     6.176
10.084     7.2797     6.0713
10.0741    7.2561     5.9425
10.0187    7.2404     5.8144
10.0232    7.2341     5.7346









































































































































































9999       9999       9999       SUPORB
10.4441    10.9713    12.5742
10.5301    10.8802    12.6036
10.6709    10.7611    12.6357
10.8205    10.6573    12.6863
10.9836    10.588     12.7195
11.1748    10.5253    12.7677
11.352     10.4463    12.8053
11.4987    10.4068    12.8306
11.6784    10.3132    12.8553
11.8834    10.2136    12.8586
12.0821    10.1481    12.824
12.2818    10.0839    12.7894
12.4531    10.0022    12.7419
12.572     9.9408     12.6954
12.76      9.8594     12.6043
13.01      9.7466     12.4671
13.1801    9.664      12.3044
13.4101    9.5269     12.1245
13.5787    9.4212     11.9399
13.7517    9.3254     11.7186
13.8841    9.2242     11.5007
13.9585    9.2015     11.3097
14.0598    9.0852     11.1781
14.0551    9.0232     11.0652
14.0893    8.9289     10.8375
14.0788    8.8955     10.7521













































































































































































9999       9999       9999       RORBIT







































































































































































































