AMNH       102205     Psmm053z
17.7392    19.9054    4.2497
17.608     19.8004    4.1363
17.5599    19.7287    4.0077




































































































































































21.1434    16.6929    6.9777     SUPORB
21.1136    16.8004    7.0939
21.0747    16.9418    7.1332
21.0351    17.0237    7.2108
20.9197    17.2513    7.376
20.8631    17.3962    7.4389
20.7595    17.5815    7.5285
20.646     17.7949    7.5832
20.4715    18.101     7.6321
20.3698    18.2583    7.6245
20.2691    18.3701    7.6279
20.1005    18.7094    7.6104
19.9489    18.9798    7.5406
19.7705    19.2143    7.486
19.7143    19.3186    7.4398
19.6236    19.4215    7.4242
19.5129    19.505     7.4076
19.3946    19.5875    7.4094
19.2446    19.6726    7.4521
19.119     19.7334    7.512
18.9856    19.8007    7.5572
18.7717    19.8666    7.6463
18.3572    20.0069    7.703
18.2033    20.0831    7.7022
18.0827    20.1304    7.6727
17.9677    20.161     7.6565
17.6923    20.2878    7.5795
17.3925    20.4043    7.5108
17.1999    20.4602    7.4648
17.0383    20.4831    7.3316
16.8213    20.4824    7.2613
16.5949    20.4795    7.1085
16.4282    20.4747    6.9275







































































































































































20.7953    17.7643    5.3265     RORBIT
20.8218    17.5935    5.4033
20.9765    17.4283    5.5499
21.0844    17.2658    5.79
21.098     17.1254    6.2238
21.0535    17.0958    6.5859
21.0223    17.2079    6.9077
20.9599    17.3888    7.2407
20.7679    17.6673    7.4554
20.5605    18.0185    7.5452
20.3836    18.2865    7.502
20.2563    18.5772    7.4994
20.1337    18.6934    7.4375
19.9777    18.9347    7.4131
19.872     19.1122    7.2785
19.8059    19.2195    7.1622
19.7768    19.2384    7.0461
19.2878    18.6931    6.5553






















































































































































































17.6242    20.401     5.316      LORBIT
17.3621    20.516     5.4576
17.2053    20.533     5.6279
17.0984    20.5541    5.8585
16.9583    20.515     6.2524
16.9984    20.6092    6.6903
17.0928    20.5471    6.9479
17.1887    20.543     7.0746
17.3957    20.4785    7.2121
17.6426    20.383     7.3904
17.8979    20.2653    7.4455
18.1412    20.177     7.5037
18.4127    20.0335    7.454
18.7128    19.922     7.5136
18.9242    19.8413    7.4634
19.0993    19.7161    7.2941
19.2393    19.6169    6.9946
18.8615    19.0918    6.4821






















































































































































































21.1356    16.6515    6.9813     RTEMFOS
21.229     16.6656    6.7867
21.261     16.6886    6.5711
21.2758    16.7338    6.3686
21.3231    16.82      6.1829
21.3065    16.8435    6.006
21.2287    16.8366    5.8169
21.2737    16.8211    5.6526
21.221     16.7379    5.3896
21.1527    16.5727    5.2149
21.0565    16.2802    5.0676
20.9848    16.1012    5.1158
20.8768    15.8286    5.1494
20.7561    15.6711    5.36


























































































































































































16.5574    20.5012    6.9897     LTEMFOS
16.467     20.5397    6.8212
16.5094    20.5817    6.5218
16.5173    20.6093    6.4363
16.5609    20.6566    6.1612
16.5923    20.6164    5.9215
16.6486    20.6231    5.7471
16.6478    20.5624    5.4546
16.5375    20.4828    5.2218
16.4443    20.422     5.1204
16.2216    20.4007    5.0998
15.9706    20.248     5.096
15.8203    20.1617    5.1851
15.6846    20.0955    5.309


























































































































































































19.0303    19.3727    8.039      OP
18.1113    18.2254    8.3151     BA
16.0827    15.4145    8.2321     ST
15.1348    14.118     8.2223     IV
20.161     16.4025    8.3848     R_PG
19.6795    14.2619    7.9645     R_ZTI
17.5258    15.3732    8.5434     R_M3D
17.2357    14.1815    8.7268     R_M12
16.0411    13.1632    8.6527     R_MP3
15.3551    13.1706    8.4202     R_PMI
15.7754    19.6095    8.1162     L_PG
13.9646    18.4417    7.7393     L_ZTI
15.6856    16.7518    8.4888     L_M3D
14.5336    16.1826    8.5772     L_M12
13.9945    14.8759    8.4691     L_MP3
14.1333    14.1951    8.3789     L_PMI
19.689     20.5577    5.4032     O1
20.6661    16.8229    5.5889     O2
15.8544    13.2392    7.7277     O3
14.1145    16.7619    5.3712     O4




















































































































































































17.7764    13.1365    8.3014     RZYGINF
18.0114    13.1752    8.4135
18.1318    13.2607    8.4556
18.3607    13.3767    8.456
18.61      13.5213    8.3589
18.8122    13.6332    8.2882
18.9356    13.7237    8.2385
19.0645    13.8802    8.216
19.2738    14.0301    8.1461
19.3751    14.0468    8.1192
19.5701    14.0839    7.9973
19.6695    14.2092    8.0044
19.6785    14.3016    7.9688



























































































































































































13.5627    16.4473    8.1189     LZYGINF
13.5195    16.7953    8.224
13.5174    16.9582    8.2287
13.5734    17.2646    8.1878
13.6277    17.3729    8.1365
13.7472    17.6148    8.025
13.8238    17.8968    7.9276
13.8793    18.1722    7.8476
13.9252    18.387     7.8062
13.9299    18.5058    7.7551






























































































































































































17.5404    15.4023    8.5298     R-ALV
17.5674    15.3       8.5373
17.5705    15.0469    8.5939
17.5643    14.9754    8.6122
17.5155    14.716     8.6162
17.4658    14.5226    8.6816
17.3157    14.3321    8.6978
17.2304    14.0662    8.7831
17.0886    13.8296    8.8336
16.8308    13.5692    8.7739
16.6336    13.4577    8.768
16.3909    13.2588    8.6878
16.2555    13.1603    8.6224
16.1376    13.1336    8.5902
16.0731    13.1109    8.5777

























































































































































































15.7164    16.7411    8.5115     L-ALV
15.5469    16.7447    8.5196
15.4661    16.7568    8.5165
15.3653    16.7015    8.4813
15.0981    16.58      8.5098
14.8781    16.4997    8.5167
14.7143    16.3482    8.5783
14.565     16.2252    8.5821
14.4161    16.1176    8.6001
14.2273    15.8789    8.5159
14.142     15.741     8.4907
14.1728    15.6676    8.542
14.0436    15.3974    8.4755
13.98      15.1942    8.4811
13.9353    15.1076    8.4833
13.9124    15.0086    8.4583
13.8492    14.7797    8.328
13.837     14.671     8.2711
