FMNH       27187      Tg15stv
15.2618    15.4093    15.3508    IN
12.162     12.3458    16.9778    BR
8.4655     8.3137     13.5861    GL
8.735      8.4667     13.2056    NA
8.1935     7.8518     9.2283     RH
6.8294     6.3442     7.146      NS
6.5316     6.0886     5.3216     PR
6.1983     6.5726     5.2397     R_PR2
7.9908     8.4069     9.2925     R_PMS
7.4796     12.2373    8.955      R_ZMI
8.3397     9.9968     11.5262    R_ZMU
8.8567     8.9757     12.715     R_DA
7.4558     9.2892     13.2682    R_MTI
7.5318     9.3689     13.8951    R_MTS
7.4466     11.0942    13.1624    R_FMO
7.4087     11.6858    13.7428    R_FMT
10.9619    16.595     12.7816    R_PO
7.376      14.0777    10.6443    R_ZTS
6.9646     5.7957     5.2165     L_PR2
8.9153     7.7129     9.3132     L_PMS
12.882     7.3496     9.1822     L_ZMI
10.6037    8.0796     11.5486    L_ZMU
9.3495     8.654      12.708     L_DA
9.7468     7.2966     13.3964    L_MTI
9.9773     7.3368     14.037     L_MTS
11.6045    7.4424     13.1348    L_FMO
11.9811    7.4556     13.8631    L_FMT
16.6036    11.2117    12.848     L_PO
14.41      7.4214     10.8912    L_ZTS
7.3181     5.6106     6.3996     O1
7.8403     10.8147    14.1199    O2
16.0674    8.7943     11.5106    O3
15.9798    14.7927    15.0709    O4







































































































































































8.5224     8.2695     13.6005    GLRH
8.5934     8.3595     13.4726
8.6395     8.4825     13.3627
8.7244     8.4816     13.21
8.7418     8.4764     13.05
8.7989     8.5067     12.9417
8.8342     8.6212     12.764
8.8972     8.6632     12.6458
8.9791     8.676      12.4825
9.0059     8.7406     12.334
9.0371     8.768      12.1692
