NMNH       240885     Tg11stv
18.0263    17.926     15.099     IN
15.0328    15.1423    17.456     BR
10.5859    10.6362    14.3534    GL
10.8919    10.8253    13.7205    NA
10.4913    10.2846    10.2716    RH
9.0753     8.8163     8.097      NS
8.8892     8.4888     6.4501     PR
8.5246     9.0223     6.3969     R_PR2
10.0565    10.5758    9.9468     R_PMS
9.909      14.7648    9.4908     R_ZMI
10.3997    12.6834    12.048     R_ZMU
10.8906    11.4234    13.1843    R_DA
9.6041     12.0977    13.7839    R_MTI
9.6099     12.2171    14.635     R_MTS
9.6731     13.9147    13.4038    R_FMO
9.6614     14.582     14.0787    R_FMT
14.0353    19.1699    12.6091    R_PO
9.8929     16.4548    11.034     R_ZTS
9.3905     8.1488     6.4358     L_PR2
10.7136    9.7896     9.7201     L_PMS
15.0704    9.6076     9.8563     L_ZMI
12.816     10.1223    12.2053    L_ZMU
11.4114    10.8278    13.1817    L_DA
12.2187    9.3877     14.0749    L_MTI
12.3104    9.7225     14.8928    L_MTS
13.8841    9.5563     13.8101    L_FMO
14.5979    9.7278     14.3931    L_FMT
19.2045    13.4601    13.1357    L_PO
16.5108    9.7652     11.2096    L_ZTS
9.6258     7.8627     5.8755     O1
10.1982    13.8625    14.9103    O2
18.4578    10.5791    12.0787    O3
18.3743    17.4495    14.9918    O4







































































































































































10.518     10.7037    14.2641    GLRH
10.64      10.7865    14.1091
10.7355    10.9118    13.9438
10.8032    10.9123    13.814
10.7821    10.9412    13.6028
10.8301    10.8786    13.4827
10.9019    10.8772    13.3304
11.036     10.9396    12.9835
11.0385    10.9365    12.8268
11.0543    10.9583    12.7154
11.0872    10.9688    12.5806
11.0933    10.9488    12.4225
11.1248    10.911     12.2948
11.1313    10.8992    12.1439
11.15      10.8859    11.9811
11.1609    10.8456    11.8251
11.1048    10.8435    11.7101
11.0686    10.7979    11.5805
11.0304    10.7429    11.4584
10.9996    10.7014    11.3471
10.9682    10.66      11.2434
10.9138    10.6252    11.1304
10.8445    10.5961    10.9961
10.7806    10.5261    10.8406
10.7209    10.464     10.7285
10.6937    10.4275    10.6144
10.6338    10.3585    10.4976
10.5351    10.3098    10.3637
10.4841    10.2913    10.2567











































































































































































10.541     10.2923    10.2396    NOSE
10.4549    10.3272    10.2241
10.3446    10.4034    10.1607
10.1436    10.5156    10.0384
10.0316    10.5226    9.8563
9.97       10.4878    9.7012
9.8651     10.4607    9.5808
9.7628     10.4209    9.4693
9.6764     10.4014    9.3435
9.5799     10.3311    9.2335
9.5162     10.2814    9.1448
9.4366     10.2082    9.0584
9.3585     10.1602    8.9611
9.2416     10.0496    8.8487
9.1672     9.9258     8.7301
9.0641     9.8751     8.6398
8.9707     9.8119     8.5196
8.8997     9.5907     8.4036
8.862      9.4941     8.3628
8.8314     9.3751     8.3336
8.8262     9.2874     8.3099
8.8316     9.1906     8.2938
8.8425     9.0679     8.3023
8.861      8.9389     8.2839
8.9394     8.8635     8.2145
8.9595     8.7823     8.0708
9.0651     8.6958     8.0433
9.0959     8.6653     8.0911
9.1265     8.6026     8.2784
9.357      8.5778     8.2507
9.5308     8.5681     8.2944
9.8085     8.5577     8.3739
9.9534     8.6668     8.4793
10.1231    8.7654     8.636
10.1931    8.8622     8.7194
10.2538    8.9095     8.8122
10.3557    8.9603     8.9113
10.4152    9.022      9.0018
10.4815    9.1486     9.127
10.5368    9.2461     9.2158
10.5588    9.3736     9.3507
10.6264    9.4741     9.4706
10.6663    9.6055     9.6434
10.6945    9.6611     9.7282
10.7372    9.8015     9.9037
10.6838    9.8658     9.989
10.6607    9.9544     10.1155
10.6156    10.0492    10.2094
10.5371    10.2322    10.3487
10.5057    10.2872    10.2597






















































































































































9.0822     8.6614     8.0898     NASP-PR
8.9758     8.5785     7.9688
8.8934     8.5154     7.8407
8.8088     8.4494     7.6734
8.7635     8.4458     7.4933
8.7667     8.437      7.3013
8.7549     8.4548     7.0653
8.8536     8.4876     6.8505
8.8651     8.4827     6.6956
8.8454     8.4511     6.5693
8.8719     8.4639     6.4876





























































































































































































10.0238    10.5293    9.8709     R-PM/MAX
9.9447     10.4961    9.7397
9.8194     10.4296    9.5761
9.7252     10.3841    9.4435
9.616      10.3796    9.3106
9.5325     10.3489    9.217
9.4117     10.2961    9.0708
9.3244     10.2737    8.9359
9.2094     10.2322    8.8201
9.1165     10.2802    8.6559
9.0045     10.2545    8.493
8.9387     10.2376    8.3517
8.8665     10.2603    8.1938
8.7806     10.163     8.0811
8.7223     10.1353    7.9806
8.6203     10.0839    7.8475
8.4872     10.0629    7.6583
8.4005     10.0434    7.4824
8.3206     10.0447    7.2556
8.3456     9.9597     7.0847
8.4837     9.8485     6.8211
8.5719     9.7424     6.6765


















































































































































































10.7289    9.7576     9.8349     L-PM/MAX
10.6566    9.6948     9.6429
10.5985    9.5939     9.4672
10.5494    9.4664     9.3749
10.5153    9.3396     9.229
10.5164    9.1955     9.1671
10.5204    9.1012     9.0546
10.4847    9.0241     8.9661
10.4432    8.9094     8.8916
10.4307    8.8257     8.7951
10.4546    8.7744     8.6475
10.6131    8.7241     8.4842
10.6268    8.6602     8.2884
10.5585    8.5292     8.1143
10.4796    8.4051     7.9989
10.4298    8.3041     7.8759
10.3632    8.155      7.6821
10.4272    8.0514     7.3664
10.3846    8.0509     7.1407
10.2313    8.1146     6.9959
10.0983    8.1429     6.8518



















































































































































































10.3288    13.0296    7.0467     ROSTRUM
10.2911    13.0418    7.2732
10.2449    13.0096    7.4589
10.2221    12.8902    7.6749
10.3243    12.7526    7.8099
10.4507    12.6116    7.9459
10.5243    12.4569    8.1195
10.5947    12.4222    8.2358
10.6247    12.2886    8.467
10.6482    12.2171    8.621
10.6563    12.1825    8.8402
10.6781    12.1243    9.0899
10.7133    12.1292    9.2394
10.713     12.0535    9.3996
10.7057    11.9905    9.5302
10.6565    11.9273    9.8335
10.6634    11.9676    10.0479
10.6209    11.9698    10.2832
10.5617    11.8798    10.5413
10.5847    11.8478    10.7168
10.612     11.7651    10.8725
10.64      11.7082    11.0032
10.709     11.5696    11.1061
10.7429    11.5079    11.1628
10.7671    11.455     11.2594
10.8173    11.3258    11.3958
10.8346    11.2485    11.4804
10.815     11.1428    11.6204
10.8883    11.0934    11.6688
10.9411    11.0015    11.721
10.9841    10.9464    11.7862
11.1335    10.8591    11.8136
11.289     10.772     11.7651
11.3807    10.6695    11.6761
11.4925    10.6284    11.5107
11.5962    10.545     11.3149
11.8083    10.4276    11.1534
11.8941    10.3814    11.0157
11.9986    10.3002    10.8275
12.1263    10.291     10.7158
12.2164    10.281     10.5439
12.2831    10.3185    10.349
12.2683    10.3608    10.0294
12.321     10.3949    9.8383
12.4024    10.4281    9.6058
12.4749    10.3965    9.4142
12.5252    10.3829    9.2213
12.6146    10.4149    8.9991
12.7274    10.4071    8.8278
12.7683    10.3638    8.6587
12.8863    10.342     8.457
13.0213    10.2928    8.3053
13.1626    10.1918    8.188
13.2446    10.1164    8.1063
