AMNH       102210     Psmm056z
14.45      13.5762    8.3446     IN
16.9203    16.6976    10.3781    BR
19.3849    19.6109    7.2945     GL
19.4187    19.6692    7.1367     NA
19.4771    19.7152    6.3521     RH
19.6953    19.9817    4.7891     NS
19.8409    20.1778    4.3857     PR
20.2279    19.8444    4.4012     R_PR2
19.5711    19.4236    6.6692     R_PMS
20.6042    17.1088    4.8761     R_ZMI
20.6622    17.7336    5.6401     R_ZMU
19.0498    18.6758    6.9086     R_DA
20.1913    18.0878    8.0423     R_MTI
20.1354    18.0257    8.3813     R_MTS
20.8758    17.0768    7.4103     R_FMO
20.9232    16.7715    7.5874     R_FMT
18.3786    13.8362    6.5179     R_PO
20.5507    15.5871    5.5514     R_ZTS
19.4462    20.4508    4.28       L_PR2
19.0676    19.7079    6.6883     L_PMS
16.6413    20.2414    4.8004     L_ZMI
17.352     20.3752    5.534      L_ZMU
18.6399    19.1489    7.0231     L_DA
17.7504    20.0553    8.0719     L_MTI
17.7222    19.9489    8.3699     L_MTS
16.497     20.5059    6.9837     L_FMO
16.1846    20.4362    7.3434     L_FMT
14.1292    17.2253    6.2999     L_PO
15.5493    19.925     5.2569     L_ZTS
14.2893    13.9234    8.8065     O1
18.7038    13.9865    7.8219     O2
20.3518    18.9916    4.8934     O3
16.377     20.0539    7.5686     O4







































































































































































19.4213    19.6403    7.1871     GLRH
19.4713    19.6592    7.0728
19.4872    19.6606    6.8814
19.4769    19.6777    6.6985
19.4845    19.6687    6.5743
19.5242    19.6949    6.454
19.4957    19.701     6.3518

































































































































































































19.5029    19.6945    6.3507     NOSE
19.5628    19.6257    6.3249
19.617     19.5471    6.2585
19.6115    19.4762    6.1594
19.7026    19.4505    6.1336
19.7628    19.4019    5.8702
19.8195    19.3928    5.6843
19.8649    19.4153    5.481
19.8811    19.5296    5.2759
19.8608    19.6551    5.1158
19.8177    19.8405    4.9375
19.7134    19.9224    4.8485
19.6271    20.0221    4.8417
19.4422    20.0422    5.0306
19.2869    20.0085    5.1881
19.1543    19.9894    5.382
19.12      19.9246    5.5979
19.1252    19.8926    5.962
19.1713    19.8409    6.0035
19.192     19.8327    6.1509
19.3177    19.7636    6.2642
19.4578    19.7283    6.3728
19.4965    19.6867    6.3734

















































































































































































19.7046    19.9648    4.8115     NASP-PR
19.7627    20.0147    4.752
19.828     20.0742    4.6226
19.8721    20.1101    4.6043
19.8837    20.1252    4.5345
19.8724    20.1413    4.4208
19.8721    20.1446    4.3852

































































































































































































19.5858    19.436     6.7525     R-PM/MAX
19.6051    19.4357    6.5759
19.6064    19.3511    6.458
19.6716    19.3307    6.3313
19.7456    19.3211    6.0535
19.7762    19.2824    5.9146
19.8706    19.2523    5.6465
19.9274    19.2437    5.4959
20.0406    19.3019    5.284
20.0844    19.3175    5.2026
20.214     19.3407    4.9893
20.3471    19.3417    4.7882
20.4372    19.2959    4.6034
20.4516    19.2493    4.3251
20.4586    19.241     4.3463

























































































































































































19.039     19.7251    6.4944     L-PM/MAX
19.0107    19.7605    6.3172
18.9836    19.8362    6.0214
18.9364    19.9195    5.7356
18.9282    20.0133    5.5251
18.8991    20.117     5.2756
18.9193    20.2456    5.0501
18.9849    20.3977    4.8753
18.921     20.4878    4.6499
18.9146    20.5542    4.461
18.9307    20.5257    4.3495
18.9221    20.4637    4.2636




























































































































































































20.0255    17.7391    4.351      ROSTRUM
20.213     17.9002    4.611
20.2435    18.0846    4.8872
20.1834    18.2678    5.1406
20.102     18.4259    5.2909
19.9913    18.6183    5.4723
19.971     18.7536    5.6278
19.7775    18.9538    5.8711
19.7049    19.0744    6.1166
19.6405    19.2202    6.3432
19.5818    19.3727    6.6373
19.5776    19.5048    6.7599
19.5242    19.6351    6.7964
19.3511    19.7461    6.7998
19.0412    19.7345    6.5153
18.8325    19.7482    6.1875
18.6078    19.7476    5.8919
18.3308    19.8914    5.6171
18.1       20.0047    5.255
17.9799    19.9902    5.0798
17.7579    20.028     4.8407
17.5874    19.9528    4.5088
17.4442    19.7652    4.384
17.4775    19.7172    4.306
















































































































































































20.8357    16.8033    7.6537     SUPORB
20.785     16.9519    7.7973
20.738     17.0534    7.8928
20.5972    17.1953    8.0601
20.4861    17.4231    8.1816
20.3652    17.5612    8.2718
20.2378    17.8597    8.3637
20.1145    18.0896    8.4022
19.9789    18.314     8.4228
19.9187    18.4098    8.425
19.7827    18.5401    8.4571
19.7108    18.6658    8.4066
19.5819    18.8872    8.343
19.4627    19.0812    8.2519
19.3999    19.2267    8.1441
19.3235    19.3186    8.1239
19.2517    19.4286    8.0606
19.017     19.5177    8.1399
18.7966    19.5752    8.2524
18.4763    19.6743    8.378
18.3592    19.7194    8.4242
18.1452    19.7611    8.4696
17.955     19.8393    8.4743
