NMNH       305107     Tg8stv
11.4844    8.4492     8.9075
11.4796    8.2921     8.6469
11.4637    8.1855     8.4351
11.5267    8.0994     8.2922
11.5817    7.971      8.0533
11.5888    7.8437     7.8325
11.5187    7.7284     7.6469
11.4695    7.6631     7.2782
11.365     7.648      7.0506
11.258     7.6884     6.8291
11.2119    7.7077     6.5965
11.1623    7.7191     6.4559
11.0485    7.7612     6.3224
















































































































































































10.6135    12.8015    7.3433     ROSTRUM
10.5474    12.7186    7.5635
10.5512    12.6936    7.7604
10.5723    12.6298    7.9121
10.6069    12.5544    8.1183
10.7178    12.4105    8.3538
10.7724    12.2679    8.5447
10.8812    12.1123    8.7249
10.9693    12.0601    8.9188
11.0273    11.9874    9.0716
11.1281    11.9314    9.3257
11.145     11.8513    9.4716
11.1855    11.7199    9.6773
11.1976    11.6603    9.9072
11.1686    11.5668    10.1427
11.1587    11.5325    10.3107
11.158     11.4688    10.4834
11.1638    11.3762    10.7079
11.2163    11.2208    10.8625
11.3169    11.0842    10.9985
11.3917    10.9606    11.1409
11.4656    10.8676    11.1885
11.5938    10.7261    11.2297
11.7002    10.6275    11.2609
11.8062    10.5247    11.3321
11.8697    10.4525    11.3596
12.0306    10.3273    11.3259
12.1744    10.2521    11.2523
12.2517    10.2359    11.1935
12.3728    10.1723    11.1264
12.4934    10.0916    10.9761
12.6428    9.9982     10.7664
12.7656    9.9558     10.5623
12.8662    10.0008    10.3316
12.9156    10.0895    10.1189
12.9966    10.181     9.9015
13.0747    10.205     9.6358
13.2021    10.1973    9.3937
13.3518    10.22      9.1927
13.4422    10.2403    9.0056
13.551     10.2183    8.7589
13.6346    10.1886    8.6201
13.795     10.1701    8.3884
13.8996    10.0906    8.2477
14.0802    10.0408    8.1247
14.1866    9.9906     7.9557
14.21      10.0013    7.7897
14.2681    10.0464    7.5887
14.2956    10.0764    7.3824
14.2974    10.0693    7.2823






















































































































































10.4618    14.0872    14.9504    SUPORB
10.4357    13.9123    15.092
10.4661    13.6832    15.2846
10.5115    13.5226    15.3641
10.5879    13.3447    15.4317
10.637     13.2051    15.4447
10.6922    13.0229    15.437
10.6962    12.8812    15.4154
10.8248    12.6401    15.4039
10.8142    12.4251    15.3884
10.8056    12.2533    15.3637
10.8505    12.0622    15.3383
10.934     11.8579    15.3136
11.0619    11.6936    15.2982
11.1857    11.5445    15.2969
11.2922    11.3955    15.2477
11.4816    11.2417    15.2288
11.6043    11.1635    15.2031
11.7904    11.0495    15.181
11.8501    10.8922    15.1148
11.9442    10.7234    15.1024
12.0891    10.7222    15.1357
12.2855    10.6444    15.1876
12.5607    10.5842    15.2417
12.7623    10.4682    15.2608
12.99      10.3611    15.2871
13.1822    10.3103    15.3194
13.5091    10.1992    15.358
13.6971    10.1493    15.3773
13.8987    10.1393    15.4186
14.0365    10.0906    15.4121
14.2692    10.1073    15.4557
14.4317    10.1343    15.4808
14.6174    10.1676    15.4963
14.8478    10.1657    15.5116
15.0406    10.1276    15.4899
15.2582    10.132     15.4367
15.4026    10.1325    15.3592
15.5718    10.1052    15.1982
15.6994    10.1899    15.0543
































































































































































10.9572    12.5922    12.6876    RORBIT
10.846     12.7327    12.7212
10.7267    12.9168    12.7939
10.6666    13.0145    12.8941
10.5624    13.1478    13.0372
10.4821    13.2581    13.149
10.4903    13.3185    13.2675
10.444     13.4292    13.4452
10.3986    13.4941    13.5745
10.3671    13.5097    13.7875
10.3638    13.4967    13.877
10.385     13.4524    14.0587
10.32      13.3094    14.2808
10.2885    13.0708    14.3566
10.1972    12.6403    14.4462
10.2853    12.2944    14.439
10.3693    12.1609    14.4046
10.5092    11.9733    14.353
10.6143    11.8262    14.3124
