NMNH       320785     Pyg6stv
-0.4815    15.1927    6.1721     IN
-0.6073    12.0335    8.9196     BR
-0.5037    6.4447     7.2366     GL
-0.4691    6.3028     6.6584     NA
-0.4293    5.918      5.3181     RH
-0.4689    4.2472     3.6751     NS
-0.4507    3.7812     3.245      PR
-1.0184    3.9415     3.2291     R_PR2
-0.6556    6.2972     6.4133     R_PMS
-3.4208    6.8942     3.4652     R_ZMI
-2.8719    6.4596     4.7643     R_ZMU
-1.0666    6.6096     6.3643     R_DA
-2.639     7.0296     7.2788     R_MTI
-2.6398    7.2314     7.562      R_MTS
-3.773     7.1401     6.3964     R_FMO
-4.1517    7.5582     6.717      R_FMT
-3.9817    11.8504    4.4108     R_PO
-4.552     7.8326     4.1995     R_ZTS
0.0629     3.9289     3.2661     L_PR2
-0.3256    6.2949     6.4396     L_PMS
2.5278     6.9102     3.4623     L_ZMI
1.9197     6.5726     4.7165     L_ZMU
0.155      6.6802     6.4305     L_DA
1.5239     7.0397     7.3303     L_MTI
1.531      7.2487     7.6375     L_MTS
2.7809     7.1691     6.5945     L_FMO
3.1985     7.5538     6.71       L_FMT
2.6567     11.827     4.329      L_PO
3.4895     7.9846     4.1506     L_ZTS
-0.6845    3.5067     3.1267     O1
2.4155     7.7139     7.1963     O2
-4.8137    9.6192     4.24       O3
0.4308     14.9269    5.6177     O4







































































































































































-0.5081    6.4431     7.228      GLRH
-0.5108    6.4134     7.1189
-0.4977    6.3921     6.9516
-0.477     6.347      6.8355
-0.4931    6.2986     6.6656
-0.5075    6.2691     6.4933
-0.462     6.2202     6.3198
-0.4539    6.1816     6.1202
-0.4272    6.1535     5.9614
-0.4193    6.1355     5.8371
-0.4518    6.0942     5.6595
-0.4454    6.043      5.5179
-0.4211    5.923      5.3319



























































































































































































-0.4354    5.9433     5.3153     NOSE
-0.6698    5.9881     5.3003
-0.8566    5.9479     5.2157
-1.0259    5.8534     5.1041
-1.1712    5.6706     4.845
-1.199     5.4008     4.561
-1.1414    5.1998     4.383
-0.9945    4.9475     4.1894
-0.9095    4.6962     4.0682
-0.8137    4.4561     3.9469
-0.647     4.2952     3.7914
-0.4686    4.2291     3.6689
-0.2767    4.4492     3.8066
-0.0446    4.6378     4.0206
0.0854     4.8335     4.1489
0.1644     5.0618     4.2688
0.2392     5.2728     4.3954
0.2643     5.4385     4.5857
0.159      5.654      4.7606
0.0786     5.8158     5.0148
0.0172     5.8934     5.1483
-0.1183    5.9701     5.2821
-0.4201    5.9304     5.3613

















































































































































































-0.4767    4.2717     3.6751     NASP-PR
-0.4756    3.987      3.5658
-0.4768    3.8708     3.474
-0.4973    3.8225     3.397
-0.4558    3.7943     3.2554



































































































































































































-0.6643    6.3041     6.4099     R-PM/MAX
-0.7251    6.303      6.1772
-0.7945    6.2918     5.9779
-0.8712    6.2423     5.7775
-0.9432    6.1915     5.6011
-1.0351    6.1693     5.4301
-1.1658    6.151      5.2224
-1.2792    6.0831     5.0419
-1.4129    5.9924     4.7931
-1.4978    5.8292     4.6281
-1.5398    5.5971     4.478
-1.5456    5.3518     4.3216
-1.5267    5.1642     4.2231
-1.507     5.0023     4.1226
-1.5384    4.8328     3.9876
-1.5971    4.6839     3.8229
-1.6427    4.5063     3.6816
-1.6561    4.405      3.5866
-1.6006    4.348      3.2892





















































































































































































-0.3429    6.3009     6.5025     L-PM/MAX
-0.248     6.3059     6.3144
-0.1539    6.3083     6.1155
-0.113     6.2941     5.9661
-0.016     6.2494     5.7801
0.0851     6.2113     5.6002
0.1768     6.2184     5.363
0.2536     6.1795     5.2089
0.4371     6.1036     4.9483
0.5075     6.0189     4.7668
0.5965     5.7904     4.5593
0.6179     5.6331     4.4622
0.6348     5.4646     4.3573
0.6634     5.2314     4.2079
0.6717     5.0334     4.0934
0.6585     4.8474     3.9162
0.7379     4.6168     3.7368
0.7672     4.4041     3.5474
0.708      4.3244     3.336
0.6253     4.3522     3.1818




















































































































































































-2.4324    5.9378     2.9246     ROSTRUM
-2.4147    5.9198     3.2781
-2.311     5.9054     3.5422
-2.212     5.9586     3.754
-2.0623    5.9388     3.9219
-1.9295    5.9618     4.1694
-1.7575    5.9581     4.399
-1.6124    5.9869     4.5739
-1.4208    6.0238     4.7952
-1.2756    6.0454     5.0233
-1.0686    6.0103     5.2617
-0.8653    6.0624     5.431
-0.7132    6.0644     5.5469
-0.4081    6.0552     5.5336
-0.1159    6.0684     5.5272
0.1024     6.133      5.4091
0.2664     6.1867     5.2173
0.4871     6.116      4.8911
0.6328     6.0592     4.6894
0.7897     6.0561     4.4408
0.9499     6.0459     4.2176
1.1104     6.054      4.0274
1.2838     6.0251     3.7992
1.4162     6.0149     3.5736
1.4982     5.9621     3.1796
1.5346     5.9775     2.9973
1.4893     6.0138     2.732













































































































































































-4.1665    7.5945     6.6665     SUPORB
-4.0517    7.581      6.8171
-3.9505    7.5817     6.9352
-3.7923    7.5241     7.0913
-3.6122    7.508      7.2273
-3.4426    7.5001     7.3286
-3.2005    7.4927     7.4756
-2.8706    7.4527     7.5849
-2.6028    7.3636     7.6396
-2.365     7.2934     7.68
-2.1708    7.2537     7.7026
-1.9982    7.1795     7.7389
-1.8069    7.1307     7.7539
-1.585     7.0728     7.7614
-1.3978    7.0094     7.7506
-1.2224    6.9535     7.7316
-1.0615    6.9402     7.7429
-0.8864    6.8654     7.7241
-0.6916    6.8154     7.6812
-0.4773    6.8179     7.6901
-0.1934    6.883      7.7101
0.0713     6.9524     7.7355
0.3131     6.9988     7.7477
0.5406     7.0317     7.7543
0.7907     7.0954     7.7384
1.0159     7.1711     7.7221
1.3378     7.2661     7.6934
1.6567     7.3529     7.6486
1.9168     7.4015     7.5778
2.1747     7.4497     7.5082
2.4085     7.5051     7.4037
2.6076     7.5261     7.3001
2.8001     7.5331     7.1603
2.9131     7.5498     7.0652
3.0206     7.5876     6.9551
3.0881     7.5741     6.8798
3.2085     7.5669     6.7096



































































































































































-2.84      6.4889     4.778      RORBIT
-3.0465    6.53       4.7753
-3.1516    6.5433     4.8179
-3.2788    6.6145     4.8604
-3.3986    6.6997     4.9325
-3.5239    6.752      4.9927
-3.6201    6.8128     5.0813
-3.7114    6.8561     5.1732
-3.8051    6.9532     5.3284
-3.8744    7.0402     5.4963
-3.9227    7.1251     5.7485
-3.8826    7.1656     5.9702
-3.8602    7.1777     6.1667
-3.7968    7.1406     6.4234
-3.6546    7.1462     6.6659
-3.4733    7.1454     6.8236
-3.3335    7.1303     6.9652
-3.1696    7.1216     7.0848
-2.9724    7.1067     7.2045
-2.6673    7.0398     7.2929
-2.4911    7.0042     7.3064
-2.2759    6.9235     7.3934
-1.9805    6.8462     7.3453
-1.7659    6.7922     7.3049
-1.5597    6.742      7.2549
-1.2996    6.6764     7.138
-1.1501    6.6493     6.9584
-1.0258    6.5554     6.6098
-1.0477    6.6357     6.3772











































































































































































1.8889     6.5914     4.7227     LORBIT
2.1556     6.6305     4.7382
2.3647     6.7074     4.8304
2.5529     6.7874     4.9442
2.6688     6.8954     5.0812
2.7959     6.9611     5.2293
2.8904     7.0614     5.4438
2.9444     7.1436     5.7136
2.8949     7.1994     6.0262
2.859      7.1983     6.3597
2.7789     7.1766     6.5687
2.6466     7.1687     6.7221
2.4564     7.1646     6.9355
2.2981     7.1534     7.0895
2.1087     7.1548     7.2002
1.9389     7.13       7.2666
1.77       7.0928     7.327
1.5569     7.0295     7.3539
1.2538     6.9514     7.3997
1.0222     6.8728     7.3643
0.7695     6.7926     7.3552
0.5492     6.7379     7.3211
0.3064     6.7025     7.1527
0.153      6.655      6.9395
0.136      6.6427     6.7058
0.164      6.6757     6.5322














































































































































































-4.1787    7.6077     6.6905     RTEMFOS
-4.2171    7.5592     6.5475
-4.2024    7.5011     6.3704
-4.2357    7.4679     6.2264
-4.2784    7.4292     6.0587
-4.2833    7.3829     5.8966
-4.2821    7.3854     5.7737
-4.2972    7.265      5.6306
-4.2907    7.2662     5.4642
-4.2961    7.2641     5.3136
-4.2774    7.2311     5.1133
-4.2542    7.1983     4.9089
-4.258     7.1488     4.7081
-4.2754    7.1921     4.5314
-4.2962    7.2633     4.3669
-4.3612    7.3866     4.246
-4.4557    7.5627     4.1969
-4.5361    7.7287     4.1724
-4.5701    7.8411     4.1903





















































































































































































9999       9999       9999       LTEMFOS







































































































































































































-0.0313    3.1836     7.3201     OP
-0.2145    5.2532     7.6633     BA
-0.3907    9.262      6.7814     ST
-0.4597    11.7027    6.397      IV
-3.2583    5.6932     7.2609     R_PG
-4.4773    7.69       6.404      R_ZTI
-2.0024    9.0158     7.208      R_M3D
-2.4239    10.4562    7.0475     R_M12
-2.1458    12.0481    6.4743     R_MP3
-1.4887    12.734     6.352      R_PMI
2.8065     6.0143     7.3853     L_PG
9999       9999       9999       L_ZTI
1.1481     9.2223     7.3521     L_M3D
1.5389     10.6849    7.2715     L_M12
1.098      12.4062    6.5643     L_MP3
0.3734     12.8294    6.4429     L_PMI
-0.8474    13.6164    6.2271     O1
2.7758     9.0325     2.9501     O2
-4.5034    7.2262     5.9943     O3
1.0271     2.0535     5.7823     O4




















































































































































































-3.2564    10.0947    6.3777     RZYGINF
-3.4021    10.0479    6.3874
-3.5442    9.9556     6.5063
-3.7566    9.8662     6.5493
-3.8452    9.7781     6.5724
-4.0021    9.5682     6.5407
-4.0727    9.3544     6.5378
-4.1275    9.1293     6.5557
-4.1659    8.8769     6.6015
-4.2556    8.7486     6.6191
-4.3151    8.6058     6.613
-4.36      8.4688     6.6052
-4.4004    8.2846     6.6175
-4.4312    8.1753     6.5688
-4.4674    8.0558     6.5399
-4.4379    7.9713     6.5398
-4.4708    7.8509     6.5104
-4.4747    7.7693     6.4747
-4.4498    7.6708     6.4021





















































































































































































9999       9999       9999       LZYGINF







































































































































































































-2.0215    9.0392     7.2093     R-ALV
-2.1263    9.2239     7.1584
-2.1856    9.408      7.119
-2.2521    9.5904     7.161
-2.3213    9.7622     7.1694
-2.3915    10.0009    7.1037
-2.4344    10.1662    7.116
-2.4417    10.4154    7.0501
-2.448     10.5594    7.0253
-2.496     10.7376    7.0439
-2.4701    10.966     6.9727
-2.409     11.1434    6.8844
-2.3637    11.3397    6.8272
-2.3456    11.5966    6.7238
-2.2793    11.713     6.6761
-2.2185    11.8558    6.6209
-2.1819    11.9498    6.5607
-2.1252    12.0658    6.445






















































































































































































1.2031     9.2792     7.2803     L-ALV
1.303      9.4826     7.2859
1.3809     9.7018     7.2642
1.4486     9.883      7.3031
1.5043     10.1264    7.2744
1.5493     10.3709    7.2691
1.5488     10.6711    7.2218
1.5713     10.8871    7.2085
