NMNH       256917     Pyg4stv
0.7439     13.7058    7.0577     IN
9999       9999       9999       BR
0.3026     5.8799     6.8492     GL
0.3259     5.8347     6.4507     NA
0.3252     5.7022     5.1478     RH
0.257      4.6387     3.3383     NS
0.2402     4.2671     2.9646     PR
-0.2659    4.3716     2.8811     R_PR2
0.1159     5.754      5.3527     R_PMS
-2.119     6.5965     3.7065     R_ZMI
-1.6389    6.2056     4.8936     R_ZMU
-0.1556    6.3871     6.0422     R_DA
-1.2071    6.2257     6.9698     R_MTI
-1.088     6.3749     7.3816     R_MTS
-2.6126    6.6179     6.4253     R_FMO
-2.8046    7.2424     6.6464     R_FMT
-2.4806    11.2062    5.116      R_PO
-3.0422    7.8026     4.4184     R_ZTS
0.6817     4.2947     2.9001     L_PR2
0.5507     5.7661     5.3534     L_PMS
2.7611     6.272      3.7169     L_ZMI
2.1276     6.0585     4.86       L_ZMU
0.8099     6.3636     6.0874     L_DA
1.9704     6.0901     6.9759     L_MTI
1.7566     6.3429     7.3653     L_MTS
3.2469     6.2962     6.2849     L_FMO
3.5175     6.808      6.6809     L_FMT
9999       9999       9999       L_PO
3.8247     7.4687     4.3261     L_ZTS
-0.0948    4.2652     3.1769     O1
3.1143     7.3021     7.036      O2
-3.2444    9.3611     4.6527     O3
0.0026     13.6621    6.6147     O4







































































































































































0.3161     5.8742     6.8296     GLRH
0.3564     5.8559     6.613
0.34       5.8454     6.4016
0.3674     5.8472     6.1765
0.3178     5.8249     5.9579
0.2981     5.8047     5.7544
0.2993     5.7944     5.5348
0.3168     5.7493     5.3559
0.2959     5.714      5.2542
0.296      5.6889     5.1953






























































































































































































0.3234     5.7009     5.1912     NOSE
0.1243     5.7013     5.1424
-0.006     5.694      5.0137
-0.1252    5.6291     4.8378
-0.2283    5.4739     4.6425
-0.2518    5.3431     4.4089
-0.2595    5.1512     4.1863
-0.186     4.9518     3.9929
-0.1229    4.7953     3.7898
-0.0451    4.6421     3.6333
0.063      4.6055     3.5237
0.1343     4.6004     3.44
0.4439     4.5976     3.5044
0.543      4.6554     3.6422
0.6501     4.7203     3.7556
0.6545     4.8591     3.8635
0.6856     5.0172     3.9974
0.708      5.136      4.0731
0.7743     5.2364     4.2761
0.7806     5.3187     4.3649
0.7714     5.4105     4.4655
0.7874     5.4772     4.5954
0.76       5.5546     4.7206
0.7487     5.617      4.8617
0.7289     5.6609     4.9521
0.62       5.6856     5.0435
0.5179     5.7344     5.0917
0.3257     5.6948     5.1873












































































































































































0.2646     4.6323     3.3389     NASP-PR
0.2409     4.4317     3.2519
0.2322     4.306      3.1367
0.2029     4.2862     2.9996
0.2322     4.2887     2.9608
0.2202     4.2297     2.8517


























































































