AMNH       87255      Pyn9stv
-0.5783    6.4048     5.4693
-0.4564    6.3962     5.6986
-0.2476    6.373      5.9329
0.0034     6.3811     6.0507
0.1934     6.4495     6.1096
0.4056     6.4794     5.8635
0.5162     6.4748     5.5601
0.6549     6.4876     5.306
0.7838     6.5172     5.0063
0.915      6.5607     4.7378
1.046      6.5607     4.4913
1.136      6.5453     4.3004
1.2493     6.562      4.0851
1.3686     6.5671     3.9131
1.4904     6.602      3.6966
1.6019     6.6275     3.5033
1.677      6.6488     3.2634
1.7594     6.694      2.8835
1.7638     6.7086     2.6452
1.7416     6.7463     2.4849










































































































































































-3.7963    7.9859     7.2232     SUPORB
-3.516     7.9045     7.5531
-3.2482    7.7703     7.7154
-2.9968    7.6658     7.7847
-2.7859    7.521      7.8375
-2.6501    7.2204     8.3546
-2.1616    7.4061     7.8948
-1.8565    7.3812     7.9309
-1.5651    7.3553     7.934
-1.2868    7.3754     7.9602
-1.0877    7.3622     7.98
-0.8206    7.3003     7.974
-0.5405    7.2082     7.9448
-0.4058    7.1815     7.9195
-0.1881    7.1647     7.906
-0.007     7.1981     7.8879
0.3871     7.2263     7.8962
0.652      7.3072     7.9162
0.9003     7.4071     7.9036
1.2211     7.5017     7.8646
1.4622     7.5891     7.8067
1.7466     7.6499     7.7576
1.9996     7.7708     7.716
2.5764     8.0786     7.5999
2.8164     8.2304     7.5271
2.9978     8.4116     7.4772
3.152      8.5324     7.3657
3.2878     8.7283     7.1704












































































































































































-1.9836    6.8709     5.0959     RORBIT
-2.2814    6.8897     5.111
-2.4741    6.8638     5.1442
-2.7352    6.9003     5.2342
-2.9643    6.93       5.3281
-3.1192    6.9918     5.4683
-3.3266    7.0806     5.6972
-3.3717    7.1519     5.9004
-3.4195    7.2065     6.1071
-3.4295    7.2915     6.3595
-3.4311    7.3193     6.5716
-3.402     7.318      6.7782
-3.2976    7.3419     6.9175
-3.0841    7.3131     7.2043
-2.8856    7.307      7.3684
-2.5318    7.2397     7.5387
-2.2287    7.2502     7.5533
-1.9675    7.2453     7.5619
-1.6508    7.1926     7.5362
-1.3905    7.1314     7.504
-1.1613    7.1192     7.388
-0.8903    7.0465     6.9711
-0.8785    7.0697     6.6619
-0.8696    7.1036     6.3186
















































































































































































1.9816     7.282      4.9279     LORBIT
2.1095     7.3398     4.9346
2.3104     7.4107     4.9849
2.5011     7.4206     5.0062
2.6807     7.5265     5.0605
2.8622     7.5876     5.1768
2.9778     7.6437     5.31
3.114      7.7105     5.4631
3.2235     7.7117     5.6084
3.2173     7.8377     5.7715
3.2477     7.912      6.0226
3.267      7.928      6.2728
3.2452     7.9165     6.5585
3.2075     7.921      6.6805
3.1516     7.8752     6.8028
3.0272     7.8364     7.0011
2.8706     7.8182     7.1608
2.6521     7.774      7.2382
2.5171     7.7448     7.3196
2.3407     7.7012     7.3686
2.1018     7.5839     7.443
1.7133     7.4205     7.4233
1.2663     7.2747     7.3299
0.9552     7.1915     7.1479
0.822      7.1382     6.8913
0.7981     7.1236     6.5089
0.7921     7.1491     6.302
0.8045     7.1283     6.1108












































































































































































-3.6619    8.0594     7.4157     RTEMFOS
-3.8196    7.9636     7.1792
-3.8972    7.8435     7.0414
-3.9156    7.6802     6.8913
-3.9165    7.6421     6.736
-3.9535    7.5941     6.58
-3.9525    7.4836     6.3065
-3.9412    7.4832     6.1821
-3.9389    7.4192     5.9799
-3.9248    7.3618     5.8236
-3.8637    7.2845     5.604
-3.8545    7.2686     5.4604
-3.8096    7.2825     5.2736
-3.7636    7.2475     5.0672
-3.7631    7.35       4.8964
-3.7956    7.366      4.6837
-3.8852    7.5368     4.6198
-3.9919    7.6863     4.5401
-4.0553    7.8324     4.5401
-4.1209    7.9998     4.5612
-4.1456    8.0981     4.5681
-4.2287    8.2135     4.5719


















































































































































































3.554      8.6269     6.8561     LTEMFOS
3.6604     8.5669     6.6722
3.6877     8.4771     6.463
3.6879     8.4061     6.3236
3.712      8.3191     6.1359
3.71       8.267      5.9345
3.697      8.2139     5.7706
3.6905     8.215      5.6566
3.6696     8.1667     5.4784
3.6236     8.1044     5.3361
3.5952     8.0517     5.1896
3.5559     8.0356     5.0442
3.4952     8.0805     4.8573
3.4663     8.1228     4.6287
3.4902     8.1829     4.4778
3.5211     8.3098     4.3315
3.5716     8.4895     4.2708
3.6549     8.7636     4.2207
3.657      8.9497     4.245





















































































































































































-0.2599    6.2641     9.4889     OP
-0.1487    7.9512     9.11       BA
0.0812     12.1747    6.8582     ST
0.374      14.664     6.0919     IV
-3.1058    8.6839     8.5156     R_PG
-3.9879    11.1949    7.108      R_ZTI
-1.4792    12.2556    7.6504     R_M3D
-1.6979    13.7506    7.1078     R_M12
-1.3044    15.1013    6.5378     R_MP3
-0.6038    15.7322    6.0758     R_PMI
2.7566     8.3584     8.3618     L_PG
4.0065     10.3994    7.1926     L_ZTI
1.7562     12.0737    7.5426     L_M3D
2.1605     13.5122    7.1503     L_M12
1.9437     15.0323    6.4097     L_MP3
1.3392     15.5155    6.0577     L_PMI
-0.4587    15.675     5.4088     O1
3.2176     9.9518     3.7607     O2
-4.1555    10.56      6.9936     O3
0.0729     4.3874     7.6297     O4




















































































































































































-2.5263    13.0586    6.4889     RZYGINF
-2.7132    13.0291    6.4872
-2.8895    12.9662    6.5372
-3.0167    12.917     6.6215
-3.0799    12.866     6.6772
-3.1801    12.7731    6.7557
-3.2994    12.6245    6.8684
-3.3992    12.5343    6.9172
-3.4701    12.3811    6.9614
-3.5492    12.2399    7.0221
-3.5597    12.1105    7.0931
-3.6699    11.9652    7.1136
-3.7288    11.8525    7.1379
-3.8605    11.6752    7.1056
-3.9015    11.4674    7.1071
-3.9549    11.32      7.1402
-3.991     11.1416    7.1206























































































































































































3.1003     12.5324    6.4807     LZYGINF
3.231      12.4755    6.4957
3.4017     12.3803    6.5718
3.5272     12.2358    6.6666
3.5581     12.0874    6.7915
3.647      11.8258    6.9152
3.7235     11.6187    7.0138
3.7028     11.4366    7.0633
3.7777     11.2153    7.108
3.8015     11.0328    7.1279
3.919      10.8439    7.1732
4.0153     10.6196    7.1996
3.9799     10.451     7.2111
4.0162     10.2817    7.191


























































































































































































-1.5058    12.3299    7.6106     R-ALV
-1.601     12.6163    7.5391
-1.6561    12.8388    7.4736
-1.6931    13.123     7.3932
-1.6917    13.373     7.2867
-1.6865    13.6876    7.2365
-1.6505    13.8847    7.1803
-1.6077    14.0928    7.0871
-1.5783    14.3112    6.964
-1.4481    14.5038    6.8691
-1.3902    14.6247    6.8139
-1.3846    14.7791    6.6691
-1.3231    14.9087    6.6489
-1.3126    15.029     6.5772
-1.254     15.2076    6.5323

























































































































































































1.8093     12.13      7.495      L-ALV
1.9249     12.4044    7.5087
2.0202     12.635     7.4107
2.1155     12.9366    7.2982
2.1445     13.1782    7.1978
2.1556     13.3816    7.1915
2.1736     13.5849    7.1087
2.1693     13.7855    7.0317
2.1636     13.9353    6.9508
2.1106     14.1357    6.8111
2.0415     14.3311    6.7844
1.9914     14.496     6.699
1.9519     14.6144    6.6268
1.9519     14.8592    6.5217
1.9091     15.0849    6.4101
