KNM        ER 418     Too19stv
15.7095    21.0753    8.6236     IN
13.2204    17.0063    12.5253    BR
9.786      11.4443    11.5182    GL
9.742      11.4633    10.5553    NA
8.3935     9.4941     7.1011     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
8.1202     10.1508    7.1837     R_PMS
9999       9999       9999       R_ZMI
8.3686     12.3301    8.37       R_ZMU
9999       9999       9999       R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9.7362     19.8094    7.4062     R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
9.1541     9.4732     7.3006     L_PMS
9999       9999       9999       L_ZMI
10.9602    10.6785    8.5246     L_ZMU
9999       9999       9999       L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
17.1089    15.4688    7.3184     L_PO
9999       9999       9999       L_ZTS
6.5999     8.9773     4.837      O1
10.5598    11.6483    11.4717    O2
8.5615     18.3216    7.2142     O3
17.9756    18.2437    7.4584     O4







































































































































































9.6694     11.4203    11.2542    GLRH
9.6776     11.4065    11.031
9.7249     11.4426    10.7052
9.7426     11.4954    10.5199
9.7609     11.4841    10.2971
9.4479     11.2316    8.8456
9.3648     11.0634    8.6445
9.3403     10.9647    8.5137
9.2763     10.879     8.3589
9.2055     10.7523    8.1833
9.1577     10.6345    8.0158
9.072      10.5531    7.9004
8.997      10.4424    7.7734
8.9217     10.2994    7.6364
8.8496     10.0864    7.5153
8.7167     9.9367     7.3933
8.6491     9.8047     7.3354
8.5543     9.699      7.2696
8.5199     9.6049     7.2114
8.4708     9.5607     7.1338
8.3792     9.4724     7.0878



















































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR

















































