NMNH       319992     Tg9stv
18.6769    18.4647    14.6908    IN
15.6508    15.1254    16.6379    BR
12.4308    11.1628    14.1144    GL
12.6281    11.4192    13.4974    NA
12.0065    11.0094    9.8072     RH
11.0792    9.8114     7.7256     NS
10.8819    9.6316     6.0554     PR
10.4157    10.0355    6.1805     R_PR2
11.8327    11.4601    10.057     R_PMS
10.8012    15.1993    10.1578    R_ZMI
11.8233    13.0134    12.0179    R_ZMU
12.6296    12.082     12.6478    R_DA
11.4285    12.3039    13.681     R_MTI
11.3809    12.324     14.4852    R_MTS
11.0417    13.8831    13.4555    R_FMO
11.0695    14.4815    13.895     R_FMT
14.2043    18.6506    12.5915    R_PO
10.83      16.4377    11.4964    R_ZTS
11.4448    9.2575     6.4154     L_PR2
12.7093    10.9785    10.1353    L_PMS
16.322     10.5994    9.9434     L_ZMI
14.2177    11.0761    11.919     L_ZMU
13.2229    11.6169    12.5146    L_DA
13.8288    10.31      13.706     L_MTI
13.8454    10.5249    14.4122    L_MTS
15.3773    10.4746    13.4105    L_FMO
16.0376    10.6497    13.6506    L_FMT
19.1273    14.4968    12.3851    L_PO
17.8006    10.894     11.3498    L_ZTS
11.3668    9.2287     7.0007     O1
11.5041    13.9254    14.5747    O2
19.0681    11.9401    11.8359    O3
19.1727    17.7263    14.466     O4







































































































































































12.4097    11.199     14.0494    GLRH
12.4621    11.2247    13.8797
12.5269    11.2676    13.731
12.5929    11.3821    13.5445
12.6233    11.4806    13.3824
12.6746    11.5389    13.1938
12.7021    11.547     12.9974
12.7078    11.618     12.8304
12.7297    11.6975    12.6124
12.7376    11.7339    12.47
12.7383    11.7695    12.3249
12.753     11.7438    12.1577
12.7258    11.7691    11.9647
12.7316    11.749     11.7443
12.7195    11.7233    11.6109
12.7005    11.6982    11.4661
12.6594    11.6643    11.3357
12.6107    11.6267    11.155
12.5905    11.5623    10.9931
12.5404    11.5185    10.8894
12.4425    11.4907    10.7625
12.4226    11.4189    10.6265
12.3705    11.3646    10.5296
12.3125    11.2786    10.4115
12.2251    11.2364    10.2777
12.2043    11.1627    10.1673
12.163     11.1053    10.0631
12.1155    11.051     9.9678
12.0216    10.9926    9.7992











































































































































































11.9987    11.0031    9.8128     NOSE
11.8676    11.1012    9.767
11.7218    11.1963    9.6925
11.5703    11.2189    9.5572
11.4247    11.1869    9.3749
11.3274    11.1681    9.2361
11.2845    11.1462    9.1807
11.1953    11.0771    9.0657
11.0733    11.0089    8.9104
10.9933    10.9649    8.7624
10.9329    10.8986    8.5998
10.9366    10.831     8.5424
10.867     10.7675    8.4454
10.8454    10.6292    8.3023
10.7713    10.5214    8.1439
10.721     10.3759    8.0312
10.7645    10.2226    7.9209
10.8151    10.0995    7.8559
10.8568    9.9905     7.7982
10.876     9.9087     7.7473
10.9442    9.804      7.7417
11.1607    9.6558     7.7841
11.3206    9.5837     7.8098
11.5157    9.5978     7.8832
11.6794    9.5669     7.9854
11.822     9.6335     8.0964
11.9751    9.6834     8.2212
12.0744    9.7551     8.3693
12.158     9.8676     8.5197
12.2732    9.9077     8.6694
12.2539    9.9705     8.7646
12.3392    10.0688    8.9358
12.3594    10.2548    9.0699
12.4259    10.3522    9.2906
12.4775    10.4349    9.3929
12.4657    10.5435    9.5602
12.4207    10.6653    9.714
12.3544    10.7451    9.797
