UCB LHES   108        Tg5stv
3.76871    6.0044     8.65765
3.6727     5.9287     8.56866
3.56923    5.88469    8.50315
3.48342    5.90848    8.37125
3.41408    5.88642    8.264
3.35256    5.89812    8.15225
3.28869    5.83845    8.06137
3.21231    5.82594    7.9491
3.12268    5.76043    7.8027
3.03934    5.74377    7.6593
2.92425    5.68713    7.49164
2.82192    5.67641    7.36353
2.74022    5.66797    7.24897
2.65485    5.62836    7.13635
2.5753     5.57875    7.04098
2.50468    5.55228    6.89596
2.44405    5.46727    6.69652
2.53949    5.45081    6.43649
2.59024    5.33334    6.33406
2.70038    5.20114    6.24583









































































































































































5.83464    6.10203    10.00726   L-PM/MAX
5.76575    5.98391    9.91509
5.68895    5.87212    9.83692
5.64158    5.77568    9.73808
5.57974    5.67642    9.64274
5.54789    5.59068    9.52185
5.52304    5.50161    9.4102
5.49477    5.41113    9.3364
5.4531     5.28464    9.23438
5.40627    5.16808    9.12173
5.36746    5.06674    9.04706
5.27452    4.94118    8.90174
5.20146    4.84367    8.80686
5.1063     4.71405    8.72464
5.01595    4.60127    8.6335
4.94834    4.52883    8.58197
4.91326    4.48164    8.53239
4.91157    4.3999     8.48204
4.98341    4.30808    8.36831
4.99115    4.21008    8.23158
5.04682    4.16492    8.17262
5.01049    4.09986    8.08105
4.97222    4.04467    8.00035
4.96991    3.99493    7.92428
4.96624    3.91082    7.82713
4.94911    3.84666    7.74439
4.94903    3.78738    7.66143
4.95521    3.73832    7.56257
4.98132    3.54879    7.39761
4.98565    3.45546    7.25511
4.97089    3.39596    7.15282
4.86394    3.27119    7.00898
4.90173    3.33057    6.84572
4.84372    3.36913    6.69369
4.7393     3.40398    6.57617
4.66049    3.48018    6.42928




































































































































































4.53925    8.70259    6.33292    ROSTRUM
4.47501    8.7313     6.57709
4.43756    8.67881    6.78273
4.44759    8.68007    6.95925
4.4346     8.58314    7.06932
4.60442    8.36886    7.26825
4.73599    8.20522    7.41841
4.78557    8.15034    7.52872
4.84978    8.07006    7.70188
4.86688    8.00603    7.8585
4.90163    7.97307    8.03438
4.93075    7.92534    8.18291
4.94815    7.82646    8.33439
4.9794     7.80232    8.4696
4.97903    7.75202    8.56842
5.00972    7.66253    8.80217
4.99475    7.61521    8.9102
5.00487    7.58145    9.04399
4.99436    7.50772    9.26797
4.96271    7.46201    9.45319
4.96089    7.41699    9.5973
4.95498    7.35259    9.70767
4.99734    7.30059    9.81823
5.04092    7.21663    9.91199
5.07012    7.15561    9.95571
5.11348    7.07227    10.03622
5.17331    6.97042    10.11385
5.23246    6.88822    10.13337
5.33466    6.7813     10.28639
5.4024     6.6848     10.31976
5.48325    6.55694    10.33263
5.58212    6.45923    10.3718
5.73527    6.33323    10.3002
5.87033    6.26478    10.24332
5.93717    6.23919    10.16989
6.0353     6.12859    10.09584
