NMNH       356574     Pyn5stv
1.4169     11.4504    5.2896     IN
1.216      7.8191     8.3262     BR
1.1612     3.2832     5.9361     GL
1.1828     3.2678     5.7218     NA
1.1642     2.9506     4.3462     RH
1.0418     1.9062     2.638      NS
1.0248     1.5921     2.1752     PR
0.5557     1.703      2.1126     R_PR2
0.9996     3.1909     5.3294     R_PMS
-1.6943    4.3307     2.5946     R_ZMI
-0.9458    3.6947     3.9155     R_ZMU
0.5197     3.791      5.1372     R_DA
-0.8428    4.1022     6.4461     R_MTI
-0.8173    4.2161     6.7386     R_MTS
-2.1559    4.2616     5.4947     R_FMO
-2.2202    4.8538     5.8826     R_FMT
-1.76      8.3117     4.1791     R_PO
-2.351     5.1799     3.2159     R_ZTS
1.5891     1.7241     2.1182     L_PR2
1.295      3.1671     5.3576     L_PMS
3.8841     4.0986     2.6412     L_ZMI
3.2733     3.5774     3.8371     L_ZMU
1.8529     3.6082     5.0613     L_DA
3.0366     3.9074     6.4833     L_MTI
3.0295     3.9858     6.7183     L_MTS
4.5816     4.1402     5.5311     L_FMO
4.7261     4.6598     5.8863     L_FMT
4.1665     8.2664     3.996      L_PO
4.8907     5.2014     3.1991     L_ZTS
1.3264     1.468      2.1063     O1
-1.8219    5.0498     6.2267     O2
4.5994     8.7195     4.2642     O3
2.1792     11.4399    5.6577     O4







































































































































































1.1998     3.3332     6.0291     GLRH
1.1962     3.2576     5.8549
1.1864     3.1989     5.6636
1.1793     3.1385     5.4884
1.1347     3.1021     5.2552
1.1421     3.0798     5.0861
1.1461     3.0563     4.9104
1.1694     3.0468     4.7068
1.1963     3.0024     4.5334
1.1699     2.9445     4.4318
1.175      2.9574     4.2916





























































































































































































1.1801     2.9238     4.3257     NOSE
1.0015     2.9833     4.2441
0.8488     3.0092     4.2209
0.6819     2.9394     4.0358
0.631      2.8853     3.8871
0.5516     2.809      3.7277
0.5419     2.6952     3.5501
0.5072     2.6049     3.406
0.5393     2.496      3.279
0.578      2.3511     3.1363
0.637      2.1216     3.0014
0.6976     1.9956     2.9148
0.8265     1.9177     2.8035
0.9379     1.9046     2.6968
1.0946     1.8846     2.6543
1.2631     1.9074     2.7857
1.395      1.934      2.9016
1.5162     2.0361     2.9802
1.6038     2.1494     3.0564
1.6468     2.2939     3.1785
1.666      2.3751     3.2714
1.6749     2.4926     3.3859
1.7259     2.6007     3.5642
1.7216     2.688      3.6953
1.6933     2.79       3.8757
1.6332     2.8758     4.0517
1.5525     2.8883     4.1514
1.5224     2.8957     4.2079
1.3888     2.9414     4.2752
1.1787     2.971      4.2831










































































































































































1.0693     1.8808     2.6395     NASP-PR
1.0503     1.7584     2.5398
1.0548     1.6629     2.4268
1.0635     1.6018     2.3267
1.0418     1.5795     2.2267
1.0286     1.6308     2.0997


































































































































































































0.8951     3.1468     4.9791     R-PM/MAX
0.7835     3.1884     4.7858
0.687      3.2191     4.5937
0.6018     3.1789     4.3755
0.559      3.0994     4.1809
0.4867     3.042      3.9394
0.4123     2.9652     3.7408
0.372      2.8497     3.5413
0.3457     2.6741     3.3669
0.2952     2.5817     3.2169
0.2511     2.4712     3.0867
0.2211     2.3038     2.89
0.2154     2.1918     2.6848
0.1746     2.0934     2.5523
0.1493     2.0015     2.448
0.1331     1.9949     2.3214
0.1928     2.0568     2.1379























































































































































































1.3521     3.1649     5.2342     L-PM/MAX
1.5353     3.2171     5.0376
1.6529     3.2246     4.8286
1.6922     3.1982     4.6277
1.7184     3.1672     4.4395
1.7992     3.0985     4.1912
1.8476     3.0199     3.9877
1.8558     2.9359     3.838
1.8993     2.8311     3.6746
1.8931     2.6969     3.523
1.9359     2.6246     3.3606
1.9648     2.4951     3.1986
2.0001     2.3487     3.0124
1.9748     2.2147     2.8736
1.9519     2.1099     2.7081
1.9528     2.0159     2.5881
1.9952     1.9264     2.4781
1.9902     1.8825     2.3462
1.9992     1.9282     2.1614























































































































