AMNH       103361     scc6cs.xls
10.8734    12.4315    -6.4818    IN
9.0757     10.286     -8.9382    BR
6.1121     6.5978     -8.1935    GL
6.0886     6.5528     -8.0712    NA
5.564      5.9498     -6.5706    RH
4.8452     5.1258     -4.9693    NS
4.4534     4.7232     -4.4947    PR
4.8384     4.5538     -4.5055    R_PR2
5.9371     6.2649     -7.2275    R_PMS
8.0637     5.324      -5.0172    R_ZMI
6.9731     6.0915     -6.3896    R_ZMU
6.5101     6.5634     -7.4402    R_DA
7.5811     6.1963     -8.5254    R_MTI
7.7641     6.3864     -8.9218    R_MTS
8.7335     5.7219     -7.7495    R_FMO
9.0622     5.8804     -7.8345    R_FMT
11.0151    8.735      -5.2019    R_PO
9.6084     5.6059     -5.3542    R_ZTS
4.1229     5.0681     -4.4671    L_PR2
5.7125     6.4118     -7.2634    L_PMS
4.2397     8.3532     -5.0653    L_ZMI
5.3502     7.4269     -6.3855    L_ZMU
5.8089     6.8666     -7.3797    L_DA
5.286      8.1391     -8.4824    L_MTI
5.5527     8.3591     -8.9587    L_MTS
4.6043     9.0364     -7.6507    L_FMO
4.5439     9.4094     -7.5923    L_FMT
6.9287     12.0771    -5.2125    L_PO
4.2542     9.6713     -5.5999    L_ZTS
4.2971     6.4147     -4.9792    O1
4.2971     8.4942     -6.0131    O2
6.9829     12.2395    -6.0067    O3
11.2144    11.545     -7.332     O4







































































































































































6.1064     6.6086     -8.1631    GLRH
6.0373     6.5105     -7.9988
5.9631     6.452      -7.7696
5.8989     6.3869     -7.5657
5.8396     6.3109     -7.3718
5.7693     6.2212     -7.1541
5.689      6.1511     -6.986
5.6229     6.0576     -6.7616
5.5888     6.0045     -6.6409































































































































































































5.5641     6.0264     -6.5708    NOSE
5.7205     5.8938     -6.5079
5.7757     5.7592     -6.3762
5.8053     5.6217     -6.1697
5.8103     5.4334     -5.9468
5.7599     5.2953     -5.7174
5.6372     5.1684     -5.5292
5.4363     5.1339     -5.3778
5.2478     5.1222     -5.2766
5.0517     5.1222     -5.1096
4.8762     5.1664     -4.9886
4.7624     5.3704     -5.1413
4.6853     5.6368     -5.3288
4.7881     5.9616     -5.6446
4.9348     6.1197     -5.9285
5.0544     6.1585     -6.1297
5.2582     6.1434     -6.342
5.3818     6.1503     -6.4907
5.4842     6.083      -6.527
5.5621     5.9972     -6.5429




















































































































































































4.8678     5.1769     -4.9888    NASP-PR
4.7552     5.0192     -4.9742
4.6285     4.8916     -4.9066
4.5188     4.7866     -4.7512
4.4662     4.7747     -4.6677
4.4514     4.736      -4.5067


































































































































































































5.959      6.2451     -7.2193    R-PM/MAX
6.0091     6.1555     -7.0659
6.0081     6.0603     -6.8573
5.9826     5.9478     -6.6342
5.9277     5.8057     -6.3775
5.9121     5.6314     -6.1214
5.9249     5.4523     -5.9312
5.9066     5.3124     -5.762
5.9131     5.0967     -5.5067
5.8638     4.9362     -5.2992
5.7768     4.7535     -5.1099
5.7033     4.5828     -4.9438
5.6154     4.3578     -4.7487
5.4727     4.3718     -4.6777
5.4048     4.398      -4.5872
5.3896     4.42       -4.5344
























































































































































































5.6798     6.4074     -7.2809    L-PM/MAX
5.5627     6.3739     -7.0818
5.4538     6.3653     -6.871
5.3593     6.3724     -6.7045
5.232      6.3439     -6.4796
5.1236     6.314      -6.2985
4.9418     6.2609     -6.0802
4.7992     6.2387     -5.8552
4.6219     6.2042     -5.6154
4.4095     6.1163     -5.342
4.2159     5.9696     -5.1109
4.0435     5.8575     -4.9107
3.884      5.7074     -4.7103
3.9433     5.5516     -4.4828
4.0294     5.5323     -4.3932

























































































































































































6.8352     5.0669     -4.1733    ROSTRUM
6.8285     5.0293     -4.5501
6.7945     5.1075     -4.8819
6.722      5.2052     -5.2977
6.5832     5.4011     -5.6091
6.4062     5.6621     -6.0426
6.2269     5.8127     -6.2548
6.1078     5.9598     -6.6187
5.9326     6.1074     -6.9967
5.7723     6.2733     -7.0996
5.5996     6.3632     -7.0894
5.468      6.4121     -6.9111
5.3686     6.513      -6.6473
5.1986     6.6081     -6.3218
4.9873     6.6721     -6.0199
4.7688     6.8438     -5.7127
4.499      7.0317     -5.2323
4.3807     7.1187     -4.8418
