MNHN       1969.452   Tg33stv
-0.3255    16.4615    10.2578    IN
-0.2647    12.8926    13.3743    BR
-0.0287    7.7937     11.5945    GL
-0.0001    7.8466     11.3289    NA
0.1466     6.6618     8.248      RH
0.3168     4.9513     6.67       NS
0.3801     4.656      5.5629     PR
-0.1429    4.766      5.6601     R_PR2
-0.2858    6.8729     8.3213     R_PMS
-2.8091    8.5757     7.2748     R_ZMI
-1.5361    8.1447     9.4278     R_ZMU
-0.2406    8.0194     10.2639    R_DA
-1.2937    7.8004     11.2133    R_MTI
-1.2143    7.9941     11.7511    R_MTS
-2.501     8.5802     10.6206    R_FMO
-2.831     9.0887     11.0651    R_FMT
-3.6299    13.463     9.1493     R_PO
-4.0589    9.6653     8.3953     R_ZTS
0.928      4.8363     5.6948     L_PR2
0.4868     7.1296     8.5519     L_PMS
3.0118     8.9307     7.3984     L_ZMI
1.4076     8.3157     9.5138     L_ZMU
0.2688     8.0942     10.2782    L_DA
1.1612     7.9335     11.2411    L_MTI
1.2095     8.1153     11.8005    L_MTS
2.4085     8.819      10.8761    L_FMO
2.6643     9.3542     11.2617    L_FMT
3.0224     14.0204    9.3993     L_PO
9999       9999       9999       L_ZTS
0.0876     4.4857     5.739      O1
2.3909     9.2754     11.7095    O2
-4.5545    11.0022    8.6248     O3
0.3402     16.4937    10.482     O4







































































































































































-0.0312    7.7706     11.5409    GLRH
-0.0156    7.8224     11.3657
-0.0513    7.8592     11.2238
-0.0509    7.8967     11.0986
-0.0373    7.876      10.9304
-0.0436    7.8404     10.7308
-0.019     7.8354     10.5356
-0.0058    7.8468     10.3692
0.0088     7.8555     10.216
0.0079     7.8388     10.0801
0.03       7.8337     9.9222
0.0108     7.776      9.7524
0.0411     7.7177     9.5646
0.055      7.6255     9.3725
0.0563     7.5223     9.1962
0.0254     7.4538     9.0859
0.0184     7.3394     8.9343
0.0289     7.2217     8.7954
0.0344     7.0943     8.6598
0.1054     6.9403     8.5027
0.1343     6.7993     8.3735
0.1186     6.7288     8.2974
0.1629     6.6641     8.2338

















































































































































































0.1689     6.6981     8.2726     NOSE
-0.1626    6.5783     8.102
-0.3104    6.4709     7.9395
-0.4161    6.3134     7.7135
-0.4504    6.1207     7.4939
-0.4502    5.8431     7.2647
-0.4219    5.6133     7.0619
-0.333     5.3904     6.8884
-0.1034    5.1146     6.7972
0.1097     4.9495     6.735
0.3005     4.969      6.6735
0.4937     5.0267     6.7572
0.6702     5.1689     6.8212
0.7678     5.3883     6.8915
0.8472     5.5126     6.9787
0.8815     5.6526     7.0944
0.8998     5.7953     7.2109
0.9156     5.9455     7.3355
0.8966     6.0617     7.4342
0.8969     6.1965     7.5465
0.8546     6.2462     7.609
0.7448     6.4019     7.8045
0.6387     6.4882     7.9479
0.5448     6.5673     8.0294
0.4281     6.6016     8.1338
0.2926     6.6908     8.1764
0.1504     6.676      8.24















































































