MNHN       AC A-1438  Tg39stv
-0.6575    17.5934    10.251     IN
-0.1388    15.0986    15.1349    BR
0.4762     8.8062     16.7429    GL
0.486      8.7304     16.4119    NA
0.7524     4.7513     13.4476    RH
1.078      1.4471     13.0807    NS
1.1888     -0.1272    11.7636    PR
0.5528     -0.1852    11.4778    R_PR2
0.0544     4.4357     13.3544    R_PMS
-2.8944    6.6978     11.2823    R_ZMI
-1.32      8.0001     14.3653    R_ZMU
0.0784     8.5626     15.366     R_DA
-1.283     8.7432     16.5591    R_MTI
-1.133     9.4655     16.9445    R_MTS
-2.5739    9.2119     14.9874    R_FMO
-3.0245    10.1545    15.5575    R_FMT
-4.3813    13.8771    10.4113    R_PO
-4.5517    8.9938     11.5228    R_ZTS
1.8473     0.12       11.6128    L_PR2
1.5216     4.7071     13.3169    L_PMS
4.1133     7.3771     11.1183    L_ZMI
2.2512     8.369      14.2711    L_ZMU
0.7975     8.684      15.3543    L_DA
2.086      8.942      16.3949    L_MTI
1.9225     9.4964     16.8735    L_MTS
3.386      9.7969     15.0646    L_FMO
3.6421     10.627     15.19      L_FMT
3.8444     14.5691    10.14      L_PO
5.4437     9.6771     11.6602    L_ZTS
1.6097     -0.4062    11.6578    O1
-2.5988    10.4467    15.9502    O2
5.6253     11.8997    10.8065    O3
-1.0037    17.5532    10.1649    O4







































































































































































0.4901     8.8001     16.7182    GLRH
0.4501     8.7466     16.4541
0.4462     8.645      16.2799
0.4273     8.5632     16.1389
0.4564     8.5226     15.918
0.4663     8.4747     15.7285
0.4353     8.4177     15.5169
0.4375     8.3349     15.3412
0.4822     8.2237     15.1427
0.4852     8.0426     14.9388
0.5251     7.8957     14.7459
0.5123     7.6911     14.5706
0.4953     7.5215     14.4437
0.5434     7.3472     14.3203
0.5496     7.1177     14.2009
0.5378     6.928      14.1111
0.5466     6.6919     13.9847
0.5659     6.4621     13.8951
0.5783     6.2553     13.8188
0.6153     6.0469     13.7526
0.6406     5.7766     13.6934
0.6425     5.6718     13.6515
0.6337     5.4044     13.5986
0.6597     5.1656     13.5299
0.6842     5.0003     13.5119
0.7015     4.8638     13.4839
0.7516     4.7218     13.4278













































































































































































0.7555     4.7202     13.4611    NOSE
0.1526     4.5904     13.4199
0.0591     4.369      13.3378
-0.0106    4.1502     13.2806
-0.0867    3.9096     13.234
-0.1049    3.6669     13.2125
-0.128     3.4346     13.1936
-0.1276    3.1927     13.1564
-0.1357    2.9225     13.1327
-0.1401    2.6654     13.0858
-0.1712    2.4095     13.0503
-0.1385    2.189      13.0484
-0.0439    1.9938     13.0795
0.0896     1.8475     13.1435
0.2774     1.7365     13.189
0.4035     1.6654     13.252
0.6266     1.6153     13.2629
0.7746     1.5693     13.2486
0.9389     1.5457     13.0963
1.104      1.5221     13.0758
1.3211     1.6419     13.2198
1.4629     1.7133     13.2553
1.735      1.7895     13.2235
1.9427     1.9042     13.1487
2.0431     2.1805     13.0562
2.0592     2.3975     13.0063
2.0292     2.7114     13.0205
1.9863     2.9843     13.0606
1.963      3.2877     13.1271
1.8852     3.5489     13.14
1.798      3.7575     13.1186
1.6644     3.9752     13.1102
1.667      4.2965     13.2155
1.4671     4.4832     13.2584
1.4116     4.6129     13.2979
1.3318     4.738      13.3751
1.1772     4.8388     13.3735
0.7784     4.7626     13.4526


































































































































































1.0515     1.4156     13.0812    NASP-PR
1.0798     1.1682     13.0236
1.106      0.9101     12.9073
1.0869     0.6897     12.744
1.1294     0.4975     12.588
1.1544     0.2899     12.4133
1.202      0.0752     12.1838
1.1504     -0.0343    11.9553
1.2013     -0.1099    11.8087
1.1887     -0.1605    11.7261






























































































































































































0.0639     4.3693     13.3405    R-PM/MAX
0.0196     4.2404     13.3047
-0.0189    4.0452     13.2369
-0.044     3.8598     13.205
-0.0333    3.6104     13.1814
-0.1263    3.4305     13.191
-0.2063    3.268      13.1553
-0.2275    3.0513     13.1286
-0.2554    2.9539     13.0811
-0.3287    2.7728     13.0312
-0.3646    2.6481     12.9206
-0.42      2.4645     12.7816
-0.5058    2.2652     12.6602
-0.5547    2.1426     12.6088
-0.6349    1.9947     12.5328
-0.6919    1.7088     12.4218
-0.6824    1.5587     12.3839
-0.7064    1.3887     12.3108
-0.6845    1.1466     12.1389
-0.6852    1.027      12.0083
-0.6747    0.9541     11.9677
-0.6447    0.861      11.8723
-0.4949    0.7035     11.7765
-0.4341    0.68       11.6476
-0.3753    0.6166     11.5734
-0.3115    0.6184     11.473
-0.2167    0.5897     11.3435













































































































































































1.5313     4.7132     13.2936    L-PM/MAX
1.5919     4.4238     13.2181
1.651      4.2274     13.1698
1.7063     3.968      13.15
1.7897     3.852      13.122
1.85       3.6347     13.1076
1.8997     3.5228     13.1055
1.9897     3.3635     13.1038
2.0776     3.1728     13.02
2.2077     3.05       12.9004
2.2571     2.9588     12.7758
2.3346     2.7449     12.6751
2.3869     2.5164     12.628
2.5656     2.3711     12.4942
2.7546     2.0324     12.3293
2.7794     1.8061     12.2912
2.8239     1.6327     12.1354
2.8406     1.4126     11.9175
2.7659     1.2057     11.833
2.7392     1.0319     11.5888
2.5738     0.9423     11.4375
2.4193     0.8639     11.3593


















































































































































































-1.4153    3.9686     10.1922    ROSTRUM
-1.4152    4.0569     10.3947
-1.3346    4.123      10.5601
-1.1648    4.216      10.6878
-0.9679    4.3095     10.8458
-0.8279    4.4187     11.0005
-0.761     4.5063     11.1957
-0.7354    4.6294     11.4759
-0.7191    4.6996     11.6921
-0.668     4.7712     11.9443
-0.6419    4.8602     12.0968
-0.6046    4.9234     12.344
-0.5407    5.0746     12.6163
-0.4463    5.1411     12.9908
-0.3251    5.2314     13.1821
-0.1795    5.3269     13.3382
-0.0424    5.3553     13.4391
0.1677     5.3829     13.523
0.4583     5.4549     13.5907
0.6956     5.4971     13.6128
0.9281     5.5474     13.5872
1.157      5.5874     13.5346
1.3132     5.6301     13.4186
1.5434     5.6118     13.317
1.7212     5.6007     13.1448
1.857      5.5089     12.8382
1.9077     5.4525     12.5997
1.9673     5.3814     12.2969
2.019      5.3065     11.907
2.0566     5.1838     11.6873
2.0856     5.0453     11.4442
2.1314     4.9464     11.2308
2.1592     4.8359     10.9911
2.2435     4.7539     10.8364
2.3926     4.7145     10.737
2.5827     4.6782     10.5466
2.8337     4.6332     10.49
2.969      4.5384     10.2741
3.0042     4.4518     10.0403
2.9593     4.3868     9.8879
































































































































































-2.9354    10.1205    15.6001    SUPORB
-2.8799    10.1769    15.7482
-2.839     10.1739    15.8855
-2.7297    10.242     16.0282
-2.5449    10.1488    16.2074
-2.4222    10.0783    16.2878
-2.2748    9.8997     16.4359
-2.0839    9.7819     16.552
-1.8754    9.6715     16.6687
-1.6667    9.5743     16.7673
-1.4857    9.5288     16.8434
-1.3276    9.507      16.8746
-1.193     9.4648     16.9142
-1.0107    9.4581     16.9239
-0.863     9.4294     16.938
-0.6948    9.3926     16.9406
-0.5191    9.3518     16.9445
-0.3507    9.3145     16.955
-0.1276    9.3041     16.9232
0.0667     9.2807     16.9076
0.2439     9.2257     16.9126
0.4559     9.2123     16.9231
