NMNH       357628     Pyn3stv
2.5011     4.6408     5.3618
2.6511     4.6068     5.4545
2.7599     4.6499     5.491
2.9442     4.6828     5.5211
3.1514     4.6933     5.4329
3.2998     4.7111     5.3074
3.4128     4.7255     5.18
3.5452     4.7294     5.0152
3.6178     4.7436     4.9392
3.7919     4.7196     4.5695
3.9347     4.7297     4.4206
4.0315     4.6943     4.272
4.1303     4.7084     4.1019
4.2178     4.7066     3.9474
4.3422     4.7335     3.7766
4.4461     4.7641     3.6483
4.5349     4.761      3.5289
4.6366     4.7218     3.3371
4.6988     4.7169     3.1583
4.7361     4.7295     2.9683
4.7666     4.7378     2.6087
4.7839     4.7363     2.3602





































































































































































-0.8591    6.4519     6.1879     SUPORB
-0.7672    6.4513     6.3458
-0.6542    6.3684     6.5146
-0.5095    6.2969     6.6821
-0.3728    6.2646     6.7993
-0.2259    6.2387     6.9112
-0.0905    6.2089     6.994
0.0669     6.175      7.0424
0.31       6.1259     7.1216
0.6656     6.0276     7.1521
0.9626     6.0154     7.1796
1.1898     5.9479     7.23
1.392      5.9493     7.2468
1.6089     5.9735     7.2649
1.8102     5.9772     7.2787
2.0753     5.9494     7.2738
2.257      5.9023     7.2716
2.4448     5.8464     7.2397
2.739      5.8066     7.209
2.8981     5.795      7.1997
3.1539     5.7835     7.2182
3.3593     5.844      7.236
3.6138     5.8701     7.2338
3.8516     5.9343     7.2303
4.0363     5.9784     7.2116
4.1835     6.0108     7.1887
4.4166     6.0461     7.1744
4.616      6.0887     7.1462
4.8547     6.1631     7.126
5.0712     6.2021     7.0937
5.2705     6.3068     7.0616
5.5157     6.4015     6.9857
5.6725     6.4918     6.9225
5.92       6.596      6.7384
6.1377     6.74       6.5411
6.2879     6.8826     6.3126
6.4556     6.9487     6.0479



































































































































































0.75       4.9954     4.5207     RORBIT
0.5737     5.0258     4.5197
0.396      5.0537     4.5605
0.2077     5.0979     4.5988
0.0629     5.1634     4.6866
-0.1837    5.2328     4.8274
-0.3784    5.3884     5.0947
-0.4739    5.5489     5.36
-0.527     5.6367     5.606
-0.5136    5.6784     5.8874
-0.491     5.7114     6.1217
-0.3469    5.7348     6.3443
-0.1683    5.7097     6.4851
0.0284     5.6727     6.6643
0.3149     5.6576     6.7152
0.5114     5.6438     6.7746
0.7575     5.6193     6.777
0.9075     5.5743     6.7984
1.1618     5.5172     6.8108
1.3385     5.5051     6.7743
1.5024     5.4861     6.7502
1.7        5.4359     6.7711
1.9852     5.416      6.7387
2.1253     5.4028     6.6257
2.195      5.3639     6.4401
2.1693     5.438      6.0352
2.1784     5.3874     5.8578
2.1588     5.4167     5.4949












































































































































































5.0419     5.3291     4.4527     LORBIT
