AMNH       87256      Pyn8stv
-0.3363    15.0792    5.573      IN
-0.4775    11.8712    9.0719     BR
-0.2437    6.8277     6.9304     GL
-0.2185    6.6067     6.1745     NA
-0.1399    6.2401     4.8558     RH
-0.1507    5.4242     3.1124     NS
-0.1791    5.0771     2.5674     PR
-0.6828    5.2138     2.5696     R_PR2
-0.3792    6.5609     5.7789     R_PMS
-2.6836    7.5598     3.3986     R_ZMI
-2.2113    7.0998     4.5289     R_ZMU
-0.7467    6.9167     5.8649     R_DA
-2.0105    7.2951     7.0175     R_MTI
-1.9371    7.3861     7.2772     R_MTS
-3.4816    7.6587     6.0722     R_FMO
-3.8155    8.2765     6.0077     R_FMT
-3.3041    11.8747    4.5807     R_PO
-3.7609    8.5564     4.034      R_ZTS
0.2935     5.1646     2.6183     L_PR2
2.4481     7.6744     3.3538     L_PMS
1.9618     7.1596     4.4367     L_ZMI
0.4378     6.9491     5.7808     L_ZMU
1.6828     7.3739     7.0215     L_DA
1.6125     7.5058     7.2884     L_MTI
3.0827     7.8114     6.0023     L_MTS
3.2717     8.4896     6.0523     L_FMO
2.6919     12.0544    4.6839     L_FMT
3.2441     8.7186     4.0481     L_PO
3.2731     8.7005     4.1002     L_ZTS
-0.4822    4.8586     2.4853     O1
3.0696     8.5877     6.275      O2
-4.01      10.3824    4.3265     O3
0.8359     15.1203    5.9999     O4







































































































































































-0.2392    6.8029     6.8839     GLRH
-0.1872    6.7497     6.6102
-0.1855    6.6897     6.3893
-0.1748    6.6276     6.1973
-0.1904    6.5822     6.0329
-0.2134    6.509      5.8125
-0.1736    6.4564     5.6001
-0.186     6.4148     5.3985
-0.1884    6.3387     5.1924
-0.1813    6.2981     5.0094
-0.1337    6.2419     4.8539





























































































































































































-0.1569    6.2512     4.8975     NOSE
-0.3414    6.2951     4.8919
-0.447     6.276      4.714
-0.5609    6.2462     4.5453
-0.6215    6.198      4.3776
-0.6849    6.1238     4.1776
-0.7527    5.9968     3.9585
-0.76      5.8942     3.7938
-0.7525    5.7985     3.6686
-0.658     5.6368     3.5325
-0.5378    5.4882     3.4233
-0.3601    5.4495     3.2367
-0.1817    5.4147     3.1055
