NMNH       268892     Rpr6stv
-3.0007    14.2692    5.4555     IN
-3.3139    10.9912    8.2812     BR
-3.0594    5.3259     6.2955     GL
-3.0389    5.3232     6.0736     NA
-3.0549    5.3489     5.0023     RH
-2.8921    4.2924     3.2159     NS
-2.8946    3.9296     2.651      PR
-3.45      3.9784     2.634      R_PR2
-3.3205    5.4023     5.5391     R_PMS
-5.9388    6.2309     3.0508     R_ZMI
-5.0859    5.6424     4.2422     R_ZMU
-3.7271    5.8511     5.4388     R_DA
-4.9973    5.9203     6.5973     R_MTI
-4.7259    5.9176     6.9086     R_MTS
-6.2796    6.1166     5.3241     R_FMO
-6.6713    6.657      5.6646     R_FMT
-6.336     10.8865    3.8579     R_PO
-6.986     7.6051     3.5888     R_ZTS
-2.2691    3.9999     2.71       L_PR2
-2.5837    5.4489     5.5259     L_PMS
0.0059     6.2981     3.229      L_ZMI
-0.8607    5.7355     4.3796     L_ZMU
-2.2463    5.802      5.5548     L_DA
-1.1571    5.8992     6.6455     L_MTI
-1.2248    5.9783     7.0413     L_MTS
0.2973     6.286      5.5433     L_FMO
0.5253     6.8402     5.9891     L_FMT
0.274      11.0157    4.0191     L_PO
0.9809     7.7718     3.8014     L_ZTS
-3.3153    3.6636     2.5095     O1
-0.4522    7.2185     6.9144     O2
-7.0667    9.7592     3.4795     O3
-2.2176    14.001     6.0332     O4







































































































































































-3.0286    5.333      6.2712     GLRH
-3.0642    5.3318     6.0571
-3.0779    5.3278     5.9072
-3.0591    5.3302     5.7654
-3.0423    5.3203     5.648
-3.0365    5.3161     5.4764
-3.0315    5.3249     5.3871
-3.0161    5.3171     5.3021
-3.0086    5.3346     5.1785
-2.9939    5.3313     5.1248
-3.0341    5.3544     5.0135





























































































































































































-3.0079    5.3478     4.9995     NOSE
-3.2005    5.4002     5.0026
-3.3975    5.4263     5.0041
-3.5085    5.4416     4.7916
-3.5919    5.4375     4.6577
-3.6561    5.403      4.532
-3.7065    5.3678     4.3425
-3.7432    5.3021     4.1924
-3.7299    5.2086     4.0053
-3.6866    5.1315     3.8971
-3.5972    5.0334     3.7924
-3.4678    4.92       3.7011
-3.3567    4.7732     3.6207
-3.2493    4.5076     3.4713
-3.1172    4.3925     3.3638
-2.9984    4.326      3.2961
-2.8917    4.2745     3.2245
-2.7536    4.3435     3.3166
-2.6488    4.4136     3.368
-2.5183    4.5743     3.4985
-2.395     4.6815     3.593
-2.3231    4.8289     3.6663
-2.2478    4.9694     3.7313
-2.2015    5.1075     3.8504
-2.192     5.321      4.1177
-2.2603    5.4377     4.276
-2.3227    5.4843     4.4742
-2.4242    5.5023     4.6609
-2.5308    5.4903     4.8572
-2.5942    5.4504     4.9652
-2.6637    5.4122     5.0744
-2.8126    5.3893     5.0965
-3.0277    5.3427     5.0222





































