NMNH       544973     Scc15stv
-1.7442    3.6287     4.2497
-1.5721    3.6083     4.4449
-1.4749    3.6251     4.6401
-1.3809    3.6216     4.8367
-1.2857    3.5797     4.9778
-1.1835    3.5701     5.1288
-1.0901    3.5651     5.1464
-0.8998    3.5124     5.017
-0.7112    3.4917     5.0059
-0.4887    3.47       4.7682
-0.3816    3.4971     4.5704
-0.2168    3.4992     4.3505
-0.0555    3.5403     4.1851
0.166      3.5564     3.9408
0.332      3.5629     3.7738
0.5085     3.5575     3.5258
0.7128     3.5988     3.195
0.7637     3.5617     2.9558
0.8007     3.52       2.6173
0.759      3.4787     2.4565
0.7634     3.4923     2.2602
0.7855     3.5371     2.2225











































































































































































-3.5928    5.1723     6.0516     SUPORB
-3.5065    5.1297     6.2583
-3.3444    5.1483     6.4739
-3.1787    5.1494     6.6178
-3.0067    5.0302     6.7247
-2.8448    4.9002     6.8078
-2.597     4.826      6.8776
-2.4724    4.7773     6.9184
-2.2243    4.6953     6.9805
-2.0099    4.6449     6.9912
-1.7591    4.5549     6.9462
-1.4851    4.5067     6.887
-1.2488    4.4836     6.8217
-1.027     4.4261     6.7361
-0.8007    4.4173     6.724
-0.593     4.4641     6.8145
-0.3648    4.5023     6.9175
-0.1012    4.5535     6.9763
0.1483     4.5991     7.0177
0.4409     4.6575     7.0261
0.675      4.6718     6.9909
0.9334     4.7274     6.9197
1.1886     4.826      6.8335
1.3578     4.981      6.7754
1.4582     5.0871     6.7281
1.6372     5.1463     6.4671
1.6965     5.2218     6.3272
1.7447     5.2528     6.1973
1.79       5.3361     6.0407











































































































































































-1.9453    4.2346     4.5501     RORBIT
-2.1426    4.2902     4.4455
-2.4331    4.3478     4.4052
-2.6795    4.4141     4.4079
-2.9035    4.498      4.4844
-3.1214    4.5688     4.6321
-3.2701    4.6532     4.821
-3.3534    4.7071     4.9984
-3.4238    4.7831     5.2682
-3.4113    4.8311     5.5403
-3.3373    4.8397     5.7802
-3.201     4.8193     6.0985
-3.0452    4.7829     6.2369
-2.8722    4.7379     6.3457
-2.7239    4.649      6.472
-2.4852    4.6207     6.5385
-2.2688    4.5828     6.5859
-1.9738    4.556      6.5884
-1.8009    4.4803     6.5861
-1.5897    4.4494     6.5357
-1.3809    4.4075     6.3671
-1.2828    4.3754     6.1643
-1.2409    4.4318     5.9343
-1.2668    4.374      5.786
-1.2802    4.3502     5.6154















































































































































































0.2347     4.2792     4.5518     LORBIT
0.5064     4.2945     4.512
0.8202     4.3136     4.541
1.0622     4.3778     4.6078
1.2633     4.4296     4.71
1.3741     4.541      4.8564
1.5153     4.6402     5.0792
1.6        4.7306     5.347
1.6388     4.7769     5.6146
1.6464     4.7699     5.8525
1.4863     4.7072     6.3329
1.4058     4.6785     6.4838
1.2003     4.605      6.5527
0.8944     4.5402     6.6482
0.6713     4.5179     6.6669
0.5041     4.495      6.6693
0.2538     4.4357     6.6947
0.0424     4.417      6.6858
-0.1837    4.4092     6.5648
-0.3944    4.3958     6.3585
-0.5151    4.3422     6.0987
-0.4811    4.4636     5.6251


















































































































































































-3.5688    5.3443     5.9304     RTEMFOS
-3.683     5.2933     5.7215
-3.7805    5.2613     5.5396
-3.8455    5.2181     5.3889
-3.8855    5.1534     5.1984
-3.9011    5.0519     5.0667
-3.907     5.0141     4.8634
-3.9169    4.9942     4.6627
-3.9574    5.0519     4.4735
-3.9974    5.1528     4.2523
-4.0372    5.2232     4.1392
-4.069     5.3309     4.0536
-4.1247    5.4781     3.9995
-4.1832    5.6331     3.9867
-4.2383    5.7168     3.9822
-4.28      5.8022     3.9854
























































































































































































1.7104     5.333      6.1877     LTEMFOS
1.8664     5.2477     5.9975
2.0023     5.1846     5.8229
2.09       5.1168     5.6901
2.1771     5.0467     5.4448
2.1873     4.9581     5.1867
2.1971     4.9096     4.9657
2.2355     4.8846     4.7295
2.2921     4.9389     4.4653
2.3466     4.9994     4.2979
2.3983     5.0954     4.1846
2.4448     5.2098     4.0882
2.516      5.3205     4.0606
2.5819     5.4786     4.0595
2.6145     5.5835     4.0543
2.6682     5.7307     4.036
























































































































































































-2.2416    3.3748     5.2111     OP
-2.2932    4.8387     5.7658     BA
-2.5094    8.4187     5.2138     ST
-2.6518    10.8859    5.6543     IV
-5.178     5.2971     5.3689     R_PG
-6.118     7.0786     4.984      R_ZTI
-3.8645    8.1672     6.049      R_M3D
-4.2482    9.509      6.1826     R_M12
-4.0524    11.1841    6.0872     R_MP3
-3.4062    11.5948    6.0691     R_PMI
0.3346     5.536      5.3155     L_PG
1.0548     7.3522     4.9091     L_ZTI
-1.1322    8.2168     6.0482     L_M3D
-0.8992    9.6153     6.1222     L_M12
-1.2717    11.2598    6.1147     L_MP3
-1.8591    11.7249    5.9675     L_PMI
