NMNH       268894     Rpr8stv
-3.3653    5.5889     4.7493
-3.1718    5.5691     4.7608
-1.8542    5.4849     4.7255
-1.6449    5.4673     4.727
-1.4699    5.472      4.5798
-1.3206    5.483      4.3289
-1.2037    5.5017     4.0465
-1.1235    5.5212     3.8227
-1.0162    5.5468     3.6573
-0.9279    5.564      3.4899
-0.8294    5.5943     3.3387
-0.7694    5.6021     3.1197
-0.7673    5.5847     2.865
-0.74      5.5715     2.715
-0.747     5.5582     2.6021















































































































































































-5.9634    7.2923     6.0141     SUPORB
-5.8836    7.318      6.2249
-5.8462    7.3727     6.4347
-5.7241    7.3943     6.6479
-5.5827    7.3817     6.8736
-5.4027    7.4276     7.0838
-5.2068    7.4065     7.2196
-4.9558    7.3806     7.3326
-4.7026    7.2727     7.3876
-4.5516    7.096      7.4207
-4.297     6.9309     7.4559
-3.9921    6.7745     7.425
-3.7987    6.668      7.3564
-3.5091    6.6005     7.2863
-3.195     6.5174     7.2018
-2.8586    6.4342     7.1413
-2.5758    6.3403     7.0862
-2.304     6.3035     7.0722
-1.8882    6.2932     7.1023
-1.6086    6.3479     7.1516
-1.2033    6.3693     7.1929
-0.8382    6.4348     7.2673
-0.4524    6.5214     7.3277
-0.1007    6.6384     7.3301
0.4015     6.8834     7.2062
0.6986     6.9004     7.0244
0.983      6.9393     6.7926
1.1135     6.9127     6.5881
1.2228     6.916      6.3889
1.2758     6.8722     6.1632
1.3167     6.851      5.9824
1.3261     6.8524     5.8289
1.3475     6.8312     5.6436







































































































































































-4.6636    6.1026     4.7543     RORBIT
-4.9283    6.1458     4.8064
-5.2596    6.2655     4.9129
-5.426     6.443      5.0877
-5.5199    6.5718     5.2798
-5.5781    6.6703     5.4541
-5.6451    6.7473     5.6576
-5.6109    6.8451     5.9095
-5.552     6.8865     6.0643
-5.4347    6.941      6.5119
-5.1954    6.9836     6.7127
-4.8808    6.9709     6.9582
-4.5673    6.9176     7.0662
-4.1715    6.7625     7.0571
-3.7858    6.6144     6.9923
-3.4309    6.4758     6.838
-3.1961    6.3916     6.6269
-3.0989    6.3591     6.4088
-3.103     6.4169     6.0336
-3.0744    6.3628     5.9081




















































































































































































-0.1769    5.7499     4.6261     LORBIT
0.0682     5.8276     4.6551
0.5005     6.0163     4.8085
0.6711     6.1317     4.9545
0.8005     6.2468     5.1028
0.8545     6.3371     5.2907
0.9108     6.4134     5.5255
0.9082     6.4846     5.7
0.9235     6.5191     5.9241
0.8484     6.5534     6.1825
0.7503     6.5896     6.4317
0.629      6.6315     6.6294
0.4967     6.635      6.815
0.2484     6.6356     6.9126
-0.1532    6.5967     6.9789
-0.5355    6.4865     6.9963
-0.7696    6.4464     6.9658
-1.1052    6.4202     6.8272
-1.4191    6.2972     6.6161
-1.564     6.2187     6.4585
-1.6088    6.2321     6.2476
-1.6217    6.246      6.1062
-1.6511    6.2345     5.9951
-1.6514    6.2417     5.9318
















































































































































































-5.9887    7.2937     5.929      RTEMFOS
-6.0495    7.2476     5.7881
-6.0601    7.1244     5.521
-6.0775    7.0048     5.3038
-6.0664    6.9103     5.0182
-6.0591    6.8559     4.7687
-6.0842    6.8368     4.5468
-6.0899    6.9347     4.2528
-6.1259    6.9743     4.0662
-6.1143    7.2928     3.8015
-6.2126    7.502      3.6994
-6.3054    7.7053     3.6098
-6.31      7.9071     3.6746



























































































































































































1.3482     6.8393     5.5918     LTEMFOS
1.3611     6.7413     5.3387
1.3178     6.6246     5.0423
1.3033     6.557      4.8293
1.2646     6.478      4.5983
1.2467     6.4517     4.2014
1.2582     6.5371     3.9992
1.277      6.6445     3.8598
1.3193     6.7946     3.6545
1.3475     6.9619     3.564
1.3634     7.1246     3.5104
1.4685     7.2797     3.4156
1.5404     7.4377     3.3218
1.5803     7.5631     3.3172
1.5658     7.6502     3.3613

























































































































































































-2.6076    4.887      7.5117     OP
-2.5407    6.6439     7.2525     BA
-2.6143    10.1063    6.6558     ST
-2.5964    12.8342    6.0141     IV
-5.8152    7.1669     7.2859     R_PG
-6.5308    9.6047     6.6324     R_ZTI
-4.0933    9.9259     7.163      R_M3D
-4.5265    11.6139    7.0828     R_M12
-4.0127    12.882     6.4323     R_MP3
-3.6647    13.4837    6.1186     R_PMI
0.5882     7.1656     7.0819     L_PG
1.303      9.7106     6.4064     L_ZTI
-1.0088    9.9888     7.0792     L_M3D
-0.6434    11.5567    6.7816     L_M12
-1.2524    12.9785    6.3109     L_MP3
-1.541     13.5507    6.0531     L_PMI
-2.8355    14.4662    6.1205     O1
0.323      9.8848     3.0143     O2
-6.5406    7.9349     6.532      O3
-3.3016    3.238      5.2533     O4




















































































































































































-5.6462    11.5959    6.4369     RZYGINF
-5.7813    11.3789    6.5199
-6.0501    11.131     6.5447
-6.1303    10.967     6.5777
-6.2231    10.7506    6.6103
-6.2767    10.5847    6.6187
-6.3585    10.3718    6.6485
-6.4101    10.1677    6.6465
-6.4855    9.9725     6.6236
-6.515     9.7548     6.648
-6.5426    9.6674     6.6262





























































































































































































0.1876     11.6608    6.1571     LZYGINF
0.2582     11.5677    6.2541
0.4248     11.4142    6.2944
0.5622     11.2636    6.3115
0.8057     10.9184    6.3975
0.8862     10.7635    6.3921
0.9733     10.6317    6.37
1.0701     10.4574    6.3735
1.0836     10.3286    6.3963
1.2301     10.1216    6.3988
1.2271     9.9289     6.4331
1.2367     9.8425     6.4495
1.266      9.718      6.4264



























































































































































































-4.158     9.9857     7.2548     R-ALV
-4.2888    10.212     7.155
-4.3237    10.4054    7.1483
-4.3737    10.5816    7.091
-4.4055    10.6998    7.0878
-4.4456    10.862     7.0439
-4.4953    11.0357    7.0435
-4.5007    11.2135    6.9933
-4.5141    11.3975    6.964
-4.5195    11.5922    6.9453
-4.5483    11.8569    6.9889
-4.4859    12.118     6.8748
-4.4064    12.3631    6.7293
-4.3328    12.5045    6.69
-4.2613    12.6541    6.6338
-4.144     12.7206    6.4989
-4.0338    12.8142    6.5439
-4.0073    12.8723    6.4535






















































































































































































-1.0621    9.9631     7.0762     L-ALV
-0.9444    10.1172    7.0073
-0.8578    10.3788    6.9677
-0.7925    10.6323    6.9201
-0.7387    10.8307    6.8967
-0.6961    11.073     6.8369
-0.6861    11.2299    6.7946
-0.6854    11.5089    6.7661
-0.6836    11.7286    6.7137
-0.6866    11.8725    6.6955
-0.7163    12.1193    6.6112
-0.9079    12.4837    6.387
-0.9927    12.7012    6.3513
-1.0992    12.7773    6.3336
-1.1903    12.9601    6.2912
