NMNH       256916     Pyg3stv
-1.4371    6.2183     4.8585
-1.3088    6.1935     5.0188
-1.2212    6.1852     5.1538
-1.0854    6.1573     5.3421
-0.9887    6.148      5.4787
-0.874     6.1458     5.6719
-0.7126    6.109      5.8318
-0.6004    6.095      5.9421
-0.4897    6.0123     6.1332
-0.2681    5.9476     6.1455
0.0085     5.9898     5.8865
0.2306     6.0675     5.6707
0.4453     6.1192     5.3447
0.6452     6.1446     5.1484
0.7761     6.1665     5.0241
0.9605     6.2309     4.7947
1.0857     6.2591     4.5839
1.1664     6.2787     4.3838
1.3102     6.3203     4.1435
1.4759     6.361      3.9696
1.53       6.4185     3.7968
1.5589     6.5445     3.4646
1.4548     6.5825     3.0962









































































































































































-3.7738    7.7671     7.192      SUPORB
-3.7377    7.6789     7.2764
-3.6514    7.6014     7.3851
-3.53      7.5155     7.5483
-3.371     7.4054     7.691
-3.2002    7.343      7.8183
-3.0171    7.2572     7.912
-2.8798    7.2115     7.9671
-2.6688    7.082      8.0005
-2.4039    6.8853     8.0312
-2.2147    6.7493     8.0263
-1.9363    6.6443     8.0418
-1.6643    6.5204     8.0503
-1.3152    6.4029     8.0563
-1.0712    6.3581     8.0499
-0.7859    6.3189     8.0419
-0.519     6.2798     7.9915
-0.3033    6.2447     7.9628
-0.1181    6.2798     7.9899
0.2356     6.3697     8.0551
0.5859     6.4737     8.1142
0.8528     6.5417     8.152
1.035      6.5669     8.158
1.3282     6.6452     8.1346
1.6508     6.7475     8.109
1.8817     6.8794     8.1063
2.1487     7.0273     8.062
2.453      7.1923     7.9867
2.6503     7.3023     7.9019
2.8285     7.4302     7.8133
3.0201     7.502      7.666
3.1165     7.5555     7.5348
3.2506     7.6625     7.248







































































































































































-2.4392    6.5548     5.1589     RORBIT
-2.7444    6.6393     5.2071
-2.9831    6.7357     5.3157
-3.1459    6.8175     5.4273
-3.2668    6.8845     5.5515
-3.3425    6.9659     5.7033
-3.3983    7.0372     5.9077
-3.5109    7.0903     6.0986
-3.5363    7.1364     6.3093
-3.5438    7.1626     6.555
-3.5562    7.1567     6.7978
-3.5239    7.1129     6.9305
-3.4397    7.0657     7.0509
-3.2919    6.9984     7.1939
-3.1581    6.9047     7.3328
-2.9443    6.8126     7.4377
-2.6929    6.722      7.524
-2.4774    6.6069     7.5763
-2.3229    6.499      7.7262
-2.115     6.4271     7.6788
-1.8832    6.3465     7.6031
-1.6689    6.2923     7.5663
-1.3889    6.2453     7.552
-1.0983    6.2051     7.371
-0.9212    6.2168     7.2822
-0.8532    6.2491     7.1306
-0.8134    6.3392     6.8118
-0.8091    6.4944     6.6962












































































































































































1.8258     6.5121     5.259      LORBIT
2.0778     6.5741     5.2585
2.2684     6.6254     5.3313
2.4694     6.6812     5.4635
2.6839     6.8085     5.6167
2.768      6.8773     5.7394
2.8986     6.9249     5.9071
2.9431     7.0168     6.152
2.9878     7.0612     6.5015
3.0646     7.0441     6.6949
