NME        L32-154    Tb4sf2
5.4807     6.7211     6.6325
5.4446     6.5066     6.5714
5.3801     6.236      6.5173
5.357      6.0028     6.4899
5.3423     5.648      6.3106
5.3147     5.3997     6.0622
5.3049     5.2341     5.8694
5.313      5.033      5.6515
5.2278     4.8607     5.4807
5.1968     4.7073     5.2984
5.144      4.5077     5.1024
5.1031     4.4154     4.9737
5.0231     4.2162     4.751
4.964      4.0457     4.5756
4.9388     3.8812     4.4026
4.9334     3.6582     4.2378
4.8921     3.469      4.1376
4.8483     3.2667     3.9036
4.8766     3.2157     3.6714
4.9106     3.1666     3.3904
4.8831     3.1952     3.1606
4.881      3.1803     2.9465
4.8151     3.1978     2.7259
4.8298     3.2826     2.5803










































































































































































4.3662     10.3619    2.6827     ROSTRUM
4.2949     10.3919    2.9652
4.3014     10.3126    3.2895
4.3818     10.1882    3.6493
4.5026     10.1169    3.8858
4.5179     10.0274    4.066
4.5632     9.9219     4.2529
4.5939     9.8345     4.3634
4.6336     9.732      4.5638
4.6497     9.6601     4.8843
4.6582     9.6183     5.1142
4.6872     9.5242     5.3714
4.7117     9.523      5.6039
4.7115     9.4788     5.7806
4.6966     9.4689     5.9646
4.6417     9.4385     6.1499
4.57       9.4466     6.4103
4.4983     9.4921     6.5376
4.396      9.5382     6.7345
4.3184     9.5031     6.876
4.3108     9.4595     7.0665
4.3579     9.3363     7.2767
4.7005     9.2127     7.5264
4.8913     9.2303     7.5739
5.1138     9.0718     7.4975
5.3055     8.9183     7.555
5.4839     8.8109     7.6833
5.6309     8.763      7.7402
5.9723     8.5188     7.7458
6.448      8.2029     7.2957
6.7967     7.8152     7.4847
6.9734     7.645      7.6258
7.1822     7.4826     7.6222
7.4264     7.3442     7.4774
7.5373     7.347      7.3267
7.3222     7.2083     7.1083
7.2966     7.2822     6.8018
7.2728     7.2698     6.6004
7.2974     7.2313     6.4148
7.5127     7.0233     6.1355
7.6486     6.861      5.8584
7.7531     6.7287     5.5402
7.7902     6.6646     5.3522
7.8991     6.5734     5.0877
7.9917     6.5004     4.9199
8.1546     6.3723     4.9163
8.1595     6.3691     4.7341
8.2709     6.2623     4.6223
8.4275     6.0844     4.4909
8.5531     6.0043     4.3947
8.6614     5.891      4.2776
8.7202     5.8164     4.1557
8.8115     5.7165     3.9989
8.875      5.7189     3.8238
8.9207     5.7074     3.6375
8.998      5.7341     3.4869
















































































































































6.5663     16.293     9.9806     SUPORB
6.583      16.2065    10.2589
6.6519     16.1269    10.5925
6.6343     15.9994    10.7776
6.6552     15.864     11.0044
6.6187     15.6975    11.2506
6.6947     15.4935    11.4549
6.7712     15.2852    11.6489
6.8892     14.9725    11.8125
7.0178     14.7363    11.9231
7.1111     14.5782    12.0141
7.2167     14.3775    12.0988
7.2963     14.2087    12.1478
7.3664     14.0773    12.1841
7.4482     13.8623    12.1799
7.4951     13.7113    12.1939
7.7488     13.241     12.1479
7.8406     13.0587    12.1499
7.9126     12.8865    12.1079
8.0143     12.681     12.0941
8.0932     12.5512    12.1014
8.1569     12.3439    12.0836
