AMNH       103372     scc14ms.xls
5.7177     7.2778     4.2459
5.6877     7.2475     4.1564
5.7011     7.2275     4.0991
5.7423     7.1884     4.031








































































































































































7.585      7.5467     6.8669     L-PM/MAX
7.6252     7.5163     6.8256
7.6494     7.4783     6.7494
7.6732     7.4469     6.6382
7.6498     7.4016     6.5227
7.7016     7.3877     6.4121
7.7175     7.3561     6.347
7.7102     7.3143     6.236
7.693      7.2635     6.1432
7.6962     7.2154     6.0522
7.7087     7.1759     5.9683
7.7124     7.1268     5.8775
7.7151     7.0569     5.745
7.7002     7.0138     5.6805
7.7156     6.9529     5.5783
7.7349     6.9172     5.5199
7.7388     6.8498     5.4314
7.7431     6.8146     5.3662
7.7374     6.7749     5.3245
7.7831     6.7714     5.3022
7.7621     6.7098     5.2226
7.7077     6.6567     5.1608
7.7088     6.5764     5.0447
7.6742     6.5065     4.9535
7.6631     6.4647     4.8568
7.6387     6.4052     4.7693
7.6084     6.3137     4.6444
7.5904     6.264      4.5717
7.5774     6.1964     4.4702
7.5618     6.1036     4.3659
7.4868     6.0099     4.2275
7.4678     5.9532     4.1243
7.4186     5.9578     4.0235
7.3795     5.9693     3.9812
7.3942     6.0284     3.8467





































































































































































6.1869     8.7636     3.7546     ROSTRUM
6.2006     8.7771     3.8733
6.1825     8.7783     4.0907
6.1404     8.8031     4.3207
6.1398     8.7946     4.4831
6.152      8.7985     4.649
6.1628     8.782      4.7478
6.2027     8.7775     4.923
6.2128     8.7445     5.071
6.2353     8.7117     5.1599
6.3141     8.6494     5.2633
6.3932     8.6165     5.3323
6.4259     8.5888     5.3965
6.4694     8.5407     5.474
6.5481     8.4997     5.5466
6.6373     8.4426     5.616
6.6762     8.42       5.6609
6.738      8.3812     5.7458
6.7986     8.3354     5.8498
6.8971     8.2641     6.009
6.9605     8.2254     6.0684
7.0135     8.1552     6.1566
7.0375     8.1428     6.2288
7.0756     8.1001     6.3141
7.1249     8.1038     6.3895
7.1324     8.0692     6.4641
7.158      8.0355     6.5399
7.1652     8.0053     6.6027
7.1944     7.9555     6.6533
7.2148     7.9231     6.7297
7.2223     7.8331     6.7871
7.2443     7.7565     6.7939
7.3155     7.6838     6.8025
7.4017     7.6385     6.7919
7.4625     7.5873     6.7986
7.4903     7.5828     6.8043
7.5415     7.5486     6.8201
7.5741     7.53       6.8177
7.6651     7.5317     6.8044
7.7146     7.5495     6.7968
7.7322     7.5033     6.7194
7.838      7.5083     6.5373
7.8943     7.4668     6.3484
7.9832     7.4274     6.2455
8.0442     7.346      6.0955
8.1555     7.2895     5.9631
8.2016     7.2162     5.8193
8.284      7.1768     5.7237
8.3916     7.0857     5.5364
8.4663     6.9899     5.3964
8.6164     6.8411     5.2188
8.6733     6.7832     5.0574
8.7934     6.7872     4.8681
8.787      6.7571     4.6886
8.8129     6.7754     4.5195
8.8331     6.7723     4.2726
8.8276     6.7729     4.1563
8.8574     6.8057     4.0066
8.8496     6.8719     3.8143
8.7883     6.9173     3.6388












































































































































5.7398     10.6831    7.3098     SUPORB
5.8045     10.6735    7.4318
5.8636     10.6316    7.5346
5.9179     10.5938    7.6584
5.9609     10.5561    7.7687
5.9959     10.5249    7.8564
6.0545     10.4603    7.9507
6.0892     10.4126    8.0304
6.1249     10.3588    8.0862
6.1819     10.277     8.1829
6.2452     10.1963    8.2688
6.2458     10.1233    8.3142
6.2973     10.0972    8.3531
6.3327     10.0419    8.4302
6.3771     9.9761     8.4951
6.4323     9.9024     8.5679
6.488      9.8187     8.624
6.5321     9.7518     8.6851
6.5942     9.6671     8.7149
6.63       9.5944     8.7445
6.7081     9.5335     8.7764
6.7921     9.4407     8.7946
6.8121     9.3533     8.8075
6.8639     9.2077     8.816
6.9858     9.1042     8.8299
7.0536     9.0022     8.8147
7.1389     8.8874     8.7941
7.2551     8.7743     8.7762
7.3259     8.6774     8.7435
7.3556     8.6015     8.7234
7.4325     8.4942     8.6822
7.4712     8.4332     8.6278
7.5768     8.3395     8.587
7.6072     8.258      8.5385
7.6581     8.1785     8.5004
7.7491     8.1055     8.4728
7.7646     8.0746     8.4514
7.8529     8.0419     8.4851
7.9603     7.9912     8.5396
8.0614     7.9274     8.6027
8.1645     7.901      8.6398
8.2442     7.852      8.6959
8.3967     7.825      8.7516
8.5642     7.7511     8.7731
8.7441     7.6888     8.8215
8.8612     7.6394     8.8595
8.9804     7.6049     8.8792
9.1003     7.5341     8.8773
9.2315     7.4944     8.8733
9.4051     7.4681     8.8413
9.5753     7.411      8.7678
9.6446     7.382      8.7294
9.7564     7.3494     8.6881
9.8798     7.2863     8.5967
10.0035    7.2265     8.4919
10.1539    7.2091     8.3726
10.2856    7.1985     8.276
10.4006    7.163      8.1671
10.4259    7.0608     8.0798
10.5305    7.0311     7.9297
10.6294    7.0582     7.7662
10.6753    7.0151     7.6037
10.715     6.9802     7.4823
10.7081    6.8981     7.3963
10.7279    6.8892     7.2859







































































































































6.7535     8.9639     6.0793     RORBIT
6.6646     9.0537     6.0658
6.5654     9.1593     6.0791
6.4925     9.2285     6.0752
6.4059     9.3041     6.1054
6.3592     9.3845     6.0899
6.2707     9.45       6.1161
6.2073     9.5205     6.1484
6.1519     9.5881     6.1944
6.0985     9.6841     6.2457
6.0603     9.771      6.281
5.9948     9.8361     6.3771
5.9526     9.9008     6.4697
5.9479     9.9766     6.6045
5.9287     10.0312    6.708
5.9313     10.0926    6.856
5.8969     10.0867    6.9688
5.8887     10.1094    7.0804
5.9096     10.1096    7.1763
5.9175     10.088     7.2374
5.9182     10.083     7.3503
5.9316     10.0702    7.435
5.9372     10.0245    7.5368
5.9524     9.9891     7.6317
5.995      9.952      7.6908
6.0376     9.9149     7.7498
6.0987     9.8718     7.8194
6.0959     9.8203     7.9219
6.1604     9.7565     7.9827
6.2372     9.7081     8.0376
6.2892     9.6521     8.0914
6.3312     9.5747     8.1304
6.3846     9.5041     8.1648
6.4445     9.4145     8.2102
6.5021     9.343      8.244
6.6095     9.2753     8.2401
6.6584     9.1847     8.2637
6.6638     9.0923     8.2971
6.7492     8.9974     8.3102
6.8057     8.9306     8.3186
6.9022     8.8508     8.2799
6.9859     8.7817     8.2541
7.053      8.7122     8.2285
7.1374     8.6174     8.1918
7.224      8.5388     8.1316
7.2806     8.484      8.0736
7.3416     8.4143     7.9933
7.3795     8.3556     7.9306
7.4415     8.2995     7.8155
7.4946     8.305      7.5402
7.531      8.3838     7.4185
7.5729     8.4373     7.3257
7.566      8.4661     7.2387
7.586      8.4664     7.131
7.651      8.5099     6.9975

















































































































































8.8284     7.4015     6.0784     LORBIT
8.8959     7.365      6.0817
8.973      7.2933     6.0685
