AMNH       103354     scc1cs.xls















1.14       32.2729    7.5493     SUPORB
0.9577     32.2643    7.9086
0.7466     32.1132    8.2106
0.4151     31.9454    8.5256
0.0465     31.7878    8.7091
-0.3024    31.6304    8.779
-0.6781    31.4409    8.783
-1.0665    31.2624    8.6951
-1.3713    31.102     8.6259
-1.5542    30.966     8.6512
-1.7163    30.5996    8.7713
-1.847     30.378     8.8355
-2.0114    30.0202    8.8375
-2.1848    29.6676    8.7627
-2.3178    29.4747    8.6772
-2.5049    29.2685    8.5145
-2.6775    29.0982    8.3007
-2.8093    28.9802    8.1053
-2.9439    28.8652    7.8632
-2.9427    28.7848    7.7058




















































































































































































-0.7956    31.8444    6.3565     RORBIT
-0.6184    31.9649    6.359
-0.3344    32.1436    6.405
-0.0314    32.2894    6.7166
0.1889     32.287     6.67
0.3896     32.3001    6.9222
0.518      32.2516    7.2217
0.528      32.2105    7.6144
0.4725     32.1507    7.8436
0.2165     32.0227    8.1419
-0.0127    31.8812    8.2467
-0.2278    31.7294    8.3045
-0.4868    31.619     8.3403
-0.7743    31.5273    8.3315
-1.0687    31.3446    8.1577
-1.2255    31.2894    7.8841
-1.2718    31.2819    7.5605
-1.3433    31.3371    7.413






















































































































































































-2.4495    30.4577    6.4065     LORBIT
-2.6368    30.3237    6.4579
-2.8183    30.1785    6.456
-2.9574    29.8964    6.5838
-3.0653    29.5593    6.7827
-3.0733    29.3842    7.0089
-3.0417    29.2373    7.3232
-3.022     29.1931    7.7172
-2.7763    29.3857    8.1335
-2.5265    29.5824    8.2811
-2.307     29.8927    8.3822
-2.1623    30.2105    8.4079
-1.9881    30.4858    8.3031
-1.8355    30.7976    8.0435
-1.8018    30.9005    7.6811
-1.7891    30.927     7.5102
























































































































































































1.1413     32.1582    7.6471     RTEMFOS
1.2028     32.2053    7.3183
1.2399     32.3431    7.078
1.2118     32.417     6.7703
1.1704     32.4683    6.4073
1.2395     32.491     6.1548
1.381      32.3679    5.9448
1.5586     32.2431    5.812
1.7334     32.1098    5.7773











































