NME        L32-155    Tb8stv
14.558     11.1413    4.6527
14.5755    11.0656    4.3821
14.5381    10.9632    4.2095
14.6058    10.9202    3.8755
14.6612    10.8739    3.6977
14.8154    10.807     3.59
14.9833    10.7131    3.3522
15.1323    10.6599    3.2135
15.3123    10.584     3.0262
15.4494    10.552     2.9104
15.4354    10.5692    2.554
15.3565    10.5865    2.3813
15.3443    10.6069    2.1707
15.3258    10.6227    2.0446
15.3047    10.5863    1.9292




























































































































































11.7345    17.5855    7.0261     SUPORB
11.9045    17.3832    7.602
12.0498    17.1501    7.8454
12.2452    16.9954    8.012
12.3854    16.8588    8.0881
12.606     16.7192    8.1923
12.7738    16.4663    8.3
12.9329    16.318     8.399
13.2       16.1268    8.4272
13.4689    15.9319    8.4631
13.7717    15.6779    8.4642
13.9761    15.4497    8.4528
14.1832    15.2093    8.3961
14.422     14.9654    8.3046
14.6207    14.8104    8.2686
14.9337    14.6842    8.2924
15.4228    14.6753    8.3545
15.806     14.6613    8.3685
16.1757    14.5472    8.3568
16.4369    14.3881    8.3311
16.944     14.1931    8.2139
17.4542    14.0683    7.9539
17.7765    14.0626    7.7224
18.0382    14.1389    7.5343
18.2879    14.1529    7.1458
18.4143    14.2373    6.9447
18.4017    14.1444    6.4944













































































































































































12.5136    14.3183    6.062      RORBIT
12.2101    14.5093    6.098
11.9458    14.7847    6.1337
11.6236    15.0887    6.2883
11.5406    15.5588    6.4395
11.5517    16.0385    6.5258
11.6747    16.3894    6.723
11.801     16.4889    6.7345
11.8512    16.6914    7.3099
12.0979    16.5466    7.689
12.4165    16.2662    7.9086
12.6695    16.0101    8.0245
12.8847    15.7361    8.0983
13.0654    15.5605    8.1207
13.3557    15.3838    8.0933
13.5964    15.2421    8.1694
13.8256    15.0029    8.0431
13.9797    14.8279    7.8203
14.0374    14.6371    7.6894
14.0029    14.6912    7.4494
14.0204    14.8462    7.1098
14.0527    14.8006    6.8722


















































































































































































15.4974    13.0019    5.7381     LORBIT
15.8172    12.8855    5.6845
16.2421    12.7951    5.7188
16.5894    12.858     5.7861
16.9535    12.9394    5.8973
17.3309    13.3041    6.1424
17.5234    13.6107    6.4175
17.6145    13.6275    6.6606
17.6104    13.7853    7.037
17.4171    13.7678    7.4728
17.0477    13.7911    7.7911
16.6197    13.9146    7.8675
16.2782    14.0117    7.9055
16.0017    14.0294    8.005
15.7934    14.1268    7.9624
15.4387    14.242     8.2438
14.9305    14.2922    8.0249
14.7793    14.2828    7.7629
14.7966    14.3079    7.529
14.7846    14.2976    7.363
14.7855    14.3054    7.1561



















































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































