NMNH       358107     Pyn4stv
1.7179     12.2295    6.075      IN
1.4806     8.3122     8.8038     BR
1.2147     3.5809     6.2868     GL
1.2138     3.5755     6.2987     NA
1.1812     3.1062     4.8173     RH
1.0546     1.9718     3.0607     NS
0.9656     1.1462     2.302      PR
0.4095     1.3177     2.2383     R_PR2
0.9212     3.575      6.0568     R_PMS
-1.4223    4.6612     3.3573     R_ZMI
-1.277     4.1637     4.6232     R_ZMU
0.5692     3.9228     5.7906     R_DA
-0.6997    4.3477     7.0029     R_MTI
-0.6378    4.5088     7.3255     R_MTS
-1.9291    4.7686     6.3166     R_FMO
-2.315     5.577      6.416      R_FMT
-1.6437    9.4124     4.6895     R_PO
-2.6168    6.0404     4.2104     R_ZTS
1.5653     1.1934     2.2254     L_PR2
1.4164     3.539      6.0223     L_PMS
4.0941     4.449      3.1921     L_ZMI
3.5491     3.8667     4.4661     L_ZMU
1.8506     3.9183     5.8018     L_DA
2.8887     4.08       6.8888     L_MTI
2.8159     4.286      7.2329     L_MTS
4.4396     4.338      6.1137     L_FMO
4.9518     5.0474     6.0626     L_FMT
4.4251     9.0017     4.3865     L_PO
5.2232     5.6678     4.0004     L_ZTS
0.5017     1.0659     1.8444     O1
-1.4156    5.9005     6.9069     O2
5.2867     7.1269     3.8299     O3
2.5658     11.9271    6.483      O4







































































































































































1.2038     3.5295     6.2684     GLRH
1.1913     3.4695     6.1211
1.1593     3.4187     5.9626
1.1578     3.3839     5.8071
1.1568     3.3448     5.6257
1.1445     3.2997     5.4347
1.1452     3.2734     5.2734
1.1597     3.2398     5.1362
1.1514     3.2309     5.053
1.1591     3.1579     4.941
1.1716     3.1136     4.8141





























































































































































































1.1758     3.1085     4.8103     NOSE
0.9493     3.1149     4.7777
0.6927     3.1038     4.6808
0.5966     3.0601     4.5285
0.44       2.9238     4.3178
0.3599     2.7688     4.1089
0.3219     2.5435     3.8466
0.3818     2.3328     3.5978
0.5498     2.0719     3.3704
0.7553     1.9424     3.2204
1.0282     1.8544     3.0324
1.3317     1.9429     3.1729
1.5748     1.974      3.3356
1.6879     2.1919     3.5146
1.7689     2.3791     3.6648
1.8139     2.4917     3.8307
1.8482     2.6431     4.0451
1.8692     2.7356     4.2132
1.8463     2.8446     4.3584
1.8022     2.9571     4.4982
1.7043     3.0204     4.594
1.5561     3.1457     4.6694
1.1902     3.1002     4.7865

















































































































































































1.0706     1.8346     3.0159     NASP-PR
1.0522     1.6319     2.952
1.0556     1.4547     2.8404
1.035      1.3456     2.7475
1.0201     1.2317     2.6447
1.0159     1.1396     2.4398
1.016      1.1229     2.2466

































































































































































































0.9207     3.5739     6.0718     R-PM/MAX
0.874      3.558      5.8883
0.7363     3.5334     5.6324
0.6616     3.5263     5.4683
0.5211     3.5671     5.2819
0.4093     3.5726     5.1247
0.2952     3.4795     4.846
0.2271     3.3931     4.6324
0.1132     3.3274     4.4622
0.0472     3.2096     4.3264
-0.021     3.0808     4.1688
-0.0572    2.9066     3.8901
-0.021     2.6995     3.6686
-0.0311    2.5606     3.4799
-0.0283    2.3944     3.326
-0.0641    2.2366     3.1391
-0.0962    2.0789     2.9772
-0.21      1.9773     2.8065
-0.2119    1.9214     2.7079
-0.1658    1.9259     2.5554




















































































































































































1.4663     3.5508     6.0182     L-PM/MAX
1.5154     3.5127     5.7788
1.6005     3.4706     5.5964
1.6719     3.4375     5.3776
1.7358     3.4266     5.2448
1.8749     3.3688     4.9612
1.9493     3.3103     4.7885
2.0128     3.2501     4.6359
2.0435     3.1658     4.5019
2.0881     3.088      4.3885
2.1895     2.9789     4.1687
2.231      2.8033     3.9224
2.2142     2.6355     3.7407
2.1901     2.4458     3.5274
2.2251     2.255      3.3033
2.2191     2.1449     3.1076
2.2518     1.978      2.9109
2.3335     1.8812     2.7909
2.2903     1.7878     2.6752
2.1967     1.7463     2.4775




















































































































































































-0.8528    3.653      2.4539     ROSTRUM
-0.834     3.6463     2.7338
-0.7952    3.6136     2.9838
-0.7525    3.5941     3.2111
-0.6295    3.5365     3.4571
-0.5456    3.5332     3.6089
-0.4064    3.4913     3.7902
-0.2951    3.4561     3.9916
-0.0786    3.4296     4.3069
0.0539     3.4199     4.4696
0.2265     3.4245     4.6677
0.3732     3.4155     4.8376
0.4773     3.4094     4.9581
0.5554     3.4136     5.0963
0.7006     3.342      5.2075
0.8179     3.334      5.2928
1.0295     3.2867     5.3263
1.1882     3.3016     5.3726
1.3343     3.296      5.4303
1.6659     3.3035     5.1816
1.7856     3.3474     5.0866
1.9081     3.3967     4.9343
2.0489     3.3502     4.7253
2.1864     3.3877     4.5235
2.3556     3.378      4.3111
2.5452     3.3606     4.0333
2.7076     3.3787     3.8003
2.9227     3.3798     3.5221
3.0448     3.3812     3.2863
3.1079     3.4233     3.0885
3.0966     3.4038     2.6713
3.1077     3.409      2.4241
3.0586     3.4068     2.1669







































































































































































-2.3203    5.5817     6.467      SUPORB
-2.1711    5.5149     6.7049
-2.01      5.3292     6.8691
-1.8756    5.2529     6.9817
-1.6254    5.0426     7.1647
-1.4199    4.9229     7.2489
-1.2058    4.8194     7.3049
-1.0176    4.689      7.3408
-0.7219    4.6141     7.3733
-0.5025    4.5213     7.3577
-0.2812    4.443      7.3688
-0.0198    4.3788     7.3601
0.1876     4.3435     7.3611
0.4379     4.2992     7.3373
0.6472     4.2693     7.3061
0.8149     4.2006     7.2588
0.9549     4.1715     7.2561
1.0972     4.1069     7.1983
1.2384     4.0526     7.1684
1.4313     4.0853     7.1886
1.6917     4.1317     7.2354
1.8957     4.1878     7.2631
2.3446     4.2418     7.2747
2.6021     4.2583     7.2666
2.8122     4.2954     7.2408
3.1708     4.3438     7.229
3.4965     4.3948     7.1747
3.7754     4.4886     7.1379
4.0422     4.5941     7.034
4.2326     4.6641     6.9592
4.4083     4.7855     6.8248
4.6036     4.9001     6.6278
4.7373     4.9606     6.4771
4.8366     5.0406     6.3202
4.8994     5.0626     6.2055
4.9682     5.0429     6.0072



































































































