UWMA       MP217      Tod29stv
9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































11.9238    14.2539    6.2192     LORBIT
12.4478    14.192     6.3377
12.729     14.3786    6.3492
12.9336    14.53      6.4285
13.0906    14.731     6.5649
13.2916    14.7742    6.7549
13.4083    14.8236    6.879
13.4573    14.9604    7.0187
13.5308    15.0535    7.1974
13.6184    15.1606    7.4259
13.6476    15.2429    7.6019
13.6962    15.2846    7.891
13.6387    15.2559    8.1995
13.4223    15.1325    8.4254
13.2099    14.9984    8.723
13.001     14.8649    8.8625
12.6846    14.7371    9.1025
12.3307    14.6139    9.4212
12.1112    14.5718    9.5089
11.8579    14.515     9.4933
11.674     14.4878    9.4828
11.1832    14.458     9.5183
10.7713    14.4465    9.2325
10.6698    14.3935    9.056
10.5413    14.2923    8.8806
10.5231    14.2947    8.598
10.5084    14.3254    8.3484
10.5093    14.3185    8.1055
10.6058    14.2862    7.9094











































































































































































9999       9999       9999       RTEMFOS







































































































































































































14.3251    16.1681    8.6492     LTEMFOS
14.4558    16.1557    8.3234
14.5243    16.0228    8.0926
14.5664    15.9339    7.8544
14.5891    15.8032    7.5675
14.5754    15.7185    7.373
14.5813    15.6303    7.1877
14.6149    15.5554    7.0354
14.64      15.4511    6.9006
14.6094    15.413     6.6634
14.6956    15.3656    6.4463
14.781     15.3774    6.2043
14.8983    15.4342    5.9743
14.9642    15.4782    5.8629
15.0384    15.5443    5.7658
15.3102    16.1097    5.668
15.3589    16.2988    5.7516
15.4202    16.5019    5.7643
15.4659    16.6017    5.7406
15.5125    16.7332    5.7239
15.5311    16.7773    5.6894
15.59      16.9681    5.7443


















































































































































































10.6322    8.0808     6.8098     OP
10.8477    9.7724     7.427      BA
11.6292    15.2158    8.1664     ST
11.8243    20.4773    9.2546     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9.5194     15.5983    10.2017    R_M3D
9.5011     18.0695    9.7053     R_M12
9.8518     20.9529    9.9159     R_MP3
9999       9999       9999       R_PMI
15.2121    9.6197     6.6378     L_PG
9999       9999       9999       L_ZTI
14.0767    15.6186    9.4487     L_M3D
14.3432    18.2774    9.4299     L_M12
13.7253    20.661     10.0436    L_MP3
13.3216    21.4857    9.638      L_PMI
12.2315    21.9107    9.1444     O1
8.0981     14.3049    2.1117     O2
16.0468    11.011     5.3398     O3
10.8562    5.2928     4.2669     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































14.1011    15.667     9.4252     L-ALV
14.2842    15.8653    9.3737
14.3477    16.1236    9.3871
14.3595    16.3812    9.4594
14.3416    16.7009    9.4028
14.3766    17.137     9.3809
14.4346    17.6188    9.3893
14.4921    17.879     9.392
14.3796    18.2159    9.3694
14.3854    18.4881    9.3915
14.3386    18.7447    9.331
14.3014    18.8568    9.392
14.3311    19.0894    9.5187
14.1425    19.4684    9.525
14.1025    19.7678    9.5253
14.0285    20.1533    9.5131
13.8358    20.3615    9.5347
13.8821    20.6064    9.5213
13.8619    20.7401    9.5832
