MNHN       AC A-1439  Tg36stv
1.8187     3.5334     9.8795
1.7613     3.508      9.6863















































































































































































-1.9025    5.8621     9.6104     ROSTRUM
-1.8954    5.8949     9.7965
-1.8963    5.9169     10.0167
-1.8966    5.9162     10.2246
-1.7955    5.9785     10.3878
-1.6557    5.9825     10.4567
-1.4964    5.9622     10.512
-1.3272    5.9848     10.5853
-1.1767    5.9715     10.7187
-1.0622    5.9863     10.9014
-0.9793    6.0001     11.0667
-0.8879    5.992      11.2489
-0.8275    5.9911     11.4041
-0.7886    5.9996     11.5951
-0.7124    5.963      11.7968
-0.6238    5.9642     12.006
-0.4754    5.9957     12.1941
-0.3082    6.0068     12.2996
-0.1294    5.9922     12.3711
0.0083     5.971      12.4653
0.1479     5.9593     12.5939
0.2201     5.983      12.6796
0.338      6.0039     12.7438
0.4237     6.0269     12.7902
0.5613     6.0534     12.8206
0.722      6.0633     12.8092
0.8885     6.1823     12.726
1.031      6.2051     12.5432
1.1911     6.2492     12.3113
1.3492     6.2777     12.1909
1.5056     6.3125     12.0573
1.6054     6.3858     11.9339
1.6897     6.4292     11.8185
1.6677     6.5777     11.805
1.6648     6.559      11.587
1.6534     6.5724     11.3424
1.6709     6.5732     11.1746
1.6853     6.5199     10.9326
1.7374     6.502      10.7636
1.7992     6.4671     10.56
1.9364     6.4934     10.3666
2.1186     6.4921     10.194
2.3082     6.5129     10.0679
2.3749     6.5134     9.9146
2.3888     6.502      9.7762
2.3652     6.5045     9.5331
2.3404     6.5054     9.3601
2.2997     6.5603     9.1726
























































































































































-2.5553    8.243      14.8128    SUPORB
-2.397     8.2185     15.0348
-2.2606    8.1749     15.1715
-2.1539    8.1125     15.3178
-1.9856    7.9466     15.4229
-1.7567    7.7237     15.5332
-1.575     7.5391     15.61
-1.4213    7.3179     15.6718
-1.1719    7.1704     15.7281
-0.886     7.0038     15.739
-0.7088    7.0317     15.7381
-0.5668    7.019      15.7358
-0.3069    7.0173     15.7117
-0.1194    6.9585     15.7002
0.0168     6.9418     15.6598
0.1742     6.9244     15.6279
0.3564     6.8902     15.6103
0.5254     6.8434     15.5881
0.6415     6.8262     15.5714
