FMNH        27189     Tg18stv
8.8994      7.5746      8.1951
8.8265      7.4378      8.142
8.7867      7.3073      8.051
8.7707      7.2868      7.9581
8.9435      7.3122      7.942
9.0451      7.3437      7.9343
8.9876      7.2553      7.7771
8.9615      7.1878      7.6507
8.9063      7.1053      7.5014
8.9001      7.0341      7.4173
8.8722      6.9457      7.2845
8.8225      6.8732      7.1505
8.8138      6.7884      7.006
8.8228      6.7046      6.8661
8.8292      6.628       6.7674
8.8025      6.5398      6.5637
8.671       6.424       6.4116
8.6085      6.4263      6.2033
8.6184      6.493       6.1332
8.583       6.6303      5.9093












































































































































































8.24        10.7012     6.5908      ROSTRUM
8.1709      10.6655     6.8841
8.2613      10.5194     7.0631
8.4471      10.3432     7.2415
8.5568      10.1892     7.3506
8.5994      10.0931     7.5053
8.5728      9.9804      7.7071
8.5333      9.9514      7.9103
8.496       9.866       8.1548
8.4872      9.8224      8.373
8.4758      9.7951      8.5742
8.4471      9.6725      8.7788
8.4966      9.5435      8.9557
8.5767      9.3899      9.1257
8.6376      9.2429      9.3006
8.6675      9.2329      9.3747
8.7217      9.0927      9.5625
8.7882      9.0072      9.65
8.8565      8.8748      9.8107
8.9426      8.7124      9.8999
9.0344      8.6772      9.9281
9.102       8.6237      9.9149
9.2868      8.5042      9.7904
9.4625      8.4249      9.6415
9.559       8.3845      9.5276
9.6331      8.3329      9.4222
9.71        8.2796      9.3043
9.8213      8.2131      9.1404
9.8658      8.1708      9.0445
9.9588      8.1164      8.9372
10.0416     8.086       8.7961
10.1291     8.0706      8.5871
10.1678     8.062       8.364
10.2412     8.0616      8.2018
10.301      8.0838      7.986
10.3517     8.0982      7.7611
10.4217     8.0761      7.5912
10.4876     8.0719      7.4893
10.6027     8.0382      7.3842
10.7139     7.9837      7.2662
10.808      7.9246      7.2206
10.8916     7.8708      7.1547
10.9649     7.8178      7.1058
11.0805     7.7604      7.0708
11.1411     7.7431      6.997
11.2002     7.7822      6.8632
11.2595     7.7895      6.7833

























































































































































7.8505      12.0244     13.3058     SUPORB
7.8991      11.9015     13.5945
7.9112      11.6385     13.8779
7.9703      11.443      14.0189
7.9797      11.1981     14.0685
7.9755      11.0238     14.0642
7.9818      10.8261     14.07
8.0286      10.6116     14.1045
8.0994      10.4432     14.1172
8.1787      10.2208     14.1472
8.258       10.0128     14.1351
8.3134      9.7933      14.1134
8.3276      9.5893      14.0607
8.356       9.3844      13.9938
8.4476      9.1333      13.9401
8.551       8.925       13.8502
8.6936      8.7403      13.7873
8.8371      8.6222      13.7845
8.9548      8.5525      13.8047
9.1939      8.4623      13.8541
9.3019      8.2637      13.8532
9.5171      8.127       13.9181
9.761       8.0304      13.9943
9.8958      8.0176      14.0492
10.0584     7.9659      14.0872
10.1911     7.9478      14.1164
10.3115     7.899       14.1545
10.5006     7.9278      14.2028
10.6663     7.8742      14.2087
10.8612     7.8203      14.2226
11.1153     7.8664      14.2676
11.4303     7.878       14.2754
11.6887     7.9231      14.3159
11.9741     7.8399      14.1333
12.1978     7.8294      14.0019
12.3289     7.8097      13.9307
12.4441     7.7514      13.7421
12.5053     7.7167      13.5681
12.5264     7.715       13.4863
12.599      7.7496      13.3735









































































































































