AMNH       102899     Psmm046z
13.251     14.081     8.5878     IN
15.5903    16.9923    10.7999    BR
18.056     20.0903    7.4637     GL
18.0671    20.1042    7.3821     NA
18.2141    20.2319    6.5843     RH
18.3416    20.38      5.0971     NS
18.4426    20.4997    4.7859     PR
18.7719    20.2191    4.7974     R_PR2
18.2614    19.8581    6.9642     R_PMS
19.2753    17.6191    5.2325     R_ZMI
19.1539    18.3517    5.9328     R_ZMU
17.7874    19.2881    7.2572     R_DA
19.0094    18.5195    8.101      R_MTI
18.9828    18.452     8.2566     R_MTS
19.6466    17.6923    7.2329     R_FMO
19.6881    17.3211    7.5051     R_FMT
17.0551    14.4377    6.6868     R_PO
19.3567    16.5197    5.8876     R_ZTS
18.1163    20.7372    4.7453     L_PR2
17.7472    20.1784    6.6775     L_PMS
15.4345    20.7356    5.1459     L_ZMI
16.269     20.728     5.8857     L_ZMU
17.3214    19.5384    7.1167     L_DA
16.4192    20.631     8.0698     L_MTI
16.3172    20.5649    8.2473     L_MTS
15.4807    21.0728    7.1367     L_FMO
15.0954    21.0028    7.398      L_FMT
13.0242    17.7017    6.4668     L_PO
14.3791    20.4703    5.7294     L_ZTS
12.9592    14.3556    8.797      O1
17.2919    14.482     8.0537     O2
18.8517    18.883     4.9381     O3
14.9491    20.3917    7.1595     O4







































































































































































18.051     20.0664    7.4822     GLRH
18.0591    20.1179    7.3235
18.1048    20.1453    7.2169
18.1501    20.151     7.1035
18.15      20.1698    6.9481
18.18      20.1823    6.8093
18.1809    20.1942    6.7082
18.1968    20.2047    6.6078
18.2017    20.2075    6.5879































































































































































































18.2648    20.226     6.5907     NOSE
18.279     20.1601    6.5707
18.3683    20.0275    6.5243
18.4144    19.8406    6.3734
18.4633    19.757     6.1394
18.5137    19.7239    5.888
18.5345    19.7947    5.6293
18.5654    19.9948    5.4664
18.5582    20.2237    5.3513
18.3535    20.3507    5.1612
18.314     20.4087    5.1519
18.1571    20.4546    5.3356
17.9738    20.449     5.4569
17.7844    20.4345    5.5992
17.703     20.3987    5.9164
17.7659    20.3281    6.1857
17.8846    20.2912    6.4275
18.1424    20.2639    6.5785
18.2189    20.2213    6.5538
18.2609    20.1784    6.5913




















































































































































































18.3416    20.3551    5.1046     NASP-PR
18.4495    20.4282    5.0005
18.4683    20.4813    4.9137
18.442     20.4908    4.8025
18.4555    20.4973    4.7343



































































































































































































18.2874    19.7844    6.8863     R-PM/MAX
18.3129    19.7891    6.7704
18.3573    19.7409    6.678
18.3918    19.7371    6.556
18.4396    19.6702    6.3906
18.4628    19.6144    6.2775
18.5386    19.5503    6.0108
18.5827    19.5472    5.8302
18.6563    19.6089    5.6341
18.7243    19.6457    5.4373
18.786     19.6541    5.2966
18.9149    19.6876    5.0618
18.9792    19.7341    4.857
18.9231    19.741     4.7242


























































































































































































17.6409    20.2269    6.4233     L-PM/MAX
17.5799    20.2435    6.3264
17.5279    20.2543    6.1464
17.5253    20.3145    5.9605
17.5271    20.349     5.862
17.5347    20.4038    5.6808
17.4822    20.4592    5.4858
17.5351    20.6317    5.1696
17.5627    20.6887    5.0925
17.6148    20.7535    4.9379
17.6185    20.7721    4.8617
17.636     20.7626    4.725




























































































































































































18.683     18.4051    4.5989     ROSTRUM
18.7332    18.4425    4.7897
18.7733    18.4846    4.9391
18.781     18.5316    5.0216
18.774     18.6367    5.2431
18.746     18.7084    5.2964
18.7195    18.8261    5.4411
18.6958    18.9595    5.6019
18.6358    19.0888    5.7199
18.5951    19.2046    5.8547
18.502     19.3306    6.032
18.4473    19.4262    6.2061
18.4117    19.5497    6.376
18.3711    19.6415    6.5763
18.3179    19.7368    6.7958
18.2769    19.8656    6.9655
18.241     19.9526    7.0986
18.2031    20.0969    7.2209
18.1177    20.16      7.1535
18.0605    20.1895    7.1275
17.9006    20.2025    6.9757
17.8891    20.2142    6.8839
17.797     20.2298    6.7199
17.6181    20.2686    6.5339
17.4159    20.2777    6.2731
17.2893    20.316     6.0774
17.1478    20.3498    5.9014
16.9693    20.4061    5.6818
16.8126    20.4347    5.4885
16.6448    20.4227    5.2958
16.4668    20.4068    5.0862
16.3537    20.3808    4.8351
16.2871    20.2367    4.5892
16.2826    20.22      4.5034






































































































































































19.598     17.3511    7.5409     SUPORB
19.5777    17.4718    7.6071
19.5634    17.5302    7.6649
19.4647    17.7227    7.8652
19.4107    17.8544    7.9656
19.2913    18.0353    8.092
19.13      18.255     8.2078
18.9879    18.4473    8.2966
18.8698    18.643     8.3146
18.7019    18.8674    8.322
18.506     19.1114    8.3316
18.3415    19.3545    8.2998
18.2025    19.5562    8.2799
18.0803    19.751     8.1864
17.9515    19.8921    8.1303
17.7497    20.0735    8.0747
17.6805    20.0949    8.1658
17.5398    20.1405    8.2272
17.3265    20.1923    8.3104
17.1092    20.2964    8.3287
16.7079    20.4459    8.2698
16.4218    20.5758    8.2401
16.002     20.7247    8.147
15.8255    20.8271    8.0487
15.6841    20.9064    7.9433
15.3478    20.9836    7.6751
15.1777    21.0755    7.4617
15.1248    21.0493    7.3924












































































































































































19.1825    18.3399    5.9618     RORBIT
19.2407    18.2198    6.0159
19.3218    18.1319    6.0474
19.3229    18.0492    6.1141
19.3678    17.9704    6.1999
19.4716    17.8343    6.3857
19.5179    17.7427    6.5968
19.5661    17.7042    6.8097
19.5912    17.6727    7.0106
19.5946    17.6782    7.1105
19.6316    17.7026    7.3052
19.5942    17.7649    7.5194
19.5342    17.8262    7.6602
19.4667    17.9686    7.7798
19.363     18.0899    7.9185
19.2581    18.2156    8.0183
19.1718    18.371     8.0996
19.0497    18.496     8.1645
18.9271    18.6387    8.1716
18.8023    18.8051    8.2397
18.7211    18.9241    8.1939
18.6324    19.0296    8.1584
18.4823    19.2373    8.1765
18.3227    19.4439    8.0665
18.2021    19.6145    7.9906
18.1386    19.6248    7.7056
18.1436    19.6158    7.5293
17.8804    19.3757    7.2782












































































































































































16.2311    20.7336    5.8846     LORBIT
16.0348    20.8335    5.9561
15.8942    20.8805    6.031
15.7937    20.9277    6.1553
15.6575    20.9633    6.3467
15.5333    21.0105    6.707
15.4674    21.0441    7.0129
15.5067    21.0611    7.2386
15.5726    21.0395    7.4195
15.6986    20.9873    7.5669
15.8215    20.9255    7.7156
15.9215    20.8617    7.8169
16.0071    20.8069    7.8868
16.1431    20.7246    7.9661
16.3096    20.6753    8.0245
16.4463    20.6054    8.0417
16.5572    20.5268    8.0572
16.7226    20.4654    8.0507
16.8616    20.327     8.0292
16.9999    20.2292    8.0204
17.1807    20.1673    7.9908
17.3839    20.1063    7.9302
17.5637    20.0307    7.7851
17.5935    20.045     7.5817
17.3755    19.6273    7.2333















































































































































































19.7064    17.3022    7.5074     RTEMFOS
19.7223    17.271     7.4162
19.7368    17.2746    7.3325
19.75      17.2813    7.2212
19.8108    17.2688    6.9776
19.7608    17.3042    6.7793
19.8001    17.3282    6.5687
19.7055    17.3181    6.34
19.613     17.2492    6.1186
19.5653    17.1271    5.947
19.5272    17.002     5.8838
19.5152    16.9148    5.8589
19.4875    16.8101    5.8545
19.4733    16.6532    5.841
19.4224    16.4519    5.8653

























































































































































































15.1856    20.9745    7.357      LTEMFOS
15.1495    21.0117    7.2263
15.135     21.0045    7.0873
15.1558    21.0303    6.896
15.1706    21.0579    6.7268
15.1825    21.0355    6.5687
15.1767    21.0095    6.3886
15.2023    20.9722    6.2361
15.1886    20.9756    6.1257
15.1152    20.8892    5.9736
15.0186    20.7831    5.8848
14.9028    20.7474    5.7821
14.7858    20.6322    5.7454
14.6311    20.5501    5.7181
14.4895    20.4841    5.7151
14.4083    20.4571    5.733
14.3086    20.408     5.7472























































































































































































17.6718    19.761     8.3646     OP
16.8082    18.6434    8.8983     BA
14.4991    15.7527    8.4516     ST
13.5079    14.4843    8.5119     IV
18.4955    16.6674    8.6274     R_PG
18.1098    14.6024    8.471      R_ZTI
16.0078    15.6478    8.9051     R_M3D
15.6174    14.5079    9.0746     R_M12
14.4848    13.6652    8.9428     R_MP3
13.8616    13.6387    8.8168     R_PMI
14.5903    19.8356    8.6979     L_PG
12.6329    18.7967    8.5327     L_ZTI
14.2143    17.0179    8.9058     L_M3D
13.1067    16.3884    9.1064     L_M12
12.5165    15.1676    8.8601     L_MP3
12.6346    14.5751    8.8078     L_PMI
18.2244    21.1066    6.4779     O1
19.1141    16.8855    6.5717     O2
14.7298    13.8819    8.5518     O3
12.5405    17.5747    6.6942     O4




















































































































































































16.1706    13.7349    8.6219     RZYGINF
16.3147    13.7144    8.5892
16.4607    13.7418    8.5767
16.5934    13.7958    8.5943
16.7739    13.9086    8.5818
16.974     13.9425    8.5757
17.1128    14.0484    8.59
17.2474    14.1309    8.5933
17.435     14.1993    8.5818
17.6075    14.254     8.568
17.7882    14.315     8.5418
17.9163    14.3602    8.51
18.0382    14.4696    8.4856
18.1333    14.633     8.473


























































































































































































12.2611    16.7791    8.67       LZYGINF
12.1748    16.922     8.6633
12.1193    17.1114    8.6581
12.1933    17.3133    8.6484
12.2973    17.4833    8.6421
12.433     17.7391    8.6336
12.454     17.9534    8.6438
12.5107    18.1302    8.6309
12.5162    18.3378    8.6356
12.5338    18.5467    8.6064
12.5309    18.6773    8.5678
12.5933    18.8233    8.5362
12.6718    18.8486    8.5357



























































































































































































15.9966    15.6469    8.8751     R-ALV
16.0297    15.551     8.8846
15.9967    15.377     8.8736
15.9887    15.2693    8.8585
15.9216    15.0846    8.8806
15.8825    14.9656    8.9069
15.7467    14.7788    8.934
15.7082    14.6593    8.9415
15.6558    14.5201    9.0074
15.5868    14.4491    9.0922
15.4115    14.1848    9.1467
15.2423    14.06      9.1813
15.0978    14.0317    9.0705
14.9932    13.9117    9.0467
14.7981    13.804     8.9956
14.6592    13.708     8.9471
14.4849    13.6347    8.8912
14.4521    13.653     8.9053






















































































































































































14.1894    17.0121    8.8687     L-ALV
14.0076    17.0332    8.8874
13.8897    16.9245    8.863
13.7506    16.8828    8.8839
13.6202    16.7906    8.9215
13.5697    16.7543    8.9889
13.4153    16.6807    9.0182
13.3736    16.6211    9.0671
13.2646    16.5242    9.0829
13.1412    16.4215    9.1395
13.0944    16.3337    9.1536
12.9152    16.1157    9.1315
