NMNH       122634     See7stv
0.8329     3.0585     3.4084
0.9434     3.036      3.2337
1.0675     3.0417     3.0457
1.171      3.0374     2.8399
1.3147     3.0532     2.562
1.4499     3.0756     2.3664
1.5943     3.0973     2.1978
1.6975     3.1124     2.0616
1.7993     3.0677     1.8809
1.7962     3.0164     1.6446












































































































































































-2.8726    4.5404     4.7952     SUPORB
-2.7626    4.5009     4.9956
-2.6621    4.5073     5.142
-2.5279    4.4044     5.2656
-2.2877    4.2371     5.3954
-2.0907    4.1381     5.4444
-1.7394    3.9917     5.5594
-1.4269    3.8778     5.6747
-1.2151    3.7796     5.6972
-1.0385    3.5872     5.6844
-0.662     3.4073     5.6433
-0.4116    3.3226     5.6107
-0.1828    3.2025     5.551
-0.0206    3.1982     5.5207
0.149      3.189      5.4985
0.4246     3.1966     5.5584
0.6784     3.2145     5.618
1.0349     3.2882     5.701
1.2404     3.4001     5.7334
1.4791     3.4614     5.7461
1.7492     3.5475     5.7317
1.9709     3.5737     5.6721
2.3517     3.7076     5.5338
2.6717     3.8121     5.4214
2.9183     3.9362     5.3364
3.1912     4.0509     5.1382
3.3343     4.1534     4.9851
3.3756     4.126      4.803












































































































































































-1.2966    3.6401     3.1514     RORBIT
-1.5248    3.6615     3.1468
-1.7452    3.7107     3.1368
-1.951     3.7935     3.2336
-2.1292    3.8416     3.3519
-2.2884    3.8859     3.5366
-2.3978    3.9278     3.6921
-2.4961    3.9762     3.8889
-2.5163    4.0229     4.0663
-2.525     4.0313     4.2994
-2.5152    4.0423     4.4905
-2.4605    4.0207     4.6828
-2.3263    3.9731     4.8862
-2.1926    3.9542     5.0164
-2.0285    3.9143     5.1327
-1.798     3.8147     5.2439
-1.5768    3.7193     5.3323
-1.3061    3.573      5.3778
-1.021     3.4628     5.3468
-0.7753    3.4096     5.2699
-0.5991    3.3226     5.2398
-0.4329    3.2724     5.1038
-0.2669    3.407      4.6238
-0.2527    3.6587     4.4299

















































































































































