NMNH       268887     Rpr3stv
0.627      14.4919    6.8022     IN
0.4682     10.9895    8.8401     BR
0.486      4.6972     7.0746     GL
0.4613     4.6838     6.942      NA
0.3954     4.7413     5.5859     RH
0.4521     3.1902     3.8248     NS
0.444      2.4255     2.8941     PR
-0.1386    2.5074     2.9193     R_PR2
0.254      4.6739     6.9088     R_PMS
-2.5839    5.6112     3.6161     R_ZMI
-1.8667    4.902      5.0659     R_ZMU
-0.3097    5.1679     6.2548     R_DA
-1.6953    5.185      7.4644     R_MTI
-1.7398    5.3598     7.9719     R_MTS
-3.0838    5.5493     6.3857     R_FMO
-3.4738    6.161      6.814      R_FMT
-3.0967    10.9824    4.4478     R_PO
-4.1144    6.8452     4.2455     R_ZTS
1.0219     2.4547     2.8553     L_PR2
0.9679     4.7061     6.6086     L_PMS
3.6471     5.4993     3.7147     L_ZMI
2.7759     4.7942     5.0451     L_ZMU
1.3273     5.0959     6.1666     L_DA
2.3379     5.0524     7.371      L_MTI
2.3899     5.2342     7.9446     L_MTS
4.1128     5.4311     6.3601     L_FMO
4.5462     6.111      6.8161     L_FMT
4.2471     10.7739    4.4289     L_PO
5.0514     6.5174     4.3109     L_ZTS
0.2011     2.1854     2.8649     O1
3.7074     6.4772     7.7787     O2
-4.3513    9.1044     3.9775     O3
1.1945     14.13      6.7189     O4







































































































































































0.5077     4.6901     7.0763     GLRH
0.4701     4.6633     6.8657
0.4881     4.6389     6.6587
0.4567     4.6217     6.454
0.4652     4.6345     6.2983
0.4842     4.6558     6.0619
0.4752     4.6696     5.8972
0.4852     4.6764     5.7726
0.4763     4.7246     5.6143































































































































































































0.4767     4.7582     5.593      NOSE
0.3152     4.7303     5.6278
0.1951     4.7563     5.6614
0.0464     4.7998     5.622
-0.0425    4.7982     5.4507
-0.1405    4.7438     5.2805
-0.2249    4.6604     5.0487
-0.2629    4.6127     4.8837
-0.2584    4.5277     4.7228
-0.2719    4.4042     4.5864
-0.2804    4.0654     4.3935
-0.2124    3.8323     4.2418
