AMNH       103362     scc7cs.xls
10.7254    12.9666    -6.5216    IN
8.9148     10.7159    -9.0629    BR
5.7511     7.1084     -8.3576    GL
5.6324     7.0471     -8.132     NA
5.1267     6.5329     -6.6611    RH
4.5896     5.9362     -5.1702    NS
4.1758     5.5187     -4.7052    PR
4.551      5.2754     -4.6183    R_PR2
5.4635     6.766      -7.3114    R_PMS
7.6971     5.7561     -5.1079    R_ZMI
6.5407     6.4533     -6.5083    R_ZMU
6.0832     7.1371     -7.9028    R_DA
7.1567     6.5245     -8.4733    R_MTI
7.3386     6.7204     -8.9883    R_MTS
8.1351     5.9957     -7.4907    R_FMO
8.7848     6.1821     -7.5486    R_FMT
10.6127    9.019      -5.3363    R_PO
9.2528     6.1792     -5.7401    R_ZTS
3.9106     5.8824     -4.5825    L_PR2
5.3432     6.9402     -7.507     L_PMS
3.8764     8.9315     -5.1935    L_ZMI
4.7872     8.0191     -6.4688    L_ZMU
5.5429     7.4689     -7.7681    L_DA
4.9829     8.6444     -8.5446    L_MTI
5.1348     8.809      -9.0053    L_MTS
4.1405     9.4156     -7.6373    L_FMO
4.1521     10.0083    -7.7059    L_FMT
6.5357     12.3075    -5.4464    L_PO
4.0641     10.5479    -5.9799    L_ZTS
3.8807     7.2343     -5.0468    O1
3.7927     9.3674     -6.2234    O2
6.7817     12.6628    -6.5901    O3
11.03      11.9404    -7.4798    O4







































































































































































5.7388     7.1512     -8.3521    GLRH
5.6603     7.0918     -8.196
5.5568     6.9909     -8.0293
5.4795     6.9571     -7.8377
5.3866     6.8332     -7.5201
5.3268     6.7498     -7.3158
5.2631     6.6713     -7.0693
5.173      6.5719     -6.8791
5.1308     6.528      -6.7342
5.1067     6.5107     -6.6634






























































































































































































5.1503     6.59       -6.6628    NOSE
5.2822     6.4672     -6.6157
5.323      6.3551     -6.4279
5.3628     6.2195     -6.2902
5.3659     6.137      -6.0682
5.3837     6.0234     -5.8086
5.2589     5.9084     -5.6129
5.0754     5.8076     -5.4637
4.8878     5.8135     -5.3737
4.7174     5.8498     -5.2583
4.5944     5.9538     -5.1943
4.4731     6.0614     -5.2607
4.4254     6.2054     -5.3851
4.4022     6.463      -5.4873
4.418      6.682      -5.6979
4.5809     6.8004     -5.9747
4.7778     6.8223     -6.2014
4.9572     6.7795     -6.4716
5.0321     6.7402     -6.6139
5.1004     6.6145     -6.6684




















































































































































































4.6056     5.9546     -5.1691    NASP-PR
4.4789     5.8409     -5.1384
4.3693     5.6873     -5.0948
4.2539     5.5767     -4.9683
4.2178     5.5353     -4.865
4.1858     5.5226     -4.719


































































































































































































5.4574     6.7513     -7.3158    R-PM/MAX
5.5221     6.6637     -7.1494
5.4956     6.5349     -6.871
5.4666     6.4233     -6.6248
5.4522     6.3051     -6.425
5.4476     6.2168     -6.2285
5.4687     6.0733     -6.0361
5.4779     5.9277     -5.7936
5.4666     5.7608     -5.6138
5.4115     5.6196     -5.4146
5.3431     5.4359     -5.2014
5.2865     5.2532     -5.0314
5.1824     5.1297     -4.8701
5.1132     5.136      -4.7512
5.0243     5.2877     -4.5806

























































































































































































5.3425     6.9138     -7.5123    L-PM/MAX
5.2193     6.9661     -7.3657
5.1352     6.9173     -7.1757
5.0423     6.9044     -6.9851
4.9469     6.887      -6.7441
4.8341     6.8823     -6.5243
4.7288     6.8745     -6.3063
4.6101     6.8847     -6.1173
4.4768     6.8911     -5.9348
4.2594     6.8273     -5.7011
4.1154     6.7493     -5.5311
3.9731     6.6735     -5.3388
3.8154     6.5743     -5.1719
3.6699     6.4616     -5.0481
3.6145     6.3715     -4.8534
3.7004     6.3332     -4.7305
























































































































































































6.4493     5.7506     -4.2679    ROSTRUM
6.4365     5.6612     -4.8034
6.3143     5.7558     -5.3516
6.1209     6.0247     -5.8882
5.9186     6.1929     -6.1091
5.716      6.4162     -6.4723
5.5132     6.5654     -6.9251
5.3189     6.8003     -7.2255
5.0238     7.0908     -6.9162
4.8422     7.1849     -6.5502
4.6593     7.3502     -6.2657
4.362      7.5343     -5.911
4.1653     7.6209     -5.6015
4.0353     7.7234     -5.1924
4.0281     7.7715     -4.7409
4.0692     7.8027     -4.3803
























































































































































































8.7136     6.0329     -7.5752    SUPORB
8.572      6.1192     -8.0504
8.3238     6.1889     -8.4282
7.9729     6.3066     -8.7596
7.6427     6.4599     -8.946
7.3614     6.6265     -9.0115
6.9511     6.8552     -9.0928
6.5622     7.0111     -9.0886
6.2189     7.2475     -9.0009
5.989      7.3693     -8.9531
5.8078     7.6509     -9.03
5.5378     7.9434     -9.1488
5.3693     8.2171     -9.1641
5.2375     8.6583     -9.1116
5.0662     8.9589     -9.0143
4.7996     9.2405     -8.9387
4.6422     9.4814     -8.7233
4.4932     9.6612     -8.4634
4.3237     9.8379     -8.2155
4.1752     9.9144     -8.0487
4.1324     9.9929     -7.8444



















































































































































































6.551      6.4578     -6.4814    RORBIT
6.7505     6.3307     -6.4438
7.0513     6.1988     -6.4394
7.3437     6.1103     -6.4874
7.6574     6.0461     -6.6798
7.8636     6.0553     -6.9257
8.0226     6.1172     -7.2589
8.1062     6.0847     -7.5269
8.0332     6.0391     -7.9162
7.9297     6.1984     -8.0048
7.7534     6.3349     -8.1714
7.4597     6.506      -8.3354
7.1686     6.6539     -8.4098
6.9263     6.8035     -8.493
6.6453     6.9411     -8.5456
6.4775     7.0599     -8.4612
6.2079     7.1159     -8.2426
6.0694     7.1399     -8.0011
6.0145     7.1435     -7.8602





















































































































































































4.7401     8.0544     -6.4555    LORBIT
4.5367     8.239      -6.4509
4.3597     8.4594     -6.4974
4.2143     8.869      -6.7217
4.1685     9.1318     -6.9477
4.2212     9.2799     -7.2417
4.2287     9.398      -7.6061
4.269      9.339      -7.8637
4.3719     9.283      -8.1555
4.628      8.998      -8.4355
4.8684     8.7082     -8.5589
5.0448     8.4909     -8.5984
5.2561     8.248      -8.5687
5.4373     8.0473     -8.5067
5.5684     7.8278     -8.2984
5.5672     7.6678     -8.08
5.5544     7.5451     -7.8887
5.5394     7.5155     -7.7516






















































































































































































8.711      6.2092     -7.56      RTEMFOS
8.7427     6.0084     -7.2816
8.6983     5.9464     -6.9967
8.5883     5.8491     -6.7487
8.5967     5.7861     -6.573
8.6123     5.7774     -6.3214
8.6937     5.8064     -6.0904
8.8694     5.8703     -5.9016
9.0683     5.979      -5.8701
9.183      6.0019     -5.8659






























































































































































































4.0235     10.0078    -7.6194    LTEMFOS
3.9886     9.9629     -7.2898
3.9128     9.8759     -6.9321
3.8333     9.8843     -6.6517
3.8152     9.9348     -6.3253
3.8025     10.0467    -6.1162
3.8801     10.2262    -5.9807
3.9918     10.4481    -5.9814
4.0275     10.5216    -5.9756































































































































































































4.0368     5.1729     -7.8051    OP
4.9868     6.3422     -8.1742    BA
7.2733     9.1439     -7.1771    ST
8.6665     10.9485    -7.2872    IV
7.3063     5.0216     -7.8113    R_PG
9.1044     5.7965     -7.1782    R_ZTI
8.1105     8.1083     -7.8962    R_M3D
9.2678     9.0317     -8.1216    R_M12
10.0561    10.4741    -7.6654    R_MP3
9.772      11.0405    -7.4178    R_PMI
3.3233     8.2407     -7.8299    L_PG
3.6102     10.2566    -7.1358    L_ZTI
5.9942     9.6845     -7.8024    L_M3D
6.6565     10.9325    -8.0083    L_M12
7.867      12.099     -7.554     L_MP3
8.4933     12.0241    -7.3735    L_PMI
7.4654     11.7363    -7.0168    O1
5.2821     11.3969    -6.0645    O2
2.5878     7.8137     -6.1752    O3
4.0451     3.8902     -5.4475    O4




















































































































































































9.6584     8.3787     -7.2481    RZYGINF
9.754      8.0677     -7.1998
9.7622     7.7329     -7.2077
9.713      7.4468     -7.1776
9.6637     7.1172     -7.1756
9.5943     6.7955     -7.1611
9.4935     6.4964     -7.18
9.352      6.2436     -7.2304
9.2054     5.955      -7.24
9.1478     5.8775     -7.185


































































































































































