NMNH       122172     See11stv
-0.3826    14.3537    7.102      IN
-0.6272    10.596     8.8521     BR
-0.3382    5.5109     6.9161     GL
-0.2717    5.394      6.4815     NA
-0.1565    4.8551     5.4687     RH
0.014      3.8825     3.452      NS
0.0612     3.4082     2.6098     PR
-0.4589    3.4074     2.6203     R_PR2
-0.5403    5.4211     6.0055     R_PMS
-3.0486    6.6413     3.682      R_ZMI
-1.9813    6.2553     4.6905     R_ZMU
-0.8206    6.0256     6.2869     R_DA
-2.1284    6.0665     6.9024     R_MTI
-2.0132    6.0278     7.3578     R_MTS
-3.303     6.7528     6.0056     R_FMO
-3.9431    7.3457     6.2667     R_FMT
-3.236     11.6794    4.7197     R_PO
-4.4295    7.8548     4.1244     R_ZTS
0.6183     3.4481     2.7307     L_PR2
0.0732     5.4187     6.0514     L_PMS
2.6442     6.7363     4.0628     L_ZMI
1.578      6.3284     4.981      L_ZMU
0.2865     6.0966     6.0463     L_DA
1.3463     5.9975     7.1916     L_MTI
1.2761     6.1997     7.6075     L_MTS
2.83       6.8544     6.3391     L_FMO
3.3295     7.3934     6.8661     L_FMT
2.8238     11.8914    5.3815     L_PO
4.171      7.9894     4.7901     L_ZTS
0.92       3.9082     3.3493     O1
-3.5558    7.4258     6.897      O2
4.3794     9.7553     4.8255     O3
-1.1107    14.2796    6.8243     O4







































































































































































-0.317     5.4669     6.8685     GLRH
-0.3016    5.4482     6.7484
-0.2936    5.4615     6.632
-0.2845    5.4036     6.4704
-0.2523    5.3488     6.2564
-0.2058    5.2171     6.0194
-0.2152    5.1282     5.8803
-0.2201    5.0221     5.7494
-0.1996    4.9262     5.6367
