FMNH       27039      Tg12stv




































































7.766      7.2958     8.9102     L-PM/MAX
7.7698     7.1826     8.7994
7.7178     7.1121     8.6759
7.6507     6.9901     8.5619
7.6117     6.8401     8.4464
7.5598     6.7894     8.3227
7.5123     6.6917     8.2637
7.4612     6.5632     8.175
7.3612     6.46       8.0974
7.3211     6.3689     8.0293
7.3012     6.2628     7.9466
7.4423     6.2343     7.9306
7.5319     6.2771     7.9573
7.5045     6.1362     7.7837
7.4904     6.0593     7.6358
7.4539     5.9666     7.4877
7.4381     5.886      7.2987
7.3725     5.7884     7.1293
7.3271     5.6257     6.8937
7.3277     5.5147     6.7877
7.3439     5.4033     6.6626
7.3349     5.2131     6.4537
7.3363     5.1075     6.2428
7.3316     5.0723     6.0188
7.3038     5.1425     5.8742
7.2722     5.2158     5.707
7.2442     5.3134     5.5781













































































































































































7.5368     10.739     6.1601     ROSTRUM
7.4496     10.7165    6.5393
7.3777     10.709     6.7112
7.4144     10.677     6.907
7.4956     10.569     6.9705
7.6269     10.3797    7.0727
7.7059     10.2506    7.2428
7.715      10.1061    7.5383
7.693      10.0263    7.754
7.6435     9.9938     7.9832
7.6447     9.9012     8.1733
7.635      9.8388     8.3151
7.6059     9.7276     8.5225
7.5777     9.6205     8.6874
7.5421     9.577      8.8303
7.4887     9.5691     8.9625
7.4111     9.5323     9.0827
7.3362     9.5186     9.2241
7.2717     9.45       9.4042
7.2695     9.3699     9.5007
7.3294     9.2301     9.6135
7.409      9.1411     9.7155
7.4775     9.048      9.7603
7.5361     8.9222     9.7879
7.5892     8.8182     9.8201
7.6236     8.6984     9.8815
7.7112     8.5904     9.9675
7.7859     8.4516     10.0245
7.9248     8.331      10.0526
8.0419     8.2175     9.9898
8.1482     8.1145     9.9009
8.2827     8.0465     9.8276
8.4148     7.9858     9.8164
8.527      7.905      9.7839
8.6935     7.7653     9.8009
8.7855     7.7079     9.7848
8.9059     7.6236     9.704
9.0314     7.6381     9.5612
9.095      7.6942     9.3596
9.1601     7.7705     9.1577
9.2107     7.8055     8.9781
9.264      7.8159     8.7724
9.4531     7.7664     8.5013
9.6144     7.7005     8.3031
9.764      7.676      8.159
9.8913     7.672      7.9325
10.1085    7.6028     7.7197
10.2374    7.5129     7.5733
10.3586    7.4335     7.519
10.5028    7.3357     7.4202
10.6234    7.2716     7.3843
10.7164    7.235      7.3149
10.7577    7.2602     7.1447
10.7662    7.276      6.906
10.7996    7.3121     6.7873
10.8373    7.3344     6.6703





























































































































