MNHN       1969.45    Tg28stv
1.5063     3.6432     7.1868
1.6132     3.5119     6.9602
1.6952     3.3285     6.6424
1.6554     3.2428     6.4249
1.6574     3.2549     6.2712
1.5303     3.2063     6.1464




















































































































































































-2.1914    6.6855     6.0387     ROSTRUM
-2.1927    6.699      6.2504
-2.1674    6.6933     6.4624
-2.103     6.7285     6.6364
-1.9906    6.7341     6.7484
-1.837     6.7092     6.8433
-1.6772    6.7188     6.955
-1.5259    6.6844     7.1272
-1.3996    6.5973     7.3302
-1.3485    6.6428     7.5182
-1.2847    6.6476     7.7627
-1.2152    6.6104     7.9506
-1.1686    6.6173     8.1476
-1.1165    6.6051     8.442
-1.0774    6.6158     8.7049
-1.0929    6.5763     8.8789
-1.105     6.5882     8.9957
-1.1299    6.5793     9.1573
-1.1018    6.5385     9.3043
-1.0569    6.5372     9.4126
-0.9377    6.5218     9.5612
-0.8411    6.5185     9.6348
-0.7049    6.5204     9.7172
-0.5857    6.514      9.7835
-0.5063    6.5133     9.8454
-0.4242    6.5058     9.9119
-0.3081    6.475      10.0156
-0.171     6.4742     10.1061
-0.0296    6.4722     10.1729
0.1796     6.5018     10.2074
0.3189     6.4801     10.1401
0.4667     6.4672     10.0119
0.5853     6.5129     9.9419
0.7164     6.5307     9.8348
0.8639     6.5374     9.7093
1.0159     6.5236     9.5935
1.1407     6.5117     9.3651
1.2153     6.5483     9.187
1.2385     6.6758     8.8712
1.24       6.7583     8.6678
1.3003     6.8272     8.4158
1.403      6.876      8.0852
1.4439     6.8592     7.8303
1.5461     6.8025     7.4477
1.6254     6.766      7.2631
1.8037     6.8201     7.0786
1.9804     6.8334     6.9752
2.1743     6.8169     6.8628
2.2882     6.8295     6.7509
2.3406     6.8492     6.5208
2.3676     6.8258     6.3507
2.3817     6.8468     6.1795
2.3811     6.8866     6.0634
2.3735     6.8993     5.9682


















































































































































-2.9117    8.7628     12.5121    SUPORB
-2.7844    8.7745     12.6995
-2.6199    8.5805     12.9596
-2.519     8.3708     13.0128
-2.4235    8.2413     13.053
-2.1916    8.0824     13.1575
-2.0466    8.0281     13.2365
-1.8772    7.9946     13.2578
-1.6689    7.8637     13.2856
-1.4491    7.7485     13.3067
-1.3257    7.6913     13.3115
-1.1269    7.592      13.3248
-0.9742    7.5673     13.2976
-0.8087    7.5285     13.2877
-0.5787    7.5037     13.2683
-0.421     7.4372     13.2247
-0.2213    7.3554     13.1897
0.0171     7.335      13.191
0.1264     7.3457     13.1754
0.258      7.3954     13.2114
0.4332     7.4131     13.2163
0.5404     7.4308     13.2314
0.789      7.4382     13.2423
0.9503     7.4554     13.2599
1.1361     7.5093     13.2847
1.4219     7.594      13.3079
1.633      7.6996     13.3284
1.8163     7.7774     13.3139
1.9719     7.8958     13.2907
2.0391     7.9703     13.2974
2.1959     8.0718     13.2493
2.3261     8.2759     13.2093
2.4436     8.4146     13.15
2.5207     8.5274     13.0898
2.6063     8.653      13.0519
2.7242     8.7548     12.9635
2.7976     8.8738     12.8739
2.8119     8.946      12.8202
2.8171     9.0429     12.7264

































































































































































-1.5938    7.4214     10.7488    RORBIT
-1.7744    7.4984     10.7836
-1.9263    7.5448     10.8225
-2.1125    7.6737     10.9332
-2.2975    7.7771     11.0504
-2.4355    7.8956     11.2432
-2.5279    7.9756     11.3927
-2.6186    8.1026     11.6384
-2.6359    8.1656     11.9425
-2.6933    8.192      12.1985
-2.6055    8.1349     12.3211
-2.5018    8.001      12.5366
-2.3419    7.8111     12.6883
-2.1467    7.622      12.7374
-1.8931    7.4241     12.8132
-1.5733    7.2162     12.8766
-1.357     7.1964     12.7935
-1.0989    7.1312     12.8529
-0.8573    7.1933     12.7914
-0.6256    7.2797     12.7392
-0.4473    7.3416     12.6159
-0.2458    7.2972     12.4117
-0.3103    7.3856     12.1595
-0.2954    7.4182     11.9958
-0.2809    7.4392     11.8305
-0.2536    7.394      11.7694
-0.2615    7.3824     11.6834













































































































































































1.7671     7.5063     10.7351    LORBIT
1.9812     7.6161     10.8136
2.2093     7.723      10.8628
2.344      7.8032     10.9515
2.4512     7.9094     11.0614
2.5361     8.0306     11.1976
2.6335     8.2102     11.4156
2.7905     8.2565     11.6269
2.815      8.3084     11.785
2.8367     8.3439     11.9119
2.8448     8.3619     12.2366
2.821      8.3483     12.3888
2.6626     8.1513     12.5679
2.5305     7.9797     12.6759
2.2892     7.6843     12.8291
2.0935     7.5987     12.8017
1.8214     7.3663     12.8507
1.5583     7.2691     12.8096
1.3453     7.2847     12.7569
1.0298     7.3605     12.7381
0.6556     7.4293     12.5651
0.5514     7.4833     12.2106
0.5069     7.4716     12.05
0.4573     7.4324     11.8793
0.4739     7.3985     11.6881















































































































































































-2.9049    8.8513     12.4125    RTEMFOS
-2.9523    8.8578     12.3231
-3.0422    8.8196     12.1643
-3.1333    8.7949     11.9986
-3.2179    8.7408     11.8107
-3.2743    8.6863     11.5855
-3.3044    8.6536     11.3804
-3.3553    8.5941     11.1988
-3.3891    8.5462     11.0669
-3.3926    8.495      10.9277
-3.4326    8.4263     10.7431
-3.4716    8.3827     10.5472
-3.5055    8.3296     10.3911
-3.5493    8.3107     10.2555
-3.5918    8.3009     10.115
-3.6692    8.3066     9.884
-3.776     8.3069     9.7072
-3.8783    8.3545     9.5599
-3.9827    8.4292     9.4383
-4.1016    8.5648     9.3494
-4.1806    8.7446     9.3017
-4.3167    8.9554     9.2839
-4.3449    9.0831     9.2994
-4.4056    9.2548     9.311
















































































































































































2.8192     9.1006     12.6708    LTEMFOS
2.9371     9.1213     12.546
3.0279     9.1457     12.3893
3.1091     9.0867     12.185
3.1706     9.0222     12.0104
3.2283     8.9843     11.8894
3.2992     8.9494     11.7071
3.356      8.8746     11.5007
3.3988     8.8084     11.3575
3.4055     8.7899     11.2614
3.4446     8.7302     11.1102
3.481      8.68       10.9648
3.5013     8.6404     10.8094
3.5184     8.6158     10.6944
3.5518     8.5865     10.5612
3.5525     8.58       10.4239
3.5973     8.5425     10.3082
3.6743     8.503      10.1762
3.7231     8.513      10.0214
3.7458     8.5453     9.8358
3.822      8.6007     9.6781
3.9219     8.6043     9.6254
4.0074     8.7263     9.4763
4.0957     8.8805     9.3737
4.2637     9.0725     9.3468
4.4412     9.3951     9.3645
4.4763     9.5586     9.3807













































































































































































0.0692     5.601      10.9373    OP
0.1115     7.4608     11.1197    BA
0.2103     11.6769    10.6932    ST
0.2299     16.3927    11.0374    IV
-3.5193    7.4626     10.8429    R_PG
-4.9759    9.6292     10.0033    R_ZTI
-1.4501    11.7289    11.6529    R_M3D
-1.9767    14.1551    12.0723    R_M12
-1.5326    16.5813    11.7894    R_MP3
-0.8514    17.8307    11.7012    R_PMI
3.6689     7.2982     10.6352    L_PG
5.1036     9.3103     9.7328     L_ZTI
1.9594     11.6418    11.6042    L_M3D
2.4044     14.0259    11.9726    L_M12
2.1177     16.4235    11.5643    L_MP3
1.3442     17.5068    11.3059    L_PMI
-0.1075    18.7551    11.7604    O1
-2.705     10.8742    5.7242     O2
5.1907     9.1123     9.2123     O3
-1.425     3.7971     8.4173     O4




















































































































































































-3.246     12.4996    10.277     RZYGINF
-3.4064    12.3263    10.1851
-3.6202    12.1583    10.0638
-3.7782    11.9672    10.0318
-3.9933    11.7478    10.0308
-4.1163    11.399     10.0053
-4.2742    11.2294    9.9647
-4.3362    11.0397    9.9573
-4.4055    10.8071    9.9785
-4.4801    10.5648    9.9921
-4.5407    10.3554    10.0354
-4.6495    10.1148    10.0562
-4.6752    9.8604     10.095
-4.8063    9.7793     10.0782
-4.9105    9.6374     10.0514
-4.9345    9.5889     10.0425
























































































































































































3.7894     12.4262    10.0496    LZYGINF
3.9124     12.1275    9.9345
4.0782     12.0192    9.872
4.2322     11.9323    9.8356
4.3757     11.7809    9.7877
4.5108     11.5738    9.7689
4.5209     11.3194    9.8055
4.5818     11.0766    9.7767
4.6062     10.8612    9.7701
4.7212     10.5578    9.7634
4.7563     10.3372    9.7689
4.811      10.1184    9.7511
4.8696     9.9335     9.751
4.9474     9.7265     9.75
5.0123     9.5821     9.7653
5.0822     9.5024     9.7539
5.1743     9.3976     9.7204























































































































































































-1.2984    11.6481    11.5998    R-ALV
-1.6247    11.9229    11.8128
-1.8216    12.3726    12.0028
-1.9358    12.8403    12.1454
-1.9731    13.149     12.1158
-1.9911    13.3929    12.1093
-2.0254    13.7869    12.0576
-1.9748    14.0842    12.0925
-1.9962    14.3236    12.0296
-1.9608    14.6145    12.0238
-1.9474    14.8701    11.9542
-1.8741    15.1027    12.0095
-1.792     15.3279    11.9781
-1.764     15.5673    11.9076
-1.6796    15.8278    11.9613
-1.6622    16.0602    11.9182
-1.6273    16.2753    11.8687
-1.6264    16.396     11.8064
-1.5169    16.6382    11.766





















































































































































































1.8774     11.7319    11.7076    L-ALV
2.1183     12.0017    11.6796
2.2916     12.3719    11.784
2.3694     12.6171    11.8787
2.422      12.9155    11.9393
2.4818     13.193     11.8817
2.4945     13.4406    11.8719
2.5202     13.6835    11.8568
2.4926     14.1363    11.8423
2.4909     14.4111    11.8312
2.4756     14.6794    11.8096
2.3931     15.0251    11.8332
2.2641     15.2775    11.851
2.2172     15.5273    11.8208
2.1851     15.7763    11.8034
2.1641     16.0389    11.6744
2.1247     16.2565    11.655
2.0327     16.4448    11.6348
