AMNH       102204     Psmm052z
14.5912    13.464     9.1263     IN
17.3893    16.5782    10.3448    BR
19.6309    19.2375    7.3057     GL
19.6772    19.27      7.154      NA
19.696     19.2888    6.3279     RH
19.8633    19.5364    4.8071     NS
20.0299    19.7702    4.3855     PR
20.3065    19.3739    4.4673     R_PR2
19.8154    19.0241    6.613      R_PMS
20.843     16.6848    4.7625     R_ZMI
20.654     17.6298    5.6005     R_ZMU
19.2803    18.2737    7.0408     R_DA
20.2863    17.758     7.9864     R_MTI
20.2626    17.6769    8.3256     R_MTS
21.0078    16.7085    7.1936     R_FMO
21.0683    16.4011    7.5389     R_FMT
18.3178    13.6054    6.3642     R_PO
20.7867    15.1144    5.5419     R_ZTS
19.6295    20.013     4.3939     L_PR2
19.4142    19.338     6.7761     L_PMS
16.886     20.2898    4.8688     L_ZMI
17.89      20.1533    5.7546     L_ZMU
18.8413    18.8425    7.1049     L_DA
18.0418    19.7644    8.045      L_MTI
17.9751    19.6992    8.3475     L_MTS
17.0378    20.3848    7.214      L_FMO
16.697     20.2675    7.698      L_FMT
14.2451    17.5016    6.4041     L_PO
15.6374    20.1871    5.6745     L_ZTS
14.3925    13.8374    9.3206     O1
18.2841    13.4989    7.9602     O2
20.4826    18.3582    4.5744     O3
16.7858    19.5708    7.9669     O4







































































































































































19.6599    19.2083    7.3176     GLRH
19.6796    19.2571    7.1976
19.6839    19.2718    7.1
19.6922    19.2921    6.9552
19.6886    19.3051    6.7794
19.7122    19.3223    6.67
19.6783    19.3192    6.5066
19.6922    19.3129    6.4074
19.6267    19.3032    6.294








































































































































































