UWMA       SWP12      Pxs1stv
10.0404    15.75      6.5046
10.2149    15.7076    6.4478
10.6128    15.7083    6.119
10.7698    15.6965    5.9594
11.0042    15.6996    5.7856
11.2888    15.6808    5.5445
11.4419    15.7404    5.3333
11.5522    15.7232    5.1156
11.6232    15.7178    4.8695
11.7194    15.7829    4.5971
11.8202    15.8828    4.438
11.9503    15.9133    4.2641
12.1031    15.9799    4.0819
12.2801    16.021     3.9107
12.3494    16.0559    3.8254
12.4058    16.0778    3.6689
12.4517    16.1148    3.5421
12.4619    16.0771    3.303

































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9.3274     12.7757    5.0899     OP
9.1964     14.0434    5.8894     BA
9.5446     18.351     7.3185     ST
9.8452     21.7534    8.6767     IV
5.7432     15.0033    5.0747     R_PG
9999       9999       9999       R_ZTI
7.2265     18.5017    8.1809     R_M3D
7.2318     20.5083    8.8722     R_M12
8.0336     22.2246    9.5663     R_MP3
8.5821     22.8889    9.7325     R_PMI
12.6209    14.4325    5.0127     L_PG
14.3521    15.994     5.3297     L_ZTI
11.7925    18.1139    8.2438     L_M3D
12.1998    20.1344    8.8531     L_M12
11.6131    21.8322    9.7132     L_MP3
11.0451    22.8542    9.7874     L_PMI
8.6906     23.1521    8.7607     O1
13.7341    18.6791    6.039      O2
6.2492     18.5449    3.5577     O3
10.8772    11.4564    2.7276     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































7.147      18.3931    8.0543     R-ALV
6.9914     18.8016    8.2815
6.9607     19.0236    8.3485
6.9784     19.3425    8.4188
7.0257     19.729     8.491
7.0716     20.0404    8.5657
7.1342     20.289     8.6665
7.2608     20.6266    8.8267
7.3784     20.8896    8.964
7.5116     21.2399    9.1088
7.6298     21.4593    9.2218
7.725      21.6546    9.2805
7.7747     21.8381    9.3091
7.8878     22.0755    9.3992
7.9647     22.1651    9.4785
8.024      22.2728    9.5086
























































































































































































11.6334    18.0658    8.2342     L-ALV
11.8278    18.2756    8.3768
11.9961    18.4327    8.4356
12.0793    18.5926    8.4641
12.1276    18.8013    8.4821
12.1077    19.0554    8.458
12.1185    19.2547    8.5604
12.1336    19.421     8.6516
12.1595    19.5777    8.7183
12.1901    19.7569    8.7024
12.1511    20.0824    8.8231
12.1448    20.3108    8.9322
12.1057    20.5826    9.0443
12.0629    20.6921    9.1319
11.999     20.8921    9.2172
11.91      21.1664    9.2945
11.8479    21.3619    9.3766
11.8254    21.5643    9.4149
11.7696    21.8689    9.4578
11.6926    22.0128    9.5896
11.6487    22.083     9.5691
