BM(NH)     M32102     Too31stv
5.0486     2.6387     7.7846
5.0097     2.4483     7.6754
4.9428     2.2055     7.4849
4.7879     1.9916     7.2999
4.6995     1.8243     7.1633
4.6149     1.6587     6.9423
4.487      1.5262     6.7536
4.426      1.3252     6.5229
4.2503     1.218      6.4578
4.069      1.0617     6.2575
3.9799     0.8847     5.9798
3.8786     0.6578     5.735
3.8358     0.4825     5.5305
3.9172     0.3874     5.3099
3.8236     0.3146     4.9907
3.7264     0.4149     4.7381
















































































































































































3.0749     6.6459     3.8521     ROSTRUM
3.1007     6.6702     4.1353
3.0848     6.6912     4.4043
3.0915     6.7107     4.7129
3.1833     6.6368     5.0804
3.3176     6.5517     5.4178
3.4625     6.4852     5.7896
3.5352     6.4625     6.1333
3.5833     6.4029     6.4759
3.6364     6.3849     6.8372
3.6715     6.2546     7.1252
3.78       6.1418     7.4696
3.9119     6.0613     7.755
3.9846     5.9715     7.9277
4.1261     5.7709     8.2074
4.3087     5.7009     8.329
4.4878     5.5603     8.497
4.6496     5.4344     8.6037
4.7921     5.2837     8.7133
4.9317     5.1803     8.7354
5.0436     5.1149     8.7885
5.1521     5.0362     8.7985
5.2852     4.9648     8.8315
5.3197     4.9597     8.8358
5.446      4.8572     8.8047
5.5341     4.7288     8.7769
5.7224     4.5455     8.7091
5.8626     4.454      8.5799
6.0233     4.3108     8.4801
6.3125     4.1483     8.2993
6.4823     4.0445     8.1048
6.5654     3.9461     7.9056
6.6586     3.847      7.6156
6.77       3.8084     7.4127
6.8374     3.7116     7.193
6.9195     3.658      6.9458
7.0025     3.584      6.6572
7.1576     3.5508     6.2723
7.2329     3.4096     5.9618
7.3277     3.3044     5.7495
7.4597     3.2256     5.5878
7.5849     3.1732     5.4149
7.6767     3.1295     5.2502
7.7317     3.094      4.9616
7.7589     3.1301     4.7453
7.6935     3.0649     4.5777
7.7418     3.1031     4.4539
7.757      3.0867     4.2973
























































































































































4.6807     11.5751    11.1653    SUPORB
4.7204     11.5785    11.4047
4.7885     11.491     11.6062
4.8864     11.383     11.8237
4.9501     11.2692    12.0152
5.0826     11.1492    12.2237
5.1293     10.9479    12.333
5.2324     10.6983    12.4319
5.3474     10.4317    12.5136
5.3682     10.246     12.5904
5.4541     9.9901     12.6494
5.5347     9.6575     12.6975
5.5993     9.4502     12.7603
5.6609     9.2576     12.7916
5.6981     9.1358     12.8452
5.9755     8.989      12.9247
6.0852     8.8325     12.9894
6.2473     8.6986     13.0283
6.3619     8.4725     13.0494
6.4776     8.1835     13.0759
6.5832     8.0196     13.0648
6.6841     7.7924     13.0629
6.8154     7.6086     13.0275
6.8593     7.4971     13.0187
6.938      7.3909     12.9999
7.1501     7.3293     13.0186
7.4571     7.1696     13.0609
7.6392     7.0967     13.0948
7.8816     6.9978     13.1045
8.1945     6.8904     13.0994
8.3371     6.7915     13.1062
8.5383     6.6822     13.0931
8.6982     6.546      13.067
8.8818     6.431      13.0367
9.1528     6.335      12.9973
9.3723     6.2592     12.9444
9.6393     6.2667     12.8897
9.8606     6.2624     12.8404
10.1229    6.2593     12.7302
10.4333    6.1402     12.6322
10.6828    6.1248     12.5283
10.861     6.1208     12.4424
11.0701    6.038      12.2553
11.243     6.0138     12.0274
11.2942    5.9603     11.8078
11.5047    5.7344     11.3859
11.607     5.7281     11.1571

























































































































































5.3164     7.9493     9.6768     RORBIT
5.1446     8.1282     9.5816
4.9743     8.3039     9.5238
4.7923     8.521      9.5057
4.7015     8.751      9.561
4.6409     8.9005     9.6192
4.6307     9.2204     9.705
4.6166     9.4718     9.7987
4.5743     9.7567     9.9534
4.5578     10.0009    10.0586
4.5635     10.1903    10.1711
4.6125     10.3582    10.325
4.6905     10.4741    10.4843
4.7173     10.5454    10.6557
4.7716     10.4112    10.8728
4.6448     10.3503    11.095
4.5881     10.1753    11.389
4.6326     10.0172    11.4912
4.6647     9.7609     11.6472
4.716      9.5765     11.7505
4.8051     9.3036     11.8791
4.9141     8.9893     11.92
5.0113     8.8316     11.9284
5.1129     8.6904     11.9162
5.2112     8.5399     11.9129
5.4181     8.3095     12.0468
5.5715     8.2128     12.0855
5.734      8.1413     12.1796
5.7113     8.1456     12.1391
6.573      7.5977     11.5422
6.5391     7.5583     11.2374














































































