AMNH       110456     Rprf012z
17.875     20.5691    6.0827
17.8988    20.602     5.9876
17.8897    20.6539    5.8756
17.9267    20.7065    5.7601
17.9242    20.7248    5.6715
17.9186    20.7579    5.5798
17.889     20.7488    5.4266
17.879     20.7452    5.4206
















































































































































































18.636     17.7401    5.1656     ROSTRUM
18.7305    17.7287    5.2699
18.7635    17.7327    5.3882
18.8147    17.7953    5.5573
18.8796    17.841     5.6765
18.8838    17.9159    5.8246
18.8608    18.04      5.9526
18.8342    18.1274    6.0735
18.8283    18.3024    6.2456
18.8083    18.4128    6.38
18.7823    18.5104    6.535
18.7253    18.625     6.7199
18.7025    18.7063    6.8241
18.6444    18.7629    6.958
18.5875    18.8517    7.095
18.5139    18.9352    7.2081
18.3892    19.1207    7.5417
18.3569    19.22      7.6262
18.288     19.3715    7.647
18.2206    19.5024    7.6981
18.1276    19.6133    7.725
18.0259    19.7006    7.6695
17.9135    19.7826    7.6173
17.8038    19.8434    7.5763
17.6906    19.9117    7.4534
17.534     20.0775    7.2611
17.4041    20.091     7.0793
17.2834    20.1803    6.9268
17.1863    20.2223    6.7622
17.0924    20.2632    6.5977
16.9448    20.2961    6.4522
16.8363    20.3275    6.2927
16.6866    20.3695    6.1038
16.4364    20.4038    5.6394
16.3278    20.3377    5.4697
16.2444    20.2584    5.2939




































































































































































19.2256    16.0695    8.3304     SUPORB
19.2541    16.1453    8.5934
19.2038    16.2368    8.7639
19.1534    16.3897    8.944
19.1235    16.531     9.0892
19.0859    16.692     9.1945
19.0457    16.8701    9.2604
19.0249    17.0174    9.3088
18.9997    17.1582    9.3456
18.9446    17.3286    9.3754
18.8863    17.6796    9.3916
18.759     17.9828    9.3743
18.6341    18.2104    9.3709
18.5081    18.4326    9.335
18.3988    18.6678    9.3084
18.2809    18.9219    9.2531
18.1708    19.1204    9.2197
18.0133    19.333     9.1983
17.8476    19.4813    9.2005
