NMNH       290066     See5stv
0.6843     15.4969    3.6971     IN
0.6449     12.5444    7.4577     BR
0.2672     6.1512     6.8723     GL
0.2672     6.1512     6.8723     NA
0.1992     4.705      5.4751     RH
0.1424     3.0434     3.5103     NS
0.1373     2.1211     2.8773     PR
-0.4902    2.2231     2.7665     R_PR2
-0.1705    5.588      5.9475     R_PMS
-3.055     6.3557     2.9879     R_ZMI
-1.4181    6.0526     4.7113     R_ZMU
-0.3618    6.4471     6.089      R_DA
-1.5681    6.8777     6.8201     R_MTI
-1.4989    6.9503     7.2263     R_MTS
-3.0083    7.3027     5.8172     R_FMO
-3.4542    7.7555     6.0335     R_FMT
-3.2911    11.9025    2.3177     R_PO
-4.2644    7.808      3.5657     R_ZTS
0.717      2.1867     2.9169     L_PR2
0.5733     5.5708     6.007      L_PMS
3.6295     6.1225     3.0597     L_ZMI
1.8525     6.0014     4.6932     L_ZMU
0.892      6.4401     6.079      L_DA
1.752      6.5962     6.9798     L_MTI
1.7159     6.734      7.2536     L_MTS
3.5793     7.1121     5.8042     L_FMO
3.9896     7.5285     5.8942     L_FMT
4.2303     11.8012    2.3621     L_PO
4.8012     7.449      3.6381     L_ZTS
0.4526     1.8563     2.7941     O1
-2.9557    8.2263     6.5857     O2
5.4051     9.5269     2.9025     O3
-0.2385    15.3696    3.9193     O4







































































































































































0.2753     6.1808     6.8945     GLRH
0.2673     5.9407     6.6874
0.2509     5.7729     6.4746
0.2537     5.6172     6.3124
0.2183     5.4328     6.1757
0.214      5.2448     6.0383
0.2162     5.1177     5.9496
0.2177     5.0139     5.8733
0.2234     4.8956     5.7827
0.2136     4.8193     5.6828
0.2041     4.7273     5.5595
0.1881     4.7126     5.4547




























































































































































































0.1752     4.7003     5.4446     NOSE
-0.1085    4.7935     5.4312
-0.1584    4.6845     5.2278
-0.183     4.6104     5.081
-0.2399    4.5275     4.9475
-0.2824    4.4441     4.7636
-0.3131    4.3245     4.6088
-0.3903    4.2569     4.4285
-0.4213    4.1289     4.2901
-0.3713    3.9763     4.0949
-0.319     3.7213     3.9266
-0.259     3.3949     3.7325
-0.0643    3.1549     3.6032
0.0952     3.0216     3.5233
0.1736     3.0139     3.5366
0.3302     3.1601     3.6134
0.4524     3.3284     3.7045
0.5644     3.5163     3.8207
0.6318     3.6719     3.8971
0.6819     3.8917     4.0293
0.7524     4.0502     4.1944
0.7269     4.1833     4.3335
0.7488     4.2535     4.5606
0.7204     4.452      4.7911
0.6453     4.5887     5.0508
0.57       4.688      5.2312
0.4842     4.776      5.3031
0.4639     4.7915     5.5012
0.225      4.7036     5.4604











































































































































































0.1532     3.0028     3.5208     NASP-PR
0.1838     2.7895     3.5161
0.1451     2.5342     3.388
0.1458     2.371      3.2807
0.105      2.2931     3.1499
0.1503     2.2016     3.0472
0.1736     2.1374     2.8823

































































































































































































-0.1338    5.5701     5.9929     R-PM/MAX
-0.1807    5.4628     5.799
-0.2229    5.2908     5.5731
-0.253     5.1576     5.3779
-0.3499    5.0565     5.0884
-0.4848    4.9135     4.7829
-0.5891    4.7664     4.5719
-0.6691    4.6598     4.4195
-0.6874    4.4455     4.2512
-0.7918    4.2396     4.0903
-0.8741    4.0572     3.9675
-0.931     3.8438     3.8845
-0.9795    3.6405     3.7683
-1.0137    3.4038     3.6336
-1.0691    3.1635     3.5018
-1.0707    3.0143     3.4124
-1.1187    2.8297     3.2824
-1.1883    2.7052     3.1304
-1.1161    2.6487     2.8776








































































































