FSM        1011       Tg40stv
1.6566     4.9835     8.7803
1.7071     4.977      8.7263
1.7788     4.9119     8.5881
1.8694     4.7639     8.3292
1.9661     4.6653     8.2006
2.0791     4.5976     8.0426
2.236      4.5419     7.8953
2.3031     4.297      7.6451
2.3231     4.0919     7.3998
2.1811     3.9683     7.1319
2.0263     3.987      6.9338
1.9191     4.0042     6.8224














































































































































































-1.9056    7.7156     7.0042     ROSTRUM
-1.9239    7.6442     7.3417
-1.9217    7.6426     7.5473
-1.7368    7.569      7.863
-1.5271    7.5877     8.0341
-1.3503    7.5827     8.1739
-1.2287    7.5713     8.321
-1.1052    7.5858     8.5135
-0.9804    7.577      8.8222
-0.8415    7.569      9.2514
-0.7435    7.5383     9.6362
-0.7204    7.4952     9.958
-0.5673    7.4303     10.3364
-0.3299    7.3962     10.5572
-0.2146    7.3916     10.639
-0.1244    7.375      10.7213
0.0373     7.3578     10.8417
0.2053     7.3538     10.9707
0.3271     7.346      10.9984
0.4468     7.3603     11.0307
0.6994     7.4016     11.0119
0.8855     7.3822     10.9509
0.9621     7.4237     10.8952
1.1234     7.4515     10.7787
1.2999     7.5034     10.5843
1.4864     7.5299     10.4367
1.5983     7.5279     10.2734
1.6334     7.6423     9.8344
1.6717     7.6749     9.4359
1.7247     7.7114     9.1598
1.8224     7.7005     8.8741
1.9766     7.7742     8.5173
2.1309     7.7676     8.2501
2.4496     7.804      7.9592
2.6554     7.8032     7.7228
2.7491     7.8318     7.4202
2.7533     7.8524     7.1871
2.7423     7.8386     7.0166
2.7072     7.8725     6.8519

































































































































































-2.729     10.0375    13.9577    SUPORB
-2.6279    10.0748    14.1333
-2.5226    10.0182    14.2685
-2.4843    9.8918     14.3952
-2.3862    9.6992     14.4431
-2.1934    9.4792     14.5405
-2.0597    9.374      14.5825
-1.8855    9.2031     14.6186
-1.7305    9.0617     14.6445
-1.5276    8.9785     14.6814
-1.2875    8.9306     14.7033
-1.005     8.9014     14.7294
-0.8209    8.8595     14.7177
-0.5235    8.8153     14.6844
-0.2323    8.723      14.6512
0.077      8.6152     14.5557
0.3586     8.6178     14.5186
0.5767     8.6211     14.4868
0.7898     8.6345     14.4665
1.1387     8.7227     14.5069
1.4405     8.8231     14.5569
1.7664     8.855      14.5879
2.0084     8.9155     14.5975
2.2504     8.9524     14.5891
2.4456     9.0136     14.5683
2.6491     9.1701     14.5516
2.8374     9.3218     14.5155
3.0552     9.4993     14.4637
3.1899     9.7177     14.4222
3.2924     9.9339     14.376
3.4061     10.0889    14.328
3.4885     10.1671    14.2397
3.5219     10.3133    13.9738







































































































































































-1.364     8.6603     12.0784    RORBIT
-1.5355    8.698      12.0744
-1.7783    8.7755     12.1105
-1.9439    8.869      12.1933
-2.1721    8.9822     12.3308
-2.2963    9.1535     12.5132
-2.3725    9.2993     12.7301
-2.4079    9.3608     12.9288
-2.4031    9.4109     13.1335
-2.3976    9.4437     13.3471
-2.3905    9.4044     13.5479
-2.2837    9.3704     13.7111
-2.1717    9.1953     13.9371
