AMNH       119648     Rpr11stv
0.0406     6.5972     5.5662
0.2354     6.6488     5.4226
0.4286     6.7002     5.2076
0.6532     6.7123     5.0267
0.8242     6.7132     4.857
1.0452     6.7574     4.5608
1.0889     6.778      4.3362
1.0529     6.7274     4.0429
1.1173     6.7934     3.8064
1.1742     6.7719     3.5248
1.2172     6.7534     3.2837
1.2405     6.7287     3.1013
1.2646     6.7016     2.9214
1.2722     6.7138     2.8295












































































































































































-3.7429    7.8687     6.6142     SUPORB
-3.6378    7.8211     6.8368
-3.4785    7.7603     7.0659
-3.2062    7.7377     7.3698
-2.9368    7.7046     7.5822
-2.7422    7.6124     7.6402
-2.3602    7.418      7.7107
-2.1351    7.289      7.7189
-1.9086    7.1462     7.6927
-1.6335    7.1073     7.6633
-1.377     7.0048     7.616
-1.0632    6.8858     7.5104
-0.8244    6.8421     7.4493
-0.6387    6.7936     7.4091
-0.3757    6.7354     7.3498
-0.1105    6.7115     7.2943
0.1996     6.7773     7.3324
0.6042     6.855      7.3547
0.8928     6.9768     7.4165
1.1027     7.085      7.4848
1.3418     7.2716     7.5368
1.5563     7.3729     7.5576
1.7363     7.414      7.5827
2.0253     7.5232     7.5848
2.2319     7.6043     7.5602
2.5025     7.695      7.4931
2.6839     7.8084     7.4408
2.81       7.9032     7.3931
2.9816     7.9825     7.2873
3.2831     8.0899     6.8998
3.3716     8.1492     6.7292
3.4589     8.1776     6.582
3.5055     8.204      6.386


















































































































