AMNH       102900     Psmm047z
13.2085    14.0558    8.7463     IN
15.3879    16.8553    10.503     BR
18.0173    20.125     7.3671     GL
18.0154    20.1597    7.3098     NA
18.1185    20.2718    6.5557     RH
18.253     20.3955    4.9468     NS
18.3267    20.4788    4.6055     PR
18.6484    20.2121    4.6667     R_PR2
18.1535    19.9468    7.1225     R_PMS
19.1012    17.691     5.1356     R_ZMI
19.0743    18.5393    5.8858     R_ZMU
17.7348    19.3197    7.1703     R_DA
18.7408    18.504     8.1159     R_MTI
18.7331    18.4744    8.3147     R_MTS
19.4589    17.777     7.339      R_FMO
19.486     17.3272    7.6141     R_FMT
17.0463    14.3366    6.7171     R_PO
19.1884    16.4394    5.7247     R_ZTS
17.9027    20.7097    4.6876     L_PR2
17.8243    20.2247    7.1894     L_PMS
15.3947    20.631     5.0451     L_ZMI
16.1898    20.8142    5.8082     L_ZMU
17.2269    19.6012    7.18       L_DA
16.2343    20.5425    8.1272     L_MTI
16.172     20.5071    8.2428     L_MTS
15.3232    20.9832    7.1572     L_FMO
14.9103    20.7414    7.5709     L_FMT
12.7565    17.5785    6.4936     L_PO
14.4401    20.31      5.5381     L_ZTS
12.9972    14.2876    8.8529     O1
16.8881    14.3311    8.1487     O2
18.7656    19.257     5.0212     O3
15.1433    20.3578    7.8712     O4







































































































































































17.9618    20.1222    7.4059     GLRH
18.0337    20.1627    7.2172
18.0529    20.2019    7.0739
18.0715    20.2224    6.9078
18.0633    20.2323    6.7737
18.095     20.2558    6.6478
18.0984    20.2787    6.5457

































































































































































































18.0962    20.2602    6.5055     NOSE
18.1637    20.1991    6.5403
18.2457    20.0667    6.5031
18.3126    19.9205    6.3954
18.3503    19.8517    6.1716
18.3821    19.8286    5.9195
18.4245    19.85      5.6177
18.4209    19.9407    5.3783
18.3982    20.1072    5.2426
18.3644    20.2664    5.073
18.2371    20.4134    4.9365
18.1606    20.4744    5.0193
18.0054    20.4661    5.2011
17.831     20.4421    5.4053
17.7063    20.4261    5.6062
17.6818    20.3925    5.8864
17.7451    20.3698    6.2658
18.0055    20.3474    6.5649
18.1029    20.2617    6.5896


















































