FMNH       27040      Tg14stv
16.158     15.4661    15.5179    IN
12.63      12.8792    17.47      BR
7.9916     8.6331     14.4083    GL
8.371      8.9103     13.8329    NA
8.0156     8.2137     9.7536     RH
6.2906     6.3968     7.2986     NS
5.827      5.8452     5.576      PR
5.4976     6.3529     5.133      R_PR2
7.7005     8.4952     9.5767     R_PMS
7.4324     12.6379    9.141      R_ZMI
8.0292     10.6248    11.9776    R_ZMU
8.5497     9.4352     13.0247    R_DA
7.1514     9.9133     13.7607    R_MTI
7.2387     10.0648    14.7183    R_MTS
7.2164     11.9018    13.4958    R_FMO
7.1605     12.6258    14.0216    R_FMT
11.6454    17.0587    12.5016    R_PO
7.4299     14.8195    10.8917    R_ZTS
6.3253     5.4681     5.2064     L_PR2
8.445      7.7921     9.6364     L_PMS
9999       9999       9999       L_ZMI
10.3478    7.959      12.2412    L_ZMU
9.0039     8.9552     13.2087    L_DA
9.4285     7.4039     14.113     L_MTI
9.5205     7.7345     15.1052    L_MTS
11.3034    7.4259     14.0429    L_FMO
11.9781    7.4375     14.6025    L_FMT
16.9055    10.9653    13.2006    L_PO
9999       9999       9999       L_ZTS
5.3024     6.0051     5.1656     O1
11.4329    7.8577     15.1058    O2
8.9897     16.6347    11.4655    O3
16.7852    14.5066    14.7839    O4







































































































































































7.9527     8.6505     14.4127    GLRH
7.9813     8.6251     14.27
8.1725     8.6456     14.2346
8.2624     8.8467     14.1713
8.2668     8.8657     14.0759
8.3341     8.8843     13.9054
8.3365     8.9573     13.7866
8.3808     8.9527     13.6544
8.4318     8.9485     13.5174
8.4954     9.0259     13.3719
8.5515     9.0538     13.2545
8.6018     9.1068     13.116
8.6571     9.066      12.9791
8.6905     9.0917     12.828
8.7131     9.0899     12.7246
8.7248     9.087      12.512
8.7458     9.0668     12.3158
8.7957     9.0386     12.1449
8.8106     9.0068     11.9344
8.7941     8.9957     11.7267
8.8083     8.9819     11.5648
8.7393     8.943      11.4208
8.6907     8.9023     11.2116
8.691      8.8334     11.0944
8.6235     8.7864     10.9232
8.5686     8.7341     10.7673
8.5095     8.6824     10.6485
8.4421     8.6247     10.5026
8.3874     8.5384     10.3687
