AMNH       103360     scc5cs.xls
12.37      12.178     -6.6984    IN
10.3473    9.768      -9.1855    BR
7.1513     6.7402     -8.4579    GL
7.1015     6.7032     -8.3498    NA
6.5324     6.1343     -6.8352    RH
5.7065     5.4308     -5.1488    NS
5.2707     5.0166     -4.5274    PR
5.6437     4.7728     -4.4386    R_PR2
7.0477     6.3768     -7.4557    R_PMS
9.0852     5.3769     -5.0262    R_ZMI
7.9459     6.0637     -6.5549    R_ZMU
7.4098     6.6406     -7.833     R_DA
8.445      6.0607     -8.5213    R_MTI
8.6365     6.1705     -9.0383    R_MTS
9.3509     5.4937     -7.8958    R_FMO
10.0432    5.5871     -7.7913    R_FMT
12.0876    8.4401     -5.4165    R_PO
10.818     5.486      -5.7677    R_ZTS
5.028      5.3407     -4.4541    L_PR2
6.6386     6.6367     -7.4164    L_PMS
5.3683     8.7243     -5.1427    L_ZMI
6.2189     7.5482     -6.5965    L_ZMU
6.882      7.1425     -7.7114    L_DA
6.2217     8.2152     -8.5946    L_MTI
6.5678     8.4078     -9.1469    L_MTS
5.7526     8.9737     -8.0959    L_FMO
5.7407     9.6088     -8.0476    L_FMT
8.2901     12.0443    -5.4529    L_PO
5.5513     10.351     -5.9592    L_ZTS
5.1782     6.7312     -5.124     O1
5.2981     8.7503     -6.0938    O2
8.4081     12.0248    -6.5271    O3
12.5373    11.2646    -7.3791    O4







































































































































































7.0774     6.6879     -8.2937    GLRH
7.0137     6.6085     -8.1167
6.9531     6.5801     -7.9208
6.8755     6.4964     -7.6771
6.7862     6.4319     -7.4517
6.7061     6.3363     -7.2188
6.6034     6.2351     -7.0112
6.5428     6.186      -6.8863
6.5157     6.1415     -6.8023































































































































































































6.5357     6.2123     -6.8341    NOSE
6.6241     6.1316     -6.7943
6.6673     5.9768     -6.6292
6.6874     5.8507     -6.435
6.6795     5.7062     -6.2603
6.6314     5.5769     -5.9122
6.4639     5.4092     -5.6838
6.2457     5.3376     -5.4899
6.0698     5.279      -5.3574
5.8837     5.3553     -5.2508
5.732      5.4259     -5.164
5.587      5.6173     -5.3097
5.5895     5.8601     -5.4977
5.6481     6.0945     -5.6622
5.7992     6.2904     -5.8941
5.9357     6.3732     -6.1176
6.0748     6.3909     -6.2838
6.2203     6.3896     -6.4972
6.3429     6.3217     -6.6627
6.4546     6.2888     -6.7019
6.5226     6.2553     -6.7539



















































































































































































5.7365     5.4766     -5.1572    NASP-PR
5.6041     5.3494     -5.1199
5.4839     5.2189     -5.0116
5.3733     5.1168     -4.8699
5.3182     5.0652     -4.7295
5.2607     5.0062     -4.5417


































































































































































































6.9821     6.4361     -7.5533    R-PM/MAX
7.0215     6.3376     -7.3391
6.9583     6.2221     -7.1083
6.8946     6.0937     -6.8597
6.8646     5.9713     -6.6561
6.8358     5.8616     -6.4199
6.837      5.6794     -6.1793
6.7963     5.4644     -5.91
6.7616     5.2642     -5.6801
6.6719     5.089      -5.5001
6.5901     4.8822     -5.2685
6.4286     4.7658     -5.0589
6.3193     4.6514     -4.8683
6.2659     4.586      -4.7149
6.2696     4.6823     -4.5555

























































































































































































6.6727     6.5825     -7.4348    L-PM/MAX
6.5013     6.6046     -7.2001
6.3467     6.5077     -6.8818
6.1543     6.4737     -6.5699
6.0034     6.4895     -6.3125
5.7246     6.4662     -5.9836
5.3766     6.3589     -5.6627
5.1668     6.2308     -5.4308
4.9755     6.1552     -5.1918
4.8383     6.0221     -4.9542
4.7822     5.9184     -4.7411
4.8874     5.8545     -4.5185




























































































































































































7.5976     5.2552     -4.2316    ROSTRUM
7.5874     5.2574     -4.7053
7.5773     5.3115     -5.1528
7.4599     5.4779     -5.7215
7.2675     5.7465     -6.1861
7.1001     5.9461     -6.5353
6.8866     6.1429     -6.9517
6.6876     6.3829     -7.1103
6.4495     6.5499     -7.0603
6.3052     6.6898     -6.8636
6.1552     6.8272     -6.5682
5.9876     6.9893     -6.2909
5.8326     7.0811     -6.0811
5.64       7.2208     -5.8321
5.48       7.3386     -5.4891
5.4224     7.4154     -5.1626
5.3951     7.5112     -4.7387
5.3731     7.4358     -4.4421
5.3577     7.4161     -4.2443





















































































































































































10.0887    5.4335     -7.7069    SUPORB
9.9287     5.501      -8.1032
9.7118     5.73       -8.4865
9.4818     5.8541     -8.753
9.1608     5.9772     -8.9433
8.8347     6.0778     -9.0674
8.3895     6.2486     -9.1213
8.0296     6.4564     -9.1185
7.7473     6.6107     -9.0467
7.5613     6.751      -8.9724
7.332      6.8909     -8.9154
7.1186     7.1523     -9.0415
6.9781     7.4782     -9.159
6.8087     7.814      -9.2213
6.6657     8.0597     -9.2414
6.4374     8.4886     -9.1303
6.3053     8.7952     -9.033
6.1716     9.1074     -8.8411
6.0287     9.2687     -8.6591
5.8906     9.441      -8.383
5.7329     9.5186     -8.1072
5.6265     9.6094     -7.9031


















































































































































































