MNHN       AC A-1437  Tg38stv
0.226      17.5356    12.7539    IN
0.4101     12.6831    15.3678    BR
0.5235     6.9878     13.4397    GL
0.4476     7.0191     12.9488    NA
0.3406     5.0236     9.0161     RH
0.3416     2.1438     7.5221     NS
0.3312     1.0943     5.4845     PR
-0.3328    1.1464     5.486      R_PR2
-0.4052    4.8099     8.7796     R_PMS
-3.471     7.4196     8.9409     R_ZMI
-1.2009    7.2088     11.2561    R_ZMU
0.1584     7.2584     12.4396    R_DA
-1.1143    6.9905     13.4107    R_MTI
-0.8758    7.366      13.9359    R_MTS
-2.3535    8.0024     12.8723    R_FMO
-2.615     8.5619     13.5521    R_FMT
-4.0137    14.4574    10.8798    R_PO
-4.9049    9.0918     10.0816    R_ZTS
0.9812     1.2428     5.4038     L_PR2
1.0524     4.8883     8.701      L_PMS
3.7883     7.6258     8.2962     L_ZMI
1.8534     7.4005     11.1239    L_ZMU
0.7895     7.3509     12.3272    L_DA
2.2712     7.1307     13.2337    L_MTI
2.1985     7.4114     13.7901    L_MTS
3.2626     7.9975     12.7943    L_FMO
3.549      8.6493     13.1162    L_FMT
4.3705     14.6373    10.4256    L_PO
5.312      9.3511     9.4567     L_ZTS
-2.5203    2.0038     3.1813     O1
3.0222     8.6108     13.5003    O2
-5.4169    12.1639    10.2492    O3
1.5926     17.2071    12.1492    O4







































































































































































0.5299     6.9872     13.4628    GLRH
0.4888     7.0606     13.192
0.5058     7.04       12.99
0.4753     7.0289     12.6803
0.4673     7.0592     12.3523
0.4223     7.0456     12.0679
0.4157     7.0227     11.7927
0.3807     6.9536     11.4545
0.4035     6.8736     11.2412
0.4355     6.8078     11.0228
0.3937     6.7164     10.8334
0.4162     6.6055     10.6331
0.3523     6.4818     10.423
0.3779     6.3502     10.2263
0.3772     6.1571     9.9789
0.2995     5.9973     9.8361
0.3403     5.8044     9.6402
0.3397     5.637      9.483
0.3458     5.3544     9.2735
0.3888     5.1921     9.1484
0.3839     5.014      9.0365



















































































































































































0.3779     4.9977     9.007      NOSE
0.0842     5.0295     9.0359
-0.2152    4.8985     8.9073
-0.3387    4.7999     8.815
-0.45      4.6152     8.6622
-0.4907    4.3533     8.5154
-0.5508    4.2062     8.3986
-0.5709    4.0239     8.289
-0.6326    3.7015     8.1801
-0.6573    3.4828     8.0552
-0.6704    3.2656     7.9699
-0.6424    3.0597     7.9081
-0.6087    2.815      7.7647
-0.532     2.6375     7.7035
-0.4152    2.4679     7.6526
-0.2152    2.2842     7.6139
0.0026     2.2131     7.5973
0.1812     2.1752     7.5803
0.3139     2.176      7.5481
0.4073     2.1534     7.5423
0.4717     2.148      7.6037
0.5298     2.2094     7.6627
0.7874     2.3253     7.6601
1.1554     2.7685     7.6831
1.1831     3.0368     7.7454
1.1705     3.272      7.8395
1.1907     3.5183     7.9444
1.2308     3.8654     8.0941
1.2051     4.0817     8.1945
1.1681     4.2831     8.3246
1.1267     4.4816     8.4279
1.0528     4.6456     8.5564
0.9633     4.8926     8.7464
0.8394     4.9948     8.906
0.6568     5.062      9.0263
0.3483     5.0261     9.0005









































































































