NMNH       63470      See8stv




























-1.5046    5.2668     1.9732     ROSTRUM
-1.5001    5.2689     2.3043
-1.4533    5.2812     2.5389
-1.3718    5.3231     2.7581
-1.2815    5.3057     2.9637
-1.1411    5.3207     3.1733
-1.0497    5.2989     3.3891
-0.9633    5.3115     3.6055
-0.9341    5.3089     3.7993
-0.8649    5.3115     4.0098
-0.7102    5.3363     4.2646
-0.6151    5.3028     4.4549
-0.4347    5.2603     4.6834
-0.3375    5.1945     4.8727
-0.2524    5.1891     5.1378
-0.1606    5.2084     5.3905
-0.0753    5.1783     5.6192
-0.0084    5.1608     5.7778
0.105      5.1548     5.9474
0.1719     5.1349     6.0375
0.5256     5.128      6.1938
0.7586     5.0736     6.1047
1.0542     4.9932     5.6413
1.1731     4.9479     5.3516
1.2674     4.8773     5.0117
1.4267     4.8951     4.7559
1.6103     4.8181     4.4847
1.848      4.7816     4.1808
1.9806     4.7754     3.9267
2.102      4.7984     3.7066
2.2611     4.8625     3.3349
2.4076     4.8493     3.078
2.5462     4.8954     2.9213
2.6684     4.8419     2.5997
2.7951     4.9049     2.416
2.8205     4.8602     2.1705




































































































































































-2.5799    7.7648     6.4418     SUPORB
-2.4514    7.6005     6.6983
-2.21      7.4223     6.9069
-1.9332    7.222      7.0575
-1.7575    7.0325     7.1461
-1.6393    6.821      7.1627
-1.4186    6.6434     7.1867
-1.2035    6.5559     7.2109
-1.0149    6.4358     7.2152
-0.8551    6.3122     7.1782
-0.6324    6.1876     7.1411
-0.4875    6.1386     7.1207
-0.2414    6.0975     7.0891
-0.0121    6.0393     7.0627
0.1365     5.97       7.0334
0.2983     5.8898     6.966
0.4433     5.8362     6.9218
0.5593     5.8098     6.9181
0.7757     5.7937     6.9423
1.0724     5.8513     7.0176
1.2637     5.9301     7.0776
1.5149     5.9825     7.1398
1.7524     5.9983     7.1748
1.9876     6.0205     7.2203
2.2652     6.0546     7.2321
2.464      6.1543     7.274
2.64       6.2096     7.2784
2.7721     6.2521     7.2789
3.2475     6.457      7.1592
3.4704     6.5707     7.0654
3.6963     6.7583     6.9833
3.9968     7.018      6.7038
4.0622     7.0697     6.6292







































































































































































-1.1351    6.1274     4.4451     RORBIT
-1.4792    6.2073     4.4233
-1.812     6.3257     4.4309
-2.1249    6.4801     4.5081
-2.2284    6.6668     4.6668
-2.3464    6.7778     4.8323
-2.4391    6.916      5.0534
-2.4769    6.9836     5.253
-2.5262    7.0638     5.5298
-2.5338    7.1269     5.7056
