KNM        ER 1531    Too20stv
8.1321     6.7499     5.4044
8.0173     6.5786     5.2001
7.8405     6.4485     4.9891
7.6489     6.2974     4.771
7.4842     6.1171     4.546
7.4616     6.0232     4.3942
7.4568     5.9926     4.09
7.3868     6.1584     3.7485























































































































































































6.7784     12.3024    3.7974     ROSTRUM
6.6867     12.3583    4.0688
6.6452     12.3579    4.2686
6.6901     12.3951    4.4872
6.7138     12.3682    4.7574
6.7814     12.352     4.9427
6.8159     12.3456    5.1018
6.8717     12.3592    5.28
6.9163     12.3386    5.5001
6.9686     12.311     5.7189
7.047      12.2709    5.9907
7.0731     12.2459    6.1291
7.1366     12.2405    6.2901
7.233      12.2284    6.5515
7.3279     12.2091    6.7525
7.3535     12.1351    6.9129
7.5147     11.9566    7.322
7.6151     11.8601    7.565
7.7959     11.7167    7.7288
7.929      11.5582    7.7752
8.0959     11.3858    7.9008
8.2434     11.2958    8.0299
8.3904     11.1545    8.1026
8.5606     11.0176    8.1501
8.6781     10.8742    8.2374
8.8496     10.7773    8.3255
8.946      10.6489    8.4066
9.0632     10.5923    8.4646
9.1683     10.5128    8.4929
9.3234     10.4301    8.5165
9.4634     10.3184    8.4347
9.6092     10.2423    8.3267
9.7843     10.058     8.2609
9.9014     9.9685     8.1654
10.0659    9.7981     8.031
10.195     9.6868     7.897
10.298     9.5849     7.8324
10.4277    9.4369     7.7029
10.5531    9.3539     7.6048
10.6626    9.2838     7.4523
10.768     9.1981     7.3167
10.8455    9.1238     7.1655
10.9083    9.0728     7.0024
10.9801    8.9797     6.8538
11.0803    8.9263     6.6436
11.1491    8.8779     6.4238
11.189     8.8287     6.2712
11.2577    8.7716     5.9974
11.3415    8.7361     5.7545
11.3615    8.6919     5.5884
11.4198    8.6612     5.394
11.4834    8.6        5.1722
11.5117    8.5471     4.9919
11.5838    8.5309     4.7805
11.5886    8.5145     4.5562
11.591     8.5396     4.3076
11.5713    8.5762     4.0906
11.5663    8.5824     3.8879
11.5255    8.6783     3.6813
























































































