NMNH       365737     Phu19
7.3137     9.7301     7.4256
7.2591     9.6698     7.1797
7.2089     9.6816     6.8938
7.1859     9.6824     6.7577
7.135      9.7327     6.5213
6.9868     9.97       6.1017
6.9759     9.9447     5.7829
6.9738     9.9441     5.5023
6.9506     9.956      5.2711
6.9236     10.1181    5.0838
6.9081     10.1601    4.8709
6.9063     10.2206    4.703
6.8838     10.2749    4.5133
6.9674     10.2736    4.2811
7.1087     10.0927    4.0806
7.3287     10.0155    4.0464







































































































































































9.7363     9.118      9.899      L-PM/MAX
9.6004     8.9562     9.7322
9.5618     8.7884     9.5628
9.4991     8.6923     9.4454
9.465      8.5924     9.3178
9.4449     8.4771     9.1336
9.3758     8.3912     8.9962
9.3781     8.2245     8.7341
9.3794     8.0431     8.5363
9.3868     7.9744     8.3907
9.3829     7.8342     8.2447
9.3756     7.689      8.017
9.4025     7.5874     7.8289
9.3949     7.4998     7.5661
9.4165     7.4377     7.3579
9.4661     7.3708     7.0895
9.4824     7.3411     6.9265
9.5531     7.2966     6.704
9.5564     7.2424     6.5146
9.5612     7.1828     6.3257
9.5097     7.1023     6.1494
9.5806     7.048      5.9119
9.59       7.0127     5.7755
9.6273     7.0045     5.5643
9.6726     6.968      5.3513
9.687      6.9532     5.2027
9.7903     6.8847     5.0207
9.8473     6.8611     4.7955
9.9636     6.844      4.6141
9.9395     6.9831     4.3506
9.9097     7.0581     4.231
9.8098     7.1809     4.1161








































































































































































9.5637     13.1129    5.8667     ROSTRUM
9.4037     13.0495    6.0121
9.2815     13.0312    6.2614
9.1748     12.9628    6.4695
9.1191     12.8252    6.7125
9.1802     12.7021    6.8878
9.2472     12.517     7.039
9.3562     12.3392    7.2135
9.4326     12.2185    7.3455
9.4429     12.0801    7.4957
9.3856     11.9769    7.6293
9.3464     11.8935    7.8872
9.2801     11.8963    8.0166
9.2057     11.8658    8.185
9.056      11.8042    8.4157
8.9124     11.7501    8.6401
8.8094     11.6808    8.9011
8.6755     11.5788    9.0616
8.5817     11.4907    9.3064
8.5055     11.4079    9.5275
8.3949     11.3098    9.7549
8.3285     11.1802    9.9262
8.3662     11.0701    10.0682
8.4481     10.9011    10.1753
8.4897     10.8997    10.193
8.7204     10.8026    10.2273
8.8552     10.6936    10.2204
9.0328     10.5679    10.2102
9.1189     10.4375    10.2258
9.2591     10.244     10.2666
9.323      10.0404    10.4089
9.4255     9.8819     10.4296
9.5396     9.7721     10.4398
9.6932     9.6441     10.4335
9.8241     9.5314     10.38
9.9314     9.4699     10.3335
10.1087    9.3015     10.3101
10.2481    9.1703     10.3225
10.3312    9.0148     10.3352
10.3941    8.9411     10.3717
10.5194    8.8223     10.334
10.6084    8.6964     10.3003
10.9876    8.5864     10.0057
11.1371    8.6914     9.7435
11.2384    8.771      9.5954
11.3766    8.8178     9.3847
11.484     8.8513     9.2369
11.6058    8.9263     9.0826
11.6717    8.99       8.8895
11.7026    9.0722     8.7072
11.7424    9.1519     8.5004
11.8556    9.3003     8.367
11.9213    9.4189     8.2111
11.966     9.5307     8.0353
12.063     9.6186     7.8526
12.2074    9.6484     7.705
12.3875    9.6236     7.5719
12.608     9.5138     7.4384
12.7543    9.3648     7.3441
12.9633    9.3065     7.2029
13.0528    9.2765     7.0418
13.15      9.3553     6.8533
13.2125    9.4242     6.6808
13.2655    9.4752     6.5059
13.3237    9.5154     6.3826







































































































































9.6831     15.7704    14.9794    SUPORB
9.7431     15.7553    15.2046
9.6899     15.6448    15.4708
9.6739     15.3857    15.8741
9.7563     15.2563    16.0858
9.7974     14.9797    16.288
9.8351     14.786     16.401
9.8582     14.5987    16.5047
9.8839     14.3336    16.5839
9.9833     14.1667    16.6481
10.0862    14.0297    16.7143
10.254     13.844     16.7879
10.4158    13.7185    16.8615
10.5881    13.5379    16.908
10.7376    13.3628    16.9323
10.8583    13.1313    16.9777
10.9297    12.9712    16.9894
11.0706    12.7772    16.9825
11.1403    12.577     16.9778
11.203     12.3852    16.9175
11.2742    12.2035    16.8486
11.2864    12.0775    16.778
11.3917    11.8936    16.712
11.4481    11.7168    16.6461
11.4896    11.5543    16.6186
11.7348    11.4569    16.76
11.9354    11.4502    16.8366
12.1439    11.4129    16.9168
12.3486    11.3179    16.9996
12.4765    11.281     17.0162
12.6698    11.1493    17.0547
12.8504    11.0677    17.0592
13.0173    10.8545    17.0556
13.1923    10.6634    16.992
13.415     10.5753    16.9643
13.6342    10.4181    16.8697
13.6888    10.2953    16.8183
13.7496    10.1282    16.7477
13.9342    9.9703     16.6818
14.1403    9.8656     16.6068
14.3658    9.89       16.5473
14.5469    9.8509     16.4606
14.622     9.8289     16.4251
14.7683    9.7908     16.3149
14.9662    9.7817     16.2006
15.1441    9.7461     16.0481
15.2212    9.7301     15.9246
15.362     9.7042     15.7533
15.4326    9.7491     15.6332
15.5143    9.7665     15.4588
15.5351    9.7568     15.2051
15.5107    9.7096     15.0133




















































































































































10.3749    13.1077    13.4431    RORBIT
10.2625    13.3362    13.4432
10.1525    13.5366    13.4685
10.0824    13.7129    13.5126
10.0359    13.8552    13.5816
9.9575     14.0365    13.672
9.9003     14.2061    13.7799
9.8604     14.3599    13.9019
9.7979     14.4934    14.0248
9.7683     14.6456    14.2044
9.7205     14.7695    14.3723
9.6858     14.8706    14.5481
9.7208     14.8756    14.7396
9.6398     14.8968    14.9763
9.5977     14.8136    15.1754
9.5782     14.7007    15.4032
9.5646     14.5981    15.5419
9.5391     14.4737    15.6839
9.5688     14.3293    15.8099
9.5388     14.1561    15.9308
9.6151     13.9543    16.0114
9.642      13.7874    16.075
9.7438     13.6253    16.0827
9.8447     13.3792    16.0801
10.0029    13.1453    16.1002
10.1704    12.9933    16.0429
10.2639    12.8783    16.0159
10.3677    12.7852    15.9911
10.5814    12.5939    16.0419
10.6984    12.5385    16.1048
10.8298    12.3528    16.0905
10.9461    12.1733    16.0367
11.0304    12.1395    15.8396
11.1188    12.0862    15.5551
11.1583    12.0843    15.3993
11.1659    11.9854    15.0465
11.1357    11.9761    14.9504
11.1381    11.9604    14.7413
11.1242    11.9821    14.6204

































































































































































12.8496    10.5176    13.4879    LORBIT
13.0052    10.387     13.5008
13.2192    10.19      13.5342
13.4168    10.1001    13.6152
13.544     10.0513    13.6936
13.6663    9.9931     13.7367
13.8562    9.9004     13.8641
14.0067    9.8946     14.0114
14.1644    9.8566     14.1579
14.2471    9.8643     14.2703
14.3292    9.8185     14.3846
14.4035    9.7871     14.5396
14.4477    9.7361     14.6249
14.4846    9.7369     14.7489
14.5294    9.6887     14.9051
14.5251    9.605      15.0979
14.4246    9.528      15.398
14.351     9.5298     15.54
14.2664    9.4291     15.7461
14.0492    9.4449     15.9801
13.7933    9.5476     16.0277
13.6446    9.6261     16.039
13.4074    9.8026     16.0829
13.2709    9.9279     16.1174
13.0051    10.0013    16.1453
12.9196    10.129     16.106
12.7598    10.2878    16.0973
12.6465    10.3629    16.1088
12.5439    10.4779    16.0845
12.4478    10.588     16.0331
12.2254    10.7669    16.1556
12.1553    10.8871    16.1325
12.0224    10.9323    16.1382
11.858     11.1425    16.0714
11.7936    11.2331    15.9051
11.7545    11.2846    15.6054
11.7622    11.3728    15.272
11.7318    11.3656    15.1122
11.7648    11.3852    14.9675
11.8025    11.3967    14.8574
11.8802    11.4236    14.7522































































































































































9.7152     15.8104    14.9802    RTEMFOS
9.7272     15.8583    14.7142
9.6445     15.8318    14.4617
9.6621     15.8078    14.2615
9.6152     15.7674    14.0879
9.5635     15.7391    13.901
9.5095     15.6839    13.7539
9.4985     15.6612    13.5771
9.5186     15.6561    13.4469
9.4655     15.5989    13.2794
9.5109     15.555     13.039
9.4423     15.532     12.8797
9.3705     15.4852    12.6952
9.3435     15.4717    12.5778
9.262      15.3931    12.4214
9.2769     15.4178    12.2841
9.2425     15.4127    12.1725
9.1699     15.4173    11.9919
9.1824     15.4849    11.8195
9.2047     15.5951    11.6494
9.2545     15.7674    11.5322
9.3545     15.938     11.5464
9.453      16.1174    11.5886
9.5288     16.2502    11.6347
9.6032     16.4263    11.7123















































































































































































15.38      9.5783     14.8627    LTEMFOS
15.3767    9.5382     14.6704
15.3728    9.5422     14.5124
15.3553    9.5247     14.2179
15.317     9.4947     13.9875
15.2964    9.4696     13.8339
15.2472    9.449      13.6799
15.2102    9.4249     13.5425
15.1926    9.4027     13.3947
15.1698    9.3866     13.266
15.1493    9.3501     13.027
15.131     9.3022     12.8002
15.0819    9.254      12.6844
15.0624    9.1933     12.473
15.0329    9.1571     12.3027
15.0535    9.081      12.0859
15.1412    9.0626     11.9432
15.3035    9.0795     11.8343
15.4636    9.0971     11.7977
15.6781    9.16       11.806
15.794     9.2681     11.8385
15.8999    9.3063     11.8768
16.045     9.3927     11.9389
16.1973    9.4518     11.9733
















































































































































































6.8899     7.5291     12.6338    OP
8.5278     8.8515     12.9626    BA
12.3523    12.4083    12.611     ST
17.2223    16.9569    13.7222    IV
5.9717     11.7266    12.2359    R_PG
6.7494     14.0644    11.207     R_ZTI
11.6081    14.783     14.2713    R_M3D
13.1712    16.7487    14.4897    R_M12
15.2033    18.3013    14.8339    R_MP3
16.6771    18.8002    14.7192    R_PMI
11.3769    5.9925     12.5523    L_PG
13.8069    6.7421     11.6022    L_ZTI
14.7       11.7285    14.3091    L_M3D
16.7346    13.1914    14.7187    L_M12
18.5625    14.9704    14.9937    L_MP3
19.5404    16.5288    14.5155    L_PMI
19.573     17.6515    12.9144    O1
8.6538     12.2014    5.7945     O2
13.5439    6.2728     11.2831    O3
5.8518     4.765      10.7402    O4




















































































































































































10.649     15.3537    11.6506    RZYGINF
10.4302    15.2521    11.5034
10.3172    15.2533    11.4043
10.1615    15.2279    11.2723
9.9934     15.2295    11.1353
9.8523     15.2824    11.0677
9.6662     15.2327    11.0704
9.5114     15.295     11.0756
9.3163     15.3789    11.1114
9.0895     15.4918    11.2105
8.859      15.4083    11.2678
8.6832     15.33      11.3136
8.4502     15.1977    11.3052
8.2369     15.1109    11.3037
8.1419     14.8652    11.3024
8.0183     14.6725    11.3681
7.9013     14.4969    11.3801
7.7365     14.4231    11.4105
7.6241     14.278     11.4169
7.4754     14.1439    11.4079
7.3369     14.102     11.3917
7.1271     14.0082    11.3664
6.9743     14.047     11.3132
6.8301     14.0212    11.2712
6.7494     14.0644    11.207















































































































































































15.6526    10.4879    11.5446    LZYGINF
15.5222    10.3457    11.5166
15.3559    10.1646    11.5303
15.2558    9.9651     11.4906
15.2885    9.6261     11.376
15.3269    9.1655     11.4924
15.4852    8.9391     11.585
15.4799    8.6451     11.51
15.3809    8.4896     11.4901
15.11      8.3142     11.5691
15.0198    8.2046     11.5563
14.8078    8.0903     11.6005
14.5997    8.0388     11.6478
14.4047    7.9677     11.7114
14.2856    7.7045     11.7438
14.2474    7.6692     11.7532
14.1011    7.5223     11.7608
13.879     7.3387     11.7386
13.7721    7.1669     11.7346
13.7449    7.0562     11.7341
13.6774    6.8408     11.6744
13.7617    6.7068     11.6029














































