FMNH       345781     Phu55stv
16.9026    17.4448    16.2237    IN
13.0439    12.8741    18.3668    BR
9.2027     8.1006     15.7948    GL
9.2837     8.1638     15.3357    NA
7.066      5.5306     7.9881     RH
6.2714     4.3482     4.3107     NS
6.2493     4.3238     3.0787     PR
5.5366     5.2561     3.5329     R_PR2
6.8063     6.548      8.5602     R_PMS
7.3398     11.6237    9.3085     R_ZMI
8.0089     9.9329     13.0388    R_ZMU
9.1113     8.4959     14.2906    R_DA
8.2395     9.3408     15.5136    R_MTI
8.6265     9.6071     16.7748    R_MTS
7.1264     11.3672    14.4196    R_FMO
7.2831     12.33      14.6169    R_FMT
11.0347    17.3579    13.5818    R_PO
7.1308     13.4248    11.3377    R_ZTS
7.3125     3.9805     3.449      L_PR2
8.2541     5.6765     8.8523     L_PMS
13.2403    7.1918     9.3612     L_ZMI
11.1699    7.4723     12.8893    L_ZMU
9.7895     8.0762     14.0413    L_DA
10.9604    7.1443     15.5293    L_MTI
11.4091    7.7441     16.6472    L_MTS
12.9436    6.9718     14.3087    L_FMO
13.8198    7.3811     14.5654    L_FMT
17.6158    12.2137    13.2929    L_PO
15.2332    7.7951     11.1861    L_ZTS
5.8172     4.4325     2.6212     O1
8.0994     11.6817    16.0802    O2
16.9232    9.2266     11.8898    O3
17.2372    16.6965    15.5429    O4







































































































































































9.2302     8.0528     15.774     GLRH
9.2326     8.0872     15.576
9.3035     8.0882     15.3734
9.3266     8.1325     15.1374
9.3431     8.1474     14.8386
9.3077     8.1549     14.5628
9.273      8.1501     14.3557
9.221      8.1313     14.1119
9.1968     8.0779     13.9251
9.1634     8.0336     13.754
9.1352     7.9813     13.6302
9.0575     7.9343     13.4292
9.0179     7.8398     13.2401
9.0005     7.7769     13.0699
8.9324     7.7078     12.9041
8.8916     7.6443     12.7327
8.8324     7.5588     12.5341
8.7956     7.4874     12.3739
8.7144     7.411      12.1493
8.6322     7.3295     11.9686
8.5779     7.2555     11.8216
8.4916     7.1696     11.5842
8.4625     7.1075     11.4767
8.3576     7.0224     11.2082
8.2951     6.9573     11.0926
8.2674     6.843      10.9083
8.1654     6.7893     10.7526
8.0741     6.6593     10.529
7.9538     6.6204     10.3531
7.902      6.5701     10.2122
7.8404     6.4368     10.0257
7.7625     6.2705     9.8153
7.703      6.1433     9.6425
7.5763     6.0525     9.3789
7.4619     5.9368     9.1469
7.4338     5.8123     8.9995
7.4        5.7614     8.8862
7.343      5.6447     8.6962
7.3111     5.592      8.5574
7.2741     5.5427     8.4151
7.2352     5.5329     8.3146
7.216      5.4766     8.2153
7.1697     5.4116     8.0067





























































































































































7.058      5.5155     8.0298     NOSE
6.8264     5.7476     7.9707
6.6775     5.9441     7.8212
6.5773     5.9862     7.6528
6.4247     6.075      7.5306
6.3651     6.0049     7.3887
6.2512     5.9897     7.2476
6.1865     5.909      7.0025
6.1442     5.8843     6.8499
6.096      5.8559     6.6538
6.0519     5.8224     6.4644
6.0351     5.7728     6.3233
5.9974     5.7479     6.1173
5.918      5.6937     5.9516
5.8615     5.6334     5.7334
5.8437     5.4994     5.5322
5.7957     5.3871     5.3696
5.788      5.3364     5.2988
5.7439     5.2112     5.1719
5.7782     5.0714     5.1179
5.8075     4.9803     5.0358
5.8542     4.8663     4.9631
5.8786     4.7858     4.8318
5.9493     4.7008     4.7549
5.9662     4.6123     4.6683
6.0353     4.562      4.5659
6.1181     4.4471     4.383
6.2306     4.3695     4.3123
6.3553     4.2336     4.351
6.4534     4.1404     4.4506
6.6125     4.082      4.6351
6.8021     4.0072     4.8239
7.0294     3.9898     4.9734
7.1751     4.0641     5.1405
7.2916     4.1578     5.2882
7.3711     4.1953     5.3677
7.4798     4.211      5.4957
7.604      4.2396     5.6641
7.6721     4.2827     5.8723
7.7153     4.3404     6.017
7.6943     4.3933     6.1684
7.7133     4.4793     6.4073
7.7462     4.5473     6.5757
7.7775     4.5811     6.7175
7.7687     4.6246     6.8602
7.7667     4.6891     6.9664
7.7633     4.7337     7.0896
7.7561     4.829      7.2873
7.7422     4.9035     7.4583
7.773      4.9798     7.5704
7.6413     5.1332     7.7348
7.49       5.249      7.8838
7.4771     5.3416     7.9373
7.3046     5.3771     8.0157
7.143      5.4276     8.0307

















































































































































6.2074     4.3559     4.3178     NASP-PR
6.1661     4.2516     4.2028
6.1341     4.1873     3.9751
6.0683     4.1551     3.8796
6.0643     4.1499     3.6891
6.0917     4.1749     3.5454
6.1328     4.2169     3.3677
6.1623     4.2231     3.1666
6.2852     4.3077     3.0408































































































































































































6.7949     6.4862     8.5349     R-PM/MAX
6.6741     6.4606     8.3293
6.5098     6.3859     8.0747
6.3773     6.3142     7.8317
6.3093     6.273      7.6875
6.2148     6.2274     7.4912
6.1542     6.2059     7.2861
6.0936     6.215      7.1305
6.0457     6.2071     6.9759
5.9904     6.1864     6.7595
5.9444     6.1735     6.6642
5.8757     6.1849     6.4884
5.8424     6.1999     6.3761
5.8088     6.2064     6.2414
5.7635     6.2032     6.0801
5.7149     6.2095     5.9299
5.6569     6.2135     5.7371
5.6527     6.2209     5.6353
5.5955     6.2625     5.4721
5.5515     6.2958     5.3184
5.5119     6.3251     5.175
5.4467     6.3797     4.9869
5.404      6.4279     4.7738
5.3491     6.4388     4.5309
5.3363     6.5003     4.3268
5.4355     6.5079     4.0722
5.6638     6.3973     3.8423













































































































































































8.2725     5.6107     8.802      L-PM/MAX
8.2378     5.4061     8.4794
8.1896     5.3147     8.3187
8.1477     5.1753     8.0244
8.1491     5.0944     7.9021
8.1494     5.0335     7.8064
8.1057     4.9318     7.6016
8.0938     4.8219     7.4188
8.098      4.7643     7.308
8.1208     4.6733     7.111
8.139      4.6179     6.9756
8.1765     4.5531     6.7454
8.1658     4.5072     6.6113
8.1821     4.4498     6.4129
8.2166     4.3982     6.2158
8.2194     4.3608     6.0799
8.2502     4.2949     5.8941
8.2564     4.2665     5.6963
8.3226     4.2378     5.5502
8.3526     4.1894     5.3637
8.3825     4.1583     5.2126
8.4064     4.1271     5.0961
8.4257     4.0911     4.9484
8.4079     4.0666     4.8369
8.436      4.0363     4.7327
8.4482     4.0028     4.6055
8.5027     3.9717     4.5034
8.5176     3.9733     4.3608
8.5379     3.949      4.2181
8.6664     3.9734     4.1386
8.67       4.0157     3.9923
8.6627     4.1433     3.872
8.6053     4.3435     3.7094







































































































































































7.2402     10.1415    6.0153     ROSTRUM
7.1845     10.0006    6.2777
7.0971     9.9029     6.4477
7.0662     9.8491     6.5961
7.0368     9.7098     6.8117
7.0594     9.5124     7.0978
7.0967     9.3574     7.2875
7.1191     9.3078     7.4124
7.0922     9.1447     7.5745
7.0722     8.9681     7.7554
7.0479     8.8236     7.9471
7.0361     8.733      8.0864
7.0174     8.6173     8.2695
6.9365     8.5045     8.5056
6.8747     8.4354     8.6292
6.7485     8.3158     8.8696
6.6648     8.2204     9.0352
6.5693     8.1317     9.2451
6.5361     8.0628     9.3529
6.5268     7.9188     9.4635
6.5609     7.8433     9.563
6.7505     7.6887     9.6255
6.8416     7.5183     9.7003
7.0423     7.356      9.6985
7.1661     7.2609     9.7114
7.2816     7.1542     9.7266
7.4154     7.0603     9.8183
7.4632     6.9544     9.8333
7.5762     6.8858     9.8626
7.6561     6.7537     10.0431
7.7615     6.6445     10.0829
7.8676     6.4967     10.1095
8.048      6.356      10.1084
8.2292     6.2951     10.0654
8.3552     6.2773     9.9849
8.5168     6.2661     9.8695
8.6359     6.1827     9.8125
8.8617     6.0353     9.7728
9.0022     5.972      9.7573
9.2124     5.8343     9.7364
9.3378     5.7659     9.6904
9.449      5.6912     9.657
9.6495     5.6008     9.5624
9.887      5.562      9.3743
10.0062    5.7103     9.1036
10.0415    5.8286     8.7748
10.0938    5.9852     8.5526
10.1825    6.1216     8.3072
10.2885    6.1838     8.0818
10.4309    6.2346     7.8713
10.5342    6.2732     7.704
10.6508    6.3163     7.4693
10.8044    6.382      7.3122
10.9353    6.4125     7.1091
11.0776    6.4387     6.9818
11.2651    6.4548     6.7564
11.388     6.5094     6.5885
11.4987    6.59       6.4131
11.5921    6.6805     6.2522
11.6339    6.7551     6.1263
11.698     6.7905     6.0247
11.7097    6.8603     5.8879










































































































































7.2649     12.294     14.6887    SUPORB
7.2687     12.2667    14.8966
7.3447     12.2296    15.1838
7.3207     12.1095    15.3208
7.3543     11.948     15.5847
7.3969     11.8395    15.7473
7.4095     11.6679    15.8432
7.4547     11.5068    15.9764
7.508      11.3832    16.0773
7.5732     11.1509    16.2022
7.665      11.0247    16.2836
7.7722     10.8357    16.3829
7.7983     10.6635    16.4163
7.8829     10.5394    16.486
8.0225     10.3895    16.5832
8.2498     10.208     16.7207
8.4603     10.0623    16.809
8.5334     10.0513    16.8479
8.7638     9.9123     16.9402
9.1179     9.5636     17.0029
9.2747     9.3256     16.9834
9.3687     9.1405     16.9419
9.4276     8.919      16.8781
9.4451     8.6706     16.7365
9.4925     8.5555     16.6409
9.5995     8.4151     16.5988
9.7609     8.3527     16.6501
10.0957    8.3871     16.8051
10.3172    8.3804     16.8627
10.472     8.3527     16.8817
10.645     8.3259     16.9172
10.8531    8.179      16.9162
11.0747    8.1279     16.9003
11.2487    7.9759     16.8244
11.5201    7.854      16.7352
11.6999    7.6427     16.5765
11.7815    7.4789     16.4661
11.9241    7.3524     16.3772
12.0946    7.2179     16.2487
12.2383    7.1407     16.1352
12.5301    7.0903     15.991
12.7975    7.0852     15.8638
13.0766    7.1228     15.6718
13.2243    7.1657     15.5529
13.352     7.16       15.3943
13.4848    7.1719     15.2172
13.569     7.2085     15.1313
13.6053    7.2377     15.0068
13.6818    7.2386     14.8689
13.7535    7.2324     14.6735
13.8495    7.4191     14.4418





















































































































































8.0142     9.9514     13.0527    RORBIT
7.8102     10.0725    13.0615
7.7023     10.2851    13.1108
7.5558     10.4539    13.1782
7.4698     10.6294    13.2754
7.434      10.7729    13.4007
7.3778     10.9332    13.5424
7.3318     11.0225    13.6551
7.2987     11.1149    13.7695
7.2681     11.1626    13.8705
7.2319     11.2379    14.0198
7.2145     11.2614    14.1418
7.1941     11.3028    14.2719
7.1594     11.3305    14.4189
7.1003     11.4064    14.596
7.0254     11.3186    14.9774
7.0482     11.0528    15.2439
7.0762     10.8687    15.3795
7.1377     10.6585    15.5364
7.2704     10.4279    15.5972
7.3922     10.2268    15.6423
7.4959     9.9281     15.6975
7.6058     9.6447     15.7392
7.713      9.5317     15.7161
7.853      9.3861     15.6781
7.9954     9.2931     15.6402
8.1395     9.3025     15.5571
8.3156     9.2567     15.5073
8.5105     8.9844     15.6106
8.7202     8.8717     15.5589
8.8609     8.8072     15.4961
8.9377     8.7394     15.3831
9          8.7083     15.2278
9.0316     8.6545     15.0649
9.0706     8.6092     14.836
9.0908     8.5998     14.6765
9.1536     8.5018     14.4225
9.1143     8.4745     14.2782


































































































































































11.2488    7.4876     12.9762    LORBIT
11.3459    7.3384     12.9549
11.5283    7.2336     12.9736
11.7254    7.1813     13.0332
11.9459    7.1122     13.1276
12.1391    7.1076     13.2751
12.2325    7.1087     13.3409
12.4161    7.0295     13.4749
12.515     7.029      13.5571
12.6004    7.0643     13.6909
12.7649    6.945      13.8622
12.796     7.0003     13.9775
12.8023    7.0032     13.9731
12.897     6.9552     14.1989
13.0061    6.8951     14.3915
12.9505    6.9516     14.5411
12.8479    6.8037     14.8755
12.7037    6.7696     15.0318
12.4615    6.7607     15.2267
12.3014    6.7432     15.3624
12.1925    6.7304     15.4422
11.9084    6.765      15.5186
11.7322    6.8486     15.5424
11.6305    6.8619     15.568
11.4586    6.8483     15.6095
11.2746    6.9195     15.5987
11.0774    7.0109     15.5733
10.9396    7.0673     15.566
10.7761    7.1519     15.5633
10.4647    7.3943     15.5933
10.2883    7.529      15.5917
10.172     7.7511     15.5345
10.0295    7.9212     15.4209
10.009     8.0143     15.2922
9.9753     8.0337     15.1606
9.9102     8.0622     14.9755
9.8999     8.1062     14.7929
9.802      8.0932     14.6383
9.7463     8.0977     14.4151
9.7418     8.0902     14.3194
9.7318     8.0918     14.2026
9.8088     8.032      14.0079






























































































































































