LSZT       R6         Phu184sf
-0.6029    23.7273    12.5523    IN
0.1255     18.4608    16.228     BR
0.6476     11.2258    16.4607    GL
0.5939     11.1524    15.9791    NA
0.796      4.3655     10.1846    RH
0.8694     1.1668     6.527      NS
0.9054     0.2743     4.6731     PR
-0.1236    0.4172     4.8298     R_PR2
0.1639     6.2574     11.0397    R_PMS
-3.2538    9.6543     9.3546     R_ZMI
-1.638     10.9098    13.533     R_ZMU
-0.0209    11.3289    14.8824    R_DA
-1.6007    11.1836    16.2851    R_MTI
-1.4139    12.1665    17.238     R_MTS
-3.4517    12.0406    14.4575    R_FMO
-4.545     12.4812    14.3289    R_FMT
-4.9572    18.1177    10.9622    R_PO
-5.0374    11.8222    10.6586    R_ZTS
2.0253     0.623      4.7574     L_PR2
1.4524     5.8993     10.7357    L_PMS
4.1668     10.4132    9.2675     L_ZMI
2.7556     11.3346    13.4771    L_ZMU
1.2486     11.483     14.8622    L_DA
3.1243     11.7155    16.1668    L_MTI
2.7657     12.5626    17.0508    L_MTS
4.3961     12.757     14.3085    L_FMO
5.2649     13.3772    14.282     L_FMT
4.3689     19.2313    10.6045    L_PO
5.8228     12.8505    10.5666    L_ZTS
1.9853     0.7189     6.1091     O1
-3.1715    12.9109    16.3445    O2
6.2268     15.2392    10.352     O3
-1.1149    23.1963    12.2993    O4







































































































































































0.6181     11.2161    16.4562    GLRH
0.597      11.2133    16.2585
0.6127     11.1658    16.0299
0.5959     11.1091    15.8314
0.5846     11.1064    15.5686
0.5666     11.0799    15.3129
0.5704     11.0086    15.069
0.5714     10.9062    14.8837
0.5711     10.7954    14.7155
0.5815     10.6392    14.5119
0.6142     10.4855    14.3146
0.6069     10.3192    14.1617
0.6214     10.0975    13.9684
0.6357     9.9233     13.7824
0.6404     9.7706     13.6493
0.6514     9.6453     13.5255
0.6264     9.4701     13.3813
0.6538     9.2956     13.268
0.6315     9.1217     13.1248
0.6925     8.9185     13.0327
0.6577     8.7571     12.8981
0.6766     8.4959     12.7271
0.6971     8.2499     12.6009
0.6787     8.0497     12.4696
0.6781     7.8826     12.3601
0.7007     7.6801     12.2471
0.6879     7.4491     12.1156
0.7118     7.2696     11.9737
0.7309     7.0106     11.8476
0.7454     6.7086     11.7057
0.7722     6.4792     11.5847
0.7749     6.2456     11.452
0.7767     6.01       11.316
0.7685     5.7384     11.1698
0.7832     5.4295     10.982
0.7596     5.1113     10.7949
0.7533     4.9434     10.6462
0.7277     4.8068     10.5265
0.7546     4.682      10.4513
0.7558     4.5259     10.3356
0.7909     4.3748     10.207































































































































































0.7936     4.3852     10.1762    NOSE
0.6508     4.3992     10.2171
0.3935     4.3896     10.1892
0.1515     4.3201     10.0326
-0.0118    4.1967     9.86
-0.1286    3.9525     9.6149
-0.3138    3.6741     9.347
-0.3793    3.4278     9.122
-0.3573    3.105      8.7338
-0.3082    2.8635     8.4871
-0.2337    2.6626     8.3097
-0.2255    2.478      8.1394
-0.2576    2.2941     7.9826
-0.2669    2.0829     7.7742
-0.239     1.9603     7.6298
-0.2407    1.839      7.5116
-0.177     1.6333     7.3785
-0.0819    1.4664     7.2458
0.0906     1.2768     7.1155
0.3511     1.0931     6.921
0.4724     1.0496     6.8027
0.6835     0.9591     6.5939
0.8377     0.9739     6.4363
0.9908     1.026      6.4305
1.2159     1.024      6.6012
1.471      0.9907     6.7822
1.635      1.183      6.9699
1.7161     1.4805     7.0577
1.8026     1.7079     7.1583
1.8627     1.8798     7.2583
1.9801     2.1057     7.458
2.0472     2.3224     7.7321
2.0711     2.473      7.9461
2.07       2.6144     8.0957
2.0809     2.7392     8.2944
2.0427     2.8717     8.4713
1.9869     3.2045     8.6242
1.9994     3.4612     8.802
1.9492     3.6637     9.0969
1.8633     3.8516     9.2591
1.8308     3.9741     9.3833
1.734      4.0636     9.4355
1.6778     4.1966     9.6002
1.5812     4.3805     9.7666
1.493      4.3436     9.84
1.3335     4.3566     9.9428
1.1614     4.4473     10.0794
0.794      4.3984     10.1527
























































































































































0.9385     1.0243     6.4455     NASP-PR
0.9502     0.7584     6.2141
0.9271     0.5778     5.9878
0.9581     0.4996     5.8047
0.9397     0.3878     5.5821
0.9363     0.2921     5.2993
0.9262     0.2571     4.9922
0.9309     0.2653     4.8707
0.9536     0.2985     4.701































































































































































































0.1532     6.0079     10.9564    R-PM/MAX
0.069      5.7476     10.7688
-0.0236    5.4925     10.5673
