BMNH       69.556     Phk3stv
6.6698     1.2504     6.4355
6.6203     1.0394     6.0749
6.5902     0.8961     5.8216
6.4977     0.7479     5.5757
6.6571     0.6792     5.105
6.6934     0.5607     4.9217
6.8509     0.5441     4.5266
6.8455     0.4924     4.3307
6.8601     0.5571     4.1572
6.7967     0.6527     4.0069



















































































































































































5.0937     5.3347     4.4713     ROSTRUM
5.0793     5.3147     4.6295
5.049      5.2813     4.8119
5.0201     5.2766     5.0107
5.0594     5.2247     5.2194
5.2686     5.1555     5.3323
5.4245     5.0198     5.3486
5.5409     4.944      5.4641
5.6443     4.8339     5.6183
5.7122     4.7633     5.8368
5.6938     4.7469     6.0059
5.6081     4.6328     6.2449
5.6058     4.5619     6.5957
5.5575     4.5308     6.7391
5.5063     4.4958     7.0257
5.4021     4.44       7.2408
5.4694     4.4411     7.4306
5.6421     4.3473     7.5327
5.8099     4.2169     7.7078
5.9577     4.0836     7.7741
6.0644     3.9721     7.8988
6.1489     3.8361     8.1164
6.233      3.7501     8.2305
6.3399     3.6321     8.313
6.4015     3.6101     8.3867
6.482      3.4869     8.4634
6.6436     3.3498     8.5314
6.9452     3.3038     8.5297
7.1047     3.2948     8.4401
7.27       3.2183     8.275
7.401      3.2126     8.1194
7.5413     3.2373     8.0046
7.6813     3.2054     7.8751
7.7981     3.19       7.7819
7.9197     3.1459     7.7429
8.0795     3.0904     7.7051
8.2293     3.0558     7.5798
8.4094     3.0302     7.5307
8.4623     3.0666     7.4191
8.3043     3.0928     7.1286
8.3186     3.1332     6.9844
8.3616     3.1589     6.7778
8.3456     3.1634     6.6787
8.3772     3.2257     6.5783
8.3743     3.2568     6.3832
8.4366     3.3675     5.9642
8.4267     3.3239     5.6997
8.4923     3.2718     5.5261
8.597      3.1876     5.3857
8.7381     3.0836     5.3408
8.8683     2.9947     5.2816
9.0044     2.9571     5.2448
9.0881     2.9567     5.0985
9.1147     2.9675     4.927
9.1028     2.9893     4.7383
9.1076     3.0279     4.6154
9.1055     3.0528     4.5061















































































































































4.8656     7.7124     10.1939    SUPORB
4.8581     7.6006     10.3881
4.8599     7.475      10.5943
4.8879     7.3815     10.7325
4.9552     7.2496     10.886
4.959      7.0887     10.9777
5.046      6.9661     11.0912
5.1431     6.8456     11.2008
5.3303     6.7022     11.3216
5.3892     6.5408     11.3938
5.5475     6.3816     11.502
5.6723     6.1885     11.583
5.8496     6.0338     11.6471
5.9942     5.9023     11.7084
6.1859     5.7846     11.7824
6.3833     5.6868     11.8675
6.5986     5.5641     11.9368
6.7487     5.4516     11.9459
6.8992     5.1995     11.8989
6.992      5.0574     11.8159
7.119      4.8574     11.7438
7.248      4.678      11.6269
7.3817     4.5802     11.5638
7.4781     4.4879     11.534
7.6081     4.4597     11.5356
7.7852     4.3752     11.6117
7.9421     4.3628     11.6708
8.1099     4.3428     11.7243
8.2937     4.3424     11.8085
8.484      4.3118     11.848
8.6504     4.3238     11.8873
8.866      4.2586     11.8825
9.0646     4.1209     11.8485
9.2544     3.9559     11.7343
9.4078     3.893      11.6655
9.5929     3.8161     11.5907
9.7118     3.7254     11.5276
9.8541     3.6691     11.4656
10.0867    3.7303     11.4202
10.3224    3.7793     11.3341
10.4904    3.7915     11.2591
10.6531    3.7438     11.1552
10.8616    3.725      10.9635
11.1191    3.7636     10.7896
11.3411    3.7964     10.5387
11.3763    3.8434     10.4044
11.5001    3.8689     10.1075
11.5274    3.8711     9.9275
























































































































































6.4006     5.5212     8.7424     RORBIT
6.2452     5.5766     8.733
6.098      5.6997     8.7223
5.8936     5.8939     8.7316
5.8467     5.9681     8.7722
5.7058     6.0816     8.7862
5.5518     6.2483     8.854
5.4762     6.3231     8.8885
5.3699     6.4736     8.9908
5.3246     6.567      9.0882
5.2349     6.6476     9.1728
5.1332     6.7809     9.3292
5.1555     6.8274     9.4531
5.1019     6.8868     9.5729
5.087      6.9551     9.8552
5.0286     6.9378     10.0891
5.0519     6.8467     10.2604
5.1333     6.7111     10.4314
5.2054     6.6005     10.5892
5.4023     6.3328     10.7837
5.4746     6.1194     10.8937
5.706      5.8744     10.967
5.8159     5.6887     10.9824
5.9422     5.5164     10.9983
6.1066     5.4553     10.9334
6.2566     5.4268     10.8698
6.408      5.388      10.7991
6.605      5.2743     10.7693
6.6505     5.1441     10.9286
6.8121     4.9585     10.9427
6.9642     4.8859     10.7024
7.0329     4.8013     10.4984
7.1169     4.8193     10.3245
7.2355     4.8758     9.9596
7.242      4.9275     9.772
7.1907     4.9366     9.6324
7.1609     4.8977     9.4835



































































































































































8.9713     4.1201     8.6822     LORBIT
9.1413     4.0696     8.6715
9.3897     3.9884     8.667
9.6123     3.9372     8.7005
9.797      3.9387     8.7513
9.9224     3.896      8.7767
10.1068    3.8497     8.8395
10.2314    3.8574     8.9397
10.3967    3.7992     9.0492
10.4931    3.8124     9.1458
10.5646    3.7882     9.2617
10.6565    3.7457     9.3768
10.72      3.7668     9.5535
10.7321    3.7444     9.6991
10.7378    3.7415     9.8745
10.6879    3.6906     10.0509
10.594     3.6764     10.1891
10.5053    3.6483     10.3226
10.4018    3.6208     10.4547
10.336     3.6138     10.5447
10.2003    3.6418     10.6503
10.0919    3.572      10.7499
9.9178     3.5732     10.8368
9.7748     3.6092     10.8957
9.6343     3.6555     10.9609
9.504      3.5725     11.0226
9.3564     3.6348     10.9921
9.1652     3.682      10.9874
9.0163     3.7766     10.9575
8.8687     3.9089     10.92
8.7097     4.032      10.8572
8.5365     4.1155     10.9203
8.3526     4.1648     10.9165
8.1225     4.1777     10.9689
