MNHN       1969.447   Phh21stv
-0.0326    7.6475     10.2879    L-PM/MAX
0.0407     7.4717     10.1756
0.1338     7.3201     10.0652
0.1926     7.0928     9.9311
0.2558     6.9207     9.8322
0.3243     6.7467     9.7401
0.415      6.5783     9.632
0.4905     6.3787     9.4875
0.5495     6.201      9.3832
0.6251     6.0487     9.312
0.6978     5.8237     9.2322
0.7823     5.6709     9.109
0.9103     5.4352     8.9207
0.9792     5.3198     8.8119
1.0678     5.2027     8.63
1.1563     5.0458     8.4585
1.1995     4.8785     8.217
1.2829     4.8016     8.0027
1.4261     4.7536     7.7645
1.5165     4.704      7.5301
1.6094     4.6388     7.336
1.6498     4.4946     7.1163
1.6801     4.3992     6.9366
1.7288     4.3551     6.7363
1.7137     4.2938     6.4693
1.7434     4.3307     6.3188
1.7234     4.3188     6.0912
1.7026     4.3583     5.8767
1.5502     4.3775     5.7887
1.4227     4.3762     5.7171










































































































































































-2.785     8.411      6.5427     ROSTRUM
-2.8234    8.3909     6.8323
-2.8267    8.3836     7.0237
-2.777     8.3284     7.2315
-2.6008    8.3157     7.4053
-2.39      8.2906     7.5428
-2.1836    8.2353     7.7734
-2.159     8.2502     7.9278
-2.1918    8.2196     8.1165
-2.2127    8.1756     8.3322
-2.2702    8.1626     8.5969
-2.2903    8.0713     8.8493
-2.3075    8.0765     9.0507
-2.3264    8.0627     9.2244
-2.3296    8.0123     9.3729
-2.3308    8.0253     9.5469
-2.3013    8.0729     9.7629
-2.2272    8.0135     9.966
-2.1917    8.0195     10.1742
-2.1066    7.9886     10.2466
-1.9947    7.9813     10.3015
-1.7907    7.9837     10.3064
-1.6565    7.9914     10.2901
-1.4717    7.9824     10.2912
-1.329     8.0221     10.3064
-1.118     8.026      10.335
-0.9103    7.9952     10.3841
-0.7874    7.9664     10.3872
-0.5824    7.9578     10.4405
-0.4696    7.9463     10.5684
-0.2674    7.9649     10.6419
-0.0606    8.0095     10.478
0.0877     8.0174     10.3553
