FSM        1012       Tg37stv

































































































-1.7286    7.8383     7.0292     ROSTRUM
-1.6603    7.8057     7.331
-1.5166    7.7907     7.528
-1.3551    7.7642     7.7251
-1.2218    7.7604     7.9499
-1.1304    7.7734     8.1518
-1.0537    7.7749     8.3278
-1.0244    7.7813     8.5667
-1.016     7.775      8.7933
-1.002     7.7552     9.0332
-0.896     7.6799     9.2553
-0.7782    7.6975     9.3502
-0.4637    7.6134     9.4788
-0.3236    7.6462     9.6511
-0.1212    7.6035     9.8462
0.125      7.5974     9.9723
0.3262     7.5616     10.0038
0.5987     7.5733     9.9382
0.7802     7.5962     9.8258
0.9504     7.5875     9.6313
1.0935     7.6364     9.4838
1.2597     7.6681     9.3604
1.4622     7.6951     9.2319
1.5851     7.7298     9.0712
1.6091     7.8872     8.7112
1.6171     7.9891     8.4359
1.6748     7.987      8.1556
1.7485     7.976      7.9868
1.854      7.9323     7.7993
1.969      7.9858     7.657
2.0739     7.9727     7.502
2.1593     7.9861     7.3476
2.1979     7.9762     7.1809
2.1739     7.9757     7.0422
2.2005     8.0413     6.8954





































































































































































-2.5845    9.6771     12.5676    SUPORB
-2.4866    9.6313     12.7105
-2.3592    9.5733     12.867
-2.1762    9.4658     13.0084
-2.0107    9.4104     13.1621
-1.7811    9.2215     13.1731
-1.6055    9.019      13.1928
-1.387     8.8182     13.2105
-1.2064    8.6705     13.2587
-1.016     8.5538     13.2572
-0.7161    8.462      13.2595
-0.4502    8.4263     13.2416
-0.2462    8.3679     13.2104
-0.0018    8.2892     13.1765
0.1514     8.2967     13.1599
0.3278     8.2709     13.1427
0.4705     8.2925     13.1432
0.7753     8.355      13.185
1.1053     8.3803     13.2132
1.3623     8.4083     13.2264
1.5793     8.505      13.2453
1.7995     8.6079     13.2468
1.9513     8.7031     13.2471
2.0963     8.8035     13.2367
2.2839     8.9469     13.2055
2.4696     9.0788     13.1537
2.5804     9.2507     13.1427
2.7152     9.4028     13.0741
2.8287     9.6389     13.0094
2.9219     9.7427     12.9359
3.0028     9.821      12.7987
3.0989     9.8272     12.6916
3.204      9.8477     12.5406







































































































































































-1.2288    8.6925     10.7867    RORBIT
-1.4898    8.7208     10.784
-1.7715    8.863      10.8867
-1.9807    8.9337     11.0077
-2.129     9.0226     11.16
-2.2345    9.1071     11.3739
-2.3034    9.1668     11.5667
