AMNH       169432     Phu1cms3
































































































28.8411    -11.5851   9.7623     L-PM/MAX
28.9787    -11.5186   9.5355
29.1903    -11.3987   9.2237
29.3746    -11.2918   9.003
29.5205    -11.1828   8.8036
29.7012    -11.1061   8.534
29.906     -11.0249   8.151
30.1313    -10.9744   7.7638
30.2146    -10.9399   7.441
30.2947    -10.878    7.1378
30.436     -10.8511   6.7835
30.5793    -10.7939   6.4625
30.686     -10.6634   6.2298
30.6184    -10.5646   6.0161
30.6881    -10.5546   5.8252
30.5705    -10.581    5.6205
30.5507    -10.6903   5.4559























































































































































































26.4823    -15.8242   6.6154     ROSTRUM
26.5427    -15.7969   6.8898
26.5314    -15.7764   7.0657
26.6259    -15.6819   7.3782
26.6817    -15.5509   7.5677
26.7245    -15.3784   7.7793
26.8049    -15.315    7.9645
26.861     -15.2175   8.2255
26.9418    -15.1922   8.4748
27.0151    -15.2202   8.7474
27.1946    -15.2961   9.0376
27.2224    -15.395    9.3619
27.371     -15.4682   9.6301
27.6061    -15.5869   9.9133
27.7128    -15.4799   10.2719
27.7939    -15.3476   10.4198
27.9086    -15.1451   10.7529
27.9963    -14.9057   10.8605
27.8941    -14.6012   10.8461
27.8332    -14.4055   10.779
27.8076    -14.166    10.8051
27.8042    -13.9605   10.8786
27.8714    -13.7551   10.9574
27.9298    -13.5369   11.0435
27.9736    -13.4029   11.1671
28.1406    -13.0113   11.4192
28.1647    -12.777    11.4588
28.1923    -12.6074   11.4747
28.123     -12.3326   11.4449
28.0586    -12.0822   11.3442
27.9281    -11.9176   11.2031
27.7668    -11.7321   10.9991
27.7179    -11.5835   10.8721
27.6471    -11.3541   10.8149
27.5267    -11.198    10.6676
27.529     -10.9166   10.6131
27.567     -10.7289   10.5963
27.595     -10.5388   10.6102
27.5747    -10.2673   10.5706
27.5257    -10.0965   10.448
27.4288    -9.9436    10.1877
27.3166    -9.8549    10.067
27.0233    -9.9386    9.4717
26.9834    -10.1144   9.2251
26.8455    -10.2697   9.0155
26.8281    -10.3439   8.7725
26.7868    -10.4125   8.5173
26.7104    -10.4973   8.2605
26.6132    -10.5251   7.9747
26.4915    -10.4575   7.7484
26.4095    -10.3487   7.5416
26.328     -10.2287   7.3628
26.2443    -10.0949   7.1758
26.1798    -9.9873    6.9766
26.1382    -9.9641    6.7955
26.0668    -9.9599    6.613
25.9813    -9.9754    6.328













































































































































