UWMA       ZA 201     Phu78stv
10.8963    10.048     9.082
10.7613    9.8468     8.9647
10.6781    9.6911     8.8613
10.6103    9.4971     8.7509
10.5038    9.3195     8.6361
10.4751    9.1607     8.5276
10.511     9.0651     8.4635
10.4574    8.9209     8.3619
10.4482    8.801      8.2479
10.391     8.6857     8.1429
10.3385    8.5067     7.9563
10.1957    8.3663     7.7408
10.1471    8.2696     7.5916
10.1058    8.2132     7.472
10.0923    8.165      7.3221
10.0466    8.0311     7.1292
10.0378    7.9403     6.9126
9.9853     7.8465     6.6972
9.9838     7.7629     6.5088
9.9918     7.7207     6.3824
9.9424     7.5935     6.2306
9.9434     7.4844     6.0023
9.8684     7.3951     5.8444
9.8443     7.3568     5.6979
9.8269     7.3172     5.4977
9.9542     7.5179     5.1991













































































































































































9.1095     12.9083    6.0546     ROSTRUM
9.1016     12.8543    6.2366
9.1121     12.8147    6.3704
9.1453     12.7888    6.5221
9.1865     12.6763    6.6787
9.2557     12.6236    6.7935
9.3161     12.5486    6.8916
9.3965     12.4588    7.0199
9.446      12.3604    7.1602
9.4592     12.3098    7.3463
9.4237     12.2152    7.6192
9.4074     12.1297    7.9546
9.4429     12.0977    8.1442
9.4409     12.0493    8.285
9.455      12.0502    8.4178
9.4135     12.0116    8.5715
9.4155     11.9874    8.7548
9.4179     11.9357    8.8743
9.5081     11.8231    9.0341
9.6014     11.6665    9.1588
9.726      11.5306    9.2433
9.9138     11.3552    9.2818
10.0576    11.2578    9.3405
10.1506    11.1628    9.3691
10.25      11.0537    9.3739
10.3804    10.8765    9.472
10.4807    10.758     9.4813
10.6079    10.6579    9.528
10.7708    10.5275    9.4853
10.9799    10.4322    9.3862
11.0752    10.4075    9.3305
11.2001    10.2989    9.2926
11.3662    10.149     9.2632
11.5221    10.0028    9.2339
11.694     9.8724     9.2033
11.8524    9.7723     9.1709
11.9777    9.6987     9.0756
12.0897    9.6605     8.7914
12.1356    9.7361     8.5262
12.1582    9.769      8.3006
12.1785    9.7473     8.0955
12.2973    9.8022     7.8712
